date,team,position,name,starter,salary
2019-12-16,OKC,G/PG/UTIL,Chris Paul,True,7200
2019-12-16,WAS,G/SG/UTIL,Bradley Beal,True,9400
2019-12-16,HOU,G/PG/SG/UTIL,James Harden,True,12900
2019-12-16,HOU,G/PG/UTIL,Russell Westbrook,True,9600
2019-12-16,POR,G/PG/SG/UTIL,C.J. McCollum,True,6500
2019-12-16,PHO,G/PG/UTIL,Ricky Rubio,True,7900
2019-12-16,CHI,G/PG/SG/UTIL,Zach LaVine,True,7500
2019-12-16,TOR,G/PG/UTIL,Kyle Lowry,True,7700
2019-12-16,DET,G/PG/SG/UTIL,Derrick Rose,False,6100
2019-12-16,DET,G/PG/SG/UTIL,Bruce Brown,True,4500
2019-12-16,MIL,F/G/PG/SF/UTIL,Donte DiVincenzo,True,4600
2019-12-16,DAL,G/PG/SG/UTIL,Seth Curry,False,4000
2019-12-16,DAL,G/PG/SG/UTIL,Jalen Brunson,True,5500
2019-12-16,MEM,G/PG/UTIL,Ja Morant,True,7300
2019-12-16,WAS,G/PG/UTIL,Isaiah Thomas,True,4800
2019-12-16,CLE,G/PG/SG/UTIL,Collin Sexton,True,4900
2019-12-16,CHI,F/G/PG/SF/UTIL,Tomas Satoransky,True,5000
2019-12-16,CLE,G/PG/UTIL,Darius Garland,True,3800
2019-12-16,MIA,G/SG/UTIL,Tyler Herro,False,4600
2019-12-16,POR,G/PG/UTIL,Damian Lillard,True,8400
2019-12-16,OKC,G/PG/SG/UTIL,Dennis Schroder,False,5700
2019-12-16,WAS,G/PG/UTIL,Ishmael Smith,False,5300
2019-12-16,MEM,G/PG/SG/UTIL,De'Anthony Melton,False,3900
2019-12-16,SAS,G/PG/UTIL,Dejounte Murray,True,6100
2019-12-16,DAL,G/PG/SG/UTIL,Delon Wright,False,3700
2019-12-16,SAS,G/PG/SG/UTIL,Derrick White,False,3700
2019-12-16,MIA,G/PG/SG/UTIL,Kendrick Nunn,True,6000
2019-12-16,SAS,G/PG/SG/UTIL,Bryn Forbes,True,3600
2019-12-16,CHI,F/G/PG/SF/UTIL,Kris Dunn,True,4700
2019-12-16,MIL,G/PG/SG/UTIL,George Hill,False,4300
2019-12-16,CHI,G/PG/SG/UTIL,Coby White,False,4200
2019-12-16,CHI,G/PG/SG/UTIL,Ryan Arcidiacono,False,3000
2019-12-16,DET,G/PG/SG/UTIL,Langston Galloway,False,3300
2019-12-16,TOR,G/PG/SG/UTIL,Terence Davis,False,3200
2019-12-16,OKC,G/PG/SG/UTIL,Shai Gilgeous-Alexander,True,6200
2019-12-16,TOR,F/G/PG/SF/UTIL,Patrick McCaw,False,3000
2019-12-16,PHO,G/PG/SG/UTIL,Elie Okobo,False,3000
2019-12-16,HOU,G/PG/SG/UTIL,Austin Rivers,False,4400
