date,team,position,name,starter,salary
2020-01-21,DAL,NA/UTIL,Luka Doncic,True,N/A
2020-01-21,LAC,NA/UTIL,Kawhi Leonard,True,N/A
2020-01-21,LAC,NA/UTIL,Louis Williams,False,N/A
2020-01-21,LAC,NA/UTIL,Montrezl Harrell,False,N/A
2020-01-21,DAL,NA/UTIL,Dorian Finney-Smith,True,N/A
2020-01-21,DAL,NA/UTIL,Kristaps Porzingis,True,N/A
2020-01-21,DAL,NA/UTIL,Boban Marjanovic,False,N/A
2020-01-21,LAC,NA/UTIL,Landry Shamet,True,N/A
2020-01-21,LAC,NA/UTIL,Ivica Zubac,True,N/A
2020-01-21,LAC,NA/UTIL,JaMychal Green,False,N/A
2020-01-21,LAC,NA/UTIL,Patrick Beverley,True,N/A
2020-01-21,DAL,NA/UTIL,Tim Hardaway Jr.,True,N/A
2020-01-21,DAL,NA/UTIL,Maxi Kleber,False,N/A
2020-01-21,DAL,NA/UTIL,Jalen Brunson,False,N/A
2020-01-21,LAC,NA/UTIL,Rodney McGruder,False,N/A
2020-01-21,LAC,NA/UTIL,Jerome Robinson,False,N/A
2020-01-21,DAL,NA/UTIL,Seth Curry,False,N/A
2020-01-21,DAL,NA/UTIL,Jose Barea,False,N/A
2020-01-21,DAL,NA/UTIL,Delon Wright,False,N/A
2020-01-21,DAL,NA/UTIL,Dwight Powell,True,N/A
2020-01-21,LAC,NA/UTIL,Maurice Harkless,True,N/A
