date,team,position,name,starter,salary
2019-12-10,DEN,F/PF/SF/UTIL,Jarred Vanderbilt,False,3000
2019-12-10,NYK,F/G/SF/SG/UTIL,Reggie Bullock,False,3000
2019-12-10,WAS,F/G/SF/SG/UTIL,C.J. Miles,False,3000
2019-12-10,POR,F/G/SF/SG/UTIL,Rodney Hood,False,3000
2019-12-10,CHA,F/PF/SF/UTIL,Marvin Williams,False,3700
2019-12-10,ATL,F/G/SF/SG/UTIL,Charlie Brown,False,3000
2019-12-10,WAS,F/G/SF/SG/UTIL,Garrison Mathews,False,3000
2019-12-10,PHI,F/G/SF/SG/UTIL,Marial Shayok,False,3000
2019-12-10,PHI,F/G/SF/SG/UTIL,Zhaire Smith,False,3000
2019-12-10,CHA,F/G/SF/SG/UTIL,Caleb Martin,False,3000
2019-12-10,NYK,F/G/SF/SG/UTIL,Wayne Ellington,False,3000
2019-12-10,MIA,C/UTIL,Bam Adebayo,True,8200
2019-12-10,POR,C/UTIL,Hassan Whiteside,True,8000
2019-12-10,PHI,C/UTIL,Joel Embiid,True,9500
2019-12-10,DEN,C/UTIL,Nikola Jokic,True,9000
2019-12-10,WAS,C/F/PF/UTIL,Rui Hachimura,True,6500
2019-12-10,CHA,C/UTIL,Bismack Biyombo,True,3800
2019-12-10,NYK,C/F/PF/UTIL,Julius Randle,True,6400
2019-12-10,CHA,C/UTIL,Cody Zeller,False,4600
2019-12-10,NYK,C/F/PF/UTIL,Bobby Portis,False,3500
2019-12-10,PHI,C/F/PF/UTIL,Al Horford,True,6600
2019-12-10,CHA,C/F/PF/UTIL,P.J. Washington,True,5900
2019-12-10,DEN,C/F/PF/UTIL,Paul Millsap,True,4800
2019-12-10,WAS,C/F/PF/UTIL,Moritz Wagner,True,6000
2019-12-10,NYK,C/UTIL,Mitchell Robinson,False,5700
2019-12-10,ATL,C/UTIL,Alex Len,False,4700
2019-12-10,WAS,C/UTIL,Ian Mahinmi,False,3900
2019-12-10,DEN,C/F/PF/UTIL,Jerami Grant,False,4000
2019-12-10,MIA,C/F/PF/UTIL,Meyers Leonard,True,3100
2019-12-10,DEN,C/F/PF/UTIL,Mason Plumlee,False,4000
2019-12-10,NYK,C/F/PF/UTIL,Taj Gibson,True,3500
2019-12-10,POR,C/F/PF/UTIL,Skal Labissiere,False,3100
2019-12-10,MIA,C/F/PF/UTIL,Kelly Olynyk,False,4100
2019-12-10,POR,C/F/PF/UTIL,Anthony Tolliver,False,3000
2019-12-10,ATL,C/UTIL,Damian Jones,True,4700
2019-12-10,ATL,C/UTIL,Bruno Fernando,False,3000
2019-12-10,MIA,C/UTIL,Chris Silva,False,3000
2019-12-10,CHA,C/UTIL,Guillermo Hernangomez,False,3000
2019-12-10,WAS,C/F/PF/UTIL,Thomas Bryant,False,5500
2019-12-10,PHI,C/F/PF/UTIL,Kyle O'Quinn,False,3000
2019-12-10,PHI,C/UTIL,Norvel Pelle,False,3000
2019-12-10,POR,C/F/PF/UTIL,Zach Collins,False,4200
2019-12-10,POR,C/UTIL,Moses Brown,False,3000
2019-12-10,PHI,C/F/PF/UTIL,Jonah Bolden,False,3000
2019-12-10,NYK,C/F/PF/UTIL,Ivan Rabb,False,3000
2019-12-10,DEN,C/UTIL,Bol Bol,False,3000
2019-12-10,POR,C/UTIL,Jusuf Nurkic,False,7800
2019-12-10,ATL,C/F/PF/UTIL,John Collins,False,7300
