date,team,position,name,starter,salary
2019-12-19,HOU,G/PG/UTIL,Russell Westbrook,True,9300
2019-12-19,LAL,F/G/PG/SF/UTIL,LeBron James,True,10000
2019-12-19,HOU,G/PG/SG/UTIL,James Harden,True,12400
2019-12-19,ATL,G/PG/UTIL,Trae Young,True,9800
2019-12-19,BKN,G/PG/SG/UTIL,Spencer Dinwiddie,True,7900
2019-12-19,UTA,G/PG/SG/UTIL,Donovan Mitchell,True,8000
2019-12-19,SAS,G/PG/SG/UTIL,Patty Mills,False,4100
2019-12-19,SAS,G/PG/UTIL,Dejounte Murray,True,5700
2019-12-19,LAC,G/PG/SG/UTIL,Patrick Beverley,True,4400
2019-12-19,SAS,G/PG/SG/UTIL,Derrick White,False,4000
2019-12-19,MIL,G/PG/SG/UTIL,George Hill,False,4300
2019-12-19,ATL,G/PG/SG/UTIL,Cam Reddish,True,3900
2019-12-19,MIL,F/G/PG/SF/UTIL,Donte DiVincenzo,True,5200
2019-12-19,UTA,G/PG/UTIL,Emmanuel Mudiay,False,3700
2019-12-19,LAC,G/PG/SG/UTIL,Louis Williams,False,5900
2019-12-19,ATL,G/PG/SG/UTIL,DeAndre Bembry,False,3000
2019-12-19,HOU,G/PG/SG/UTIL,Austin Rivers,False,3500
2019-12-19,LAL,G/PG/UTIL,Rajon Rondo,False,4800
2019-12-19,SAS,G/PG/SG/UTIL,Bryn Forbes,True,3700
2019-12-19,ATL,F/G/PG/SF/UTIL,Evan Turner,False,3000
2019-12-19,LAL,G/PG/SG/UTIL,Avery Bradley,False,3600
2019-12-19,LAL,G/PG/SG/UTIL,Alex Caruso,False,3800
2019-12-19,BKN,G/PG/SG/UTIL,Theo Pinson,False,3000
2019-12-19,LAL,G/SG/UTIL,Troy Daniels,False,3000
2019-12-19,LAL,G/PG/UTIL,Quinn Cook,False,3000
2019-12-19,HOU,G/PG/UTIL,Chris Clemons,False,3000
2019-12-19,LAC,G/PG/UTIL,Derrick Walton Jr.,False,3100
2019-12-19,LAC,G/SG/UTIL,Jerome Robinson,False,3000
2019-12-19,UTA,G/PG/SG/UTIL,Dante Exum,False,3000
2019-12-19,MIL,G/PG/SG/UTIL,Frank Mason III,False,3000
2019-12-19,BKN,G/PG/UTIL,Kyrie Irving,False,9700
2019-12-19,BKN,F/G/PG/SF/UTIL,Caris LeVert,False,5800
2019-12-19,UTA,G/PG/UTIL,Nigel Williams-Goss,False,3000
2019-12-19,SAS,G/PG/UTIL,Quinndary Weatherspoon,False,3000
2019-12-19,LAC,F/G/PG/SF/UTIL,Terance Mann,False,3000
2019-12-19,LAC,F/G/PG/SF/UTIL,Amir Coffey,False,3000
2019-12-19,ATL,G/PG/SG/UTIL,Brandon Goodwin,False,3000
2019-12-19,UTA,G/PG/UTIL,Justin Wright-Foreman,False,3000
2019-12-19,UTA,G/PG/UTIL,Mike Conley,False,5300
2019-12-19,MIL,G/PG/UTIL,Eric Bledsoe,False,6200
2019-12-19,HOU,G/PG/SG/UTIL,Michael Frazier,False,3000
2019-12-19,MIL,F/PF/SF/UTIL,Giannis Antetokounmpo,True,11300
2019-12-19,LAC,F/SF/UTIL,Paul George,True,8500
2019-12-19,ATL,F/PF/SF/UTIL,Jabari Parker,False,5500
2019-12-19,LAC,F/PF/SF/UTIL,Kawhi Leonard,True,9200
2019-12-19,HOU,F/PF/SF/UTIL,P.J. Tucker,True,4700
2019-12-19,UTA,F/G/SF/SG/UTIL,Joe Ingles,True,6000
2019-12-19,UTA,F/PF/SF/UTIL,Bojan Bogdanovic,True,6700
2019-12-19,LAL,F/G/SF/SG/UTIL,Danny Green,True,3900
2019-12-19,MIL,F/G/SF/SG/UTIL,Wes Matthews,True,3300
2019-12-19,ATL,F/G/SF/SG/UTIL,Kevin Huerter,True,4900
2019-12-19,LAL,F/G/SF/SG/UTIL,Kentavious Caldwell-Pope,True,4000
2019-12-19,MIL,F/G/SF/SG/UTIL,Khris Middleton,True,6300
2019-12-19,SAS,F/G/SF/SG/UTIL,DeMar DeRozan,True,7000
2019-12-19,UTA,F/SF/UTIL,Royce O'Neale,True,4100
2019-12-19,LAC,F/G/SF/SG/UTIL,Landry Shamet,False,3800
2019-12-19,HOU,F/PF/SF/UTIL,Danuel House,True,4100
2019-12-19,BKN,F/G/SF/SG/UTIL,Garrett Temple,True,4700
2019-12-19,BKN,F/PF/SF/UTIL,Taurean Prince,True,5600
2019-12-19,BKN,F/G/SF/SG/UTIL,Joe Harris,True,5400
2019-12-19,SAS,F/G/SF/SG/UTIL,Lonnie Walker,False,3400
2019-12-19,SAS,F/G/SF/SG/UTIL,Marco Belinelli,False,3000
2019-12-19,HOU,F/G/SF/SG/UTIL,Ben McLemore,False,4500
2019-12-19,BKN,F/G/SF/SG/UTIL,David Nwaba,False,3400
2019-12-19,UTA,F/PF/SF/UTIL,Jeff Green,False,3000
