date,team,position,name,starter,salary
2020-02-20,ATL,G/PG/UTIL,Trae Young,True,10500
2020-02-20,HOU,G/PG/SG/UTIL,James Harden,True,11300
2020-02-20,MIA,G/PG/SG/UTIL,Jimmy Butler,True,7900
2020-02-20,CHI,G/SG/UTIL,Zach LaVine,True,9200
2020-02-20,HOU,G/PG/UTIL,Russell Westbrook,True,10200
2020-02-20,BKN,F/G/PG/SF/UTIL,Caris LeVert,True,6700
2020-02-20,BKN,G/PG/SG/UTIL,Spencer Dinwiddie,True,7300
2020-02-20,MEM,G/PG/SG/UTIL,De'Anthony Melton,False,4000
2020-02-20,DET,F/G/PG/SF/UTIL,Bruce Brown,False,5200
2020-02-20,MIL,G/PG/UTIL,Eric Bledsoe,True,7200
2020-02-20,SAC,G/PG/UTIL,De'Aaron Fox,True,7400
2020-02-20,CHA,G/PG/SG/UTIL,Malik Monk,False,5400
2020-02-20,CHI,G/PG/UTIL,Tomas Satoransky,True,5000
2020-02-20,MEM,G/PG/UTIL,Tyus Jones,False,3500
2020-02-20,GSW,G/PG/SG/UTIL,Jordan Poole,True,4000
2020-02-20,MIA,G/PG/UTIL,Goran Dragic,False,5700
2020-02-20,PHI,G/PG/SG/UTIL,Alec Burks,False,3600
2020-02-20,GSW,G/SG/UTIL,Damion Lee,True,5200
2020-02-20,CHA,G/PG/SG/UTIL,Terry Rozier,True,5700
2020-02-20,HOU,G/PG/SG/UTIL,Austin Rivers,False,3100
2020-02-20,GSW,G/PG/UTIL,Ky Bowman,False,3600
2020-02-20,MEM,G/PG/UTIL,Ja Morant,True,7000
2020-02-20,MIA,G/PG/SG/UTIL,Kendrick Nunn,True,4900
2020-02-20,GSW,F/G/PG/SF/UTIL,Draymond Green,True,6500
2020-02-20,DET,G/PG/UTIL,Derrick Rose,True,5900
2020-02-20,CHI,F/G/PG/SF/UTIL,Shaquille Harrison,False,3000
2020-02-20,ATL,G/PG/SG/UTIL,Jeff Teague,False,4400
2020-02-20,CHI,G/PG/SG/UTIL,Coby White,False,4700
2020-02-20,SAC,G/PG/UTIL,Cory Joseph,False,3300
2020-02-20,BKN,G/PG/SG/UTIL,Garrett Temple,False,3600
2020-02-20,MIL,G/PG/UTIL,George Hill,False,3000
2020-02-20,CHA,G/PG/UTIL,Devonte' Graham,True,7500
2020-02-20,DET,G/SG/UTIL,Langston Galloway,False,3700
2020-02-20,PHI,G/PG/UTIL,Raul Neto,True,3000
2020-02-20,MIL,G/SG/UTIL,Wes Matthews,True,4000
2020-02-20,MIL,G/PG/SG/UTIL,Donte DiVincenzo,False,4700
2020-02-20,DET,G/PG/UTIL,Jordan Bone,False,3000
2020-02-20,CHI,G/PG/SG/UTIL,Ryan Arcidiacono,True,3100
2020-02-20,PHI,G/SG/UTIL,Furkan Korkmaz,False,4100
2020-02-20,PHI,G/PG/SG/UTIL,Shake Milton,False,3200
2020-02-20,ATL,G/PG/UTIL,Brandon Goodwin,False,3200
2020-02-20,DET,G/PG/UTIL,Brandon Knight,False,3000
2020-02-20,HOU,G/PG/SG/UTIL,Michael Frazier,False,3000
2020-02-20,GSW,G/PG/UTIL,Stephen Curry,False,7700
2020-02-20,DET,G/SG/UTIL,Khyri Thomas,False,3000
2020-02-20,BKN,G/PG/SG/UTIL,Chris Chiozza,False,3000
2020-02-20,BKN,G/PG/SG/UTIL,Theo Pinson,False,3000
2020-02-20,MIA,G/SG/UTIL,Tyler Herro,False,4100
2020-02-20,MEM,G/SG/UTIL,John Konchar,False,3000
2020-02-20,SAC,G/PG/SG/UTIL,Yogi Ferrell,False,3000
2020-02-20,MIL,G/PG/UTIL,Frank Mason III,False,3000
2020-02-20,BKN,G/PG/UTIL,Kyrie Irving,False,8600
2020-02-20,MIL,G/SG/UTIL,Cameron Reynolds,False,3000
2020-02-20,HOU,G/PG/UTIL,Chris Clemons,False,3000
2020-02-20,MIA,G/PG/UTIL,Gabe Vincent,False,3000
2020-02-20,MEM,G/PG/UTIL,Grayson Allen,False,3000
