,Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reason
0,07/31/2020,02:30 (ET),ORL@BKN,Brooklyn Nets,"Crawford, Jamal",Doubtful,Injury/Illness - N/a; Conditioning
1,,,,,"Kurucs, Rodions",Probable,Injury/Illness - Left Hip; Contusion
2,,,,Orlando Magic,"Iwundu, Wes",Questionable,Injury/Illness - Head; Concussion Protocol
3,,04:00 (ET),MEM@POR,Memphis Grizzlies,"Jones, Tyus",Out,Injury/Illness - Right Knee; Soreness
4,,,,,"Winslow, Justise",Out,Injury/Illness - Left Hip; Displacement
5,,,,Portland Trail Blazers,"Adams, Jaylen",Questionable,Injury/Illness - Back; Pain
6,,,PHX@WAS,Phoenix Suns,"Lecque, Jalen",Out,Not With Team
7,,,,,"Oubre Jr., Kelly",Out,Injury/Illness - Right Knee; Rehab
8,,,,Washington Wizards,"Mathews, Garrison",Out,Personal Reasons
9,,06:30 (ET),BOS@MIL,Milwaukee Bucks,"Bledsoe, Eric",Out,Injury/Illness - Body; Return to play conditioning
10,,,,,"Connaughton, Pat",Out,Injury/Illness - Body; Return to play conditioning
11,,,,,"Mason, Frank",Probable,Injury/Illness - Back; Soreness
12,,,,,"Williams, Marvin",Doubtful,Injury/Illness - Left Groin; Strain
13,,08:00 (ET),SAC@SAS,Sacramento Kings,"Bagley III, Marvin",Out,Injury/Illness - Right Foot; Sprain
14,,,,,"Len, Alex",Out,Injury/Illness - -; Re-Conditioning
15,,,,San Antonio Spurs,"Forbes, Bryn",Out,Injury/Illness - Right Quad; Tightness
16,,,,,"Lyles, Trey",Out,"Injury/Illness - "" ""; Appendectomy"
17,,09:00 (ET),HOU@DAL,Dallas Mavericks,"Lee, Courtney",Out,Injury/Illness - Left Calf; Injury
18,,,,,"Powell, Dwight",Out,Injury/Illness - Right Achilles; Surgery
19,,,,Houston Rockets,"Gordon, Eric",Out,Injury/Illness - Left Ankle; Sprain
20,08/01/2020,01:00 (ET),MIA@DEN,Denver Nuggets,,,NOT YET SUBMITTED
21,,,,Miami Heat,,,NOT YET SUBMITTED
22,,03:30 (ET),UTA@OKC,Oklahoma City Thunder,,,NOT YET SUBMITTED
23,,,,Utah Jazz,,,NOT YET SUBMITTED
24,,06:00 (ET),NOP@LAC,LA Clippers,,,NOT YET SUBMITTED
25,,,,New Orleans Pelicans,,,NOT YET SUBMITTED
26,,07:00 (ET),PHI@IND,Indiana Pacers,,,NOT YET SUBMITTED
0,,,,Philadelphia 76ers,,,NOT YET SUBMITTED
1,,08:30 (ET),LAL@TOR,Los Angeles Lakers,,,NOT YET SUBMITTED
2,,,,Toronto Raptors,,,NOT YET SUBMITTED
