,Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reason
0,08/05/2020,02:30 (ET),MEM@UTA,Memphis Grizzlies,"Jackson Jr., Jaren",Out,Injury/Illness - Left Knee; Injury
1,,,,,"Jones, Tyus",Out,Injury/Illness - Right Knee; Soreness
2,,,,,"Winslow, Justise",Out,Injury/Illness - Left Hip; Displacement
3,,,,Utah Jazz,"Williams-Goss, Nigel",Out,Injury/Illness - Left Ankle; Sprain
4,,04:00 (ET),DEN@SAS,Denver Nuggets,"Barton, Will",Out,Injury/Illness - Left Knee; Soreness
5,,,,,"Cancar, Vlatko",Out,Injury/Illness - Left Foot; Fracture
6,,,,,"Harris, Gary",Out,Injury/Illness - Right Hip; Muscle strain
7,,,,,"Murray, Jamal",Questionable,Injury/Illness - Left Hamstring; Tightness
8,,,,San Antonio Spurs,"Belinelli, Marco",Available,Injury/Illness - Left Foot; Sprain
9,,,,,"Forbes, Bryn",Out,Injury/Illness - Right Quad; Tightness
10,,,,,"Lyles, Trey",Out,"Injury/Illness - "" ""; Appendectomy"
11,,,PHI@WAS,Philadelphia 76ers,"Robinson III, Glenn",Doubtful,Injury/Illness - Left Hip; Pointer
12,,,,,"Scott, Mike",Out,Injury/Illness - Right Knee; Soreness
13,,,,Washington Wizards,"Mathews, Garrison",Out,Not With Team
14,,06:30 (ET),OKC@LAL,Los Angeles Lakers,"Davis, Anthony",Probable,Injury/Illness - Right Ankle; Sprained right ankle
15,,,,,"Howard, Dwight",Questionable,Injury/Illness - Right knee; Sore right knee
16,,,,,"James, LeBron",Probable,Injury/Illness - Right Groin; Sore right groin
17,,,,,"Rondo, Rajon",Out,"Injury/Illness - Right Thumb; Surgery, right thumb"
18,,,,Oklahoma City Thunder,"Ferguson, Terrance",Out,Injury/Illness - Right Lower Leg; Contusion
19,,,,,"Muscala, Mike",Out,Injury/Illness - N/A; Concussion Protocol
20,,,,,"Schroder, Dennis",Out,Personal Reasons
21,,08:00 (ET),TOR@ORL,Orlando Magic,"Carter-Williams, Michael",Out,Injury/Illness - Left Foot; Tendon Strain
22,,,,,"Isaac, Jonathan",Out,Injury/Illness - Left Knee; Torn ACL
23,,,,Toronto Raptors,"Brissett, Oshae",Out,Injury/Illness - Right Knee; Soreness
24,,,,,"McCaw, Patrick",Out,Injury/Illness - Left Knee; Soreness
25,,09:00 (ET),BKN@BOS,Boston Celtics,"Walker, Kemba",Out,Injury/Illness - Left Knee; Rehab
26,,,,Brooklyn Nets,"Crawford, Jamal",Out,Injury/Illness - Left Hamstring; Strain
0,,,,,"Harris, Joe",Probable,Injury/Illness - Right Hamstring/lower Back; Tightness
1,,,,,"LeVert, Caris",Probable,Injury/Illness - Left Thigh; Contusion
2,08/06/2020,01:30 (ET),NOP@SAC,New Orleans Pelicans,,,NOT YET SUBMITTED
3,,,,Sacramento Kings,,,NOT YET SUBMITTED
4,,04:00 (ET),IND@PHX,Indiana Pacers,,,NOT YET SUBMITTED
5,,,,Phoenix Suns,,,NOT YET SUBMITTED
6,,,MIA@MIL,Miami Heat,,,NOT YET SUBMITTED
7,,,,Milwaukee Bucks,,,NOT YET SUBMITTED
8,,06:30 (ET),LAC@DAL,Dallas Mavericks,,,NOT YET SUBMITTED
9,,,,LA Clippers,,,NOT YET SUBMITTED
10,,08:00 (ET),POR@DEN,Denver Nuggets,,,NOT YET SUBMITTED
11,,,,Portland Trail Blazers,,,NOT YET SUBMITTED
12,,09:00 (ET),LAL@HOU,Houston Rockets,,,NOT YET SUBMITTED
13,,,,Los Angeles Lakers,,,NOT YET SUBMITTED
