,Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reason
0,08/04/2020,01:30 (ET),BKN@MIL,Brooklyn Nets,"Allen, Jarrett",Out,Rest
1,,,,,"Crawford, Jamal",Questionable,Injury/Illness - N/a; Conditioning
2,,,,,"Harris, Joe",Out,Injury/Illness - Right Hamstring/Lower Back; Tightness
3,,,,,"LeVert, Caris",Out,Injury/Illness - Left Thigh; Contusion
4,,,,Milwaukee Bucks,"Matthews, Wesley",Out,Injury/Illness - Right calf; soreness
5,,02:30 (ET),DAL@SAC,Dallas Mavericks,"Curry, Seth",Doubtful,Injury/Illness - Right Leg; Soreness
6,,,,,"Lee, Courtney",Out,Injury/Illness - Left Calf; Injury
7,,,,,"Powell, Dwight",Out,Injury/Illness - Right Achilles; Surgery
8,,,,Sacramento Kings,"Bagley III, Marvin",Out,Injury/Illness - Right Foot; Sprain
9,,,,,"Len, Alex",Questionable,Injury/Illness - -; Re- Conditioning
10,,04:00 (ET),PHX@LAC,LA Clippers,"Harrell, Montrezl",Out,Not With Team
11,,,,,"Williams, Lou",Questionable,Not With Team - Self Isolating
12,,,,Phoenix Suns,"Oubre Jr., Kelly",Out,Injury/Illness - Right Knee; Rehab
13,,06:00 (ET),ORL@IND,Indiana Pacers,,,NOT YET SUBMITTED
14,,,,Orlando Magic,"Isaac, Jonathan",Out,Injury/Illness - Left Knee; Torn ACL
15,,06:30 (ET),BOS@MIA,Miami Heat,,,NOT YET SUBMITTED
16,,09:00 (ET),HOU@POR,Houston Rockets,"Caboclo, Bruno",Out,Injury/Illness - Right Ankle; Sprain
17,,,,,"Gordon, Eric",Out,Injury/Illness - Left Ankle; Sprain
18,,,,Portland Trail Blazers,"Adams, Jaylen",Probable,Injury/Illness - Back; Low back pain
19,08/05/2020,02:30 (ET),MEM@UTA,Memphis Grizzlies,,,NOT YET SUBMITTED
20,,,,Utah Jazz,,,NOT YET SUBMITTED
21,,04:00 (ET),DEN@SAS,Denver Nuggets,,,NOT YET SUBMITTED
22,,,,San Antonio Spurs,,,NOT YET SUBMITTED
23,,,PHI@WAS,Philadelphia 76ers,,,NOT YET SUBMITTED
24,,,,Washington Wizards,,,NOT YET SUBMITTED
25,,06:30 (ET),OKC@LAL,Los Angeles Lakers,,,NOT YET SUBMITTED
26,,,,Oklahoma City Thunder,,,NOT YET SUBMITTED
0,,08:00 (ET),TOR@ORL,Orlando Magic,,,NOT YET SUBMITTED
1,,,,Toronto Raptors,,,NOT YET SUBMITTED
2,,09:00 (ET),BKN@BOS,Boston Celtics,,,NOT YET SUBMITTED
3,,,,Brooklyn Nets,,,NOT YET SUBMITTED
