,Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reason
0,08/06/2020,01:30 (ET),NOP@SAC,Sacramento Kings,"Bagley III, Marvin",Out,Injury/Illness - Right Foot; Sprain
1,,04:00 (ET),IND@PHX,Indiana Pacers,"Bitadze, Goga",Questionable,Injury/Illness - Left Knee; Sore Left Knee
2,,,,,"Brogdon, Malcolm",Questionable,Injury/Illness - Not Available; Cervical Strain
3,,,,,"Lamb, Jeremy",Out,Injury/Illness - Left Knee; Torn Left ACL
4,,,,,"Sabonis, Domantas",Out,Injury/Illness - Left Foot; Left Foot Plantar Fasciitis
5,,,,Phoenix Suns,"Baynes, Aron",Out,Injury/Illness - Right Knee; Contusion
6,,,,,"Okobo, Elie",Out,Injury/Illness - Right Ankle; Sprain
7,,,,,"Oubre Jr., Kelly",Doubtful,Injury/Illness - Right Knee; Rehab
8,,,MIA@MIL,Miami Heat,"Butler, Jimmy",Out,Injury/Illness - Right Foot; Soreness
9,,,,,"Dragic, Goran",Questionable,Injury/Illness - Left Ankle; Sprain
10,,,,,"Okpala, KZ",Out,Personal Reasons
11,,06:30 (ET),LAC@DAL,Dallas Mavericks,"Curry, Seth",Doubtful,Injury/Illness - Right Leg; Soreness
12,,,,,"Lee, Courtney",Out,Injury/Illness - Left Calf; Injury
13,,,,,"Powell, Dwight",Out,Injury/Illness - Right Achilles; Surgery
14,,,,LA Clippers,"Beverley, Patrick",Out,Injury/Illness - Left Calf; Strain
15,,,,,"Harrell, Montrezl",Out,Not With Team
16,,08:00 (ET),POR@DEN,Denver Nuggets,,,NOT YET SUBMITTED
17,,09:00 (ET),LAL@HOU,Houston Rockets,"Caboclo, Bruno",Out,Injury/Illness - Right Ankle; Sprain
18,,,,,"Gordon, Eric",Out,Injury/Illness - Left Ankle; Sprain
19,,,,,"Westbrook, Russell",Questionable,Injury/Illness - Right Quad; Contusion
20,,,,Los Angeles Lakers,,,NOT YET SUBMITTED
21,08/07/2020,01:00 (ET),UTA@SAS,San Antonio Spurs,,,NOT YET SUBMITTED
22,,,,Utah Jazz,,,NOT YET SUBMITTED
23,,04:00 (ET),OKC@MEM,Memphis Grizzlies,,,NOT YET SUBMITTED
24,,,,Oklahoma City Thunder,,,NOT YET SUBMITTED
25,,05:00 (ET),SAC@BKN,Brooklyn Nets,,,NOT YET SUBMITTED
26,,,,Sacramento Kings,,,NOT YET SUBMITTED
0,,06:30 (ET),ORL@PHI,Orlando Magic,,,NOT YET SUBMITTED
1,,,,Philadelphia 76ers,,,NOT YET SUBMITTED
2,,08:00 (ET),WAS@NOP,New Orleans Pelicans,,,NOT YET SUBMITTED
3,,,,Washington Wizards,,,NOT YET SUBMITTED
4,,09:00 (ET),BOS@TOR,Boston Celtics,,,NOT YET SUBMITTED
5,,,,Toronto Raptors,,,NOT YET SUBMITTED
