,Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reason
0,12/22/2020,07:00 (ET),GSW@BKN,Brooklyn Nets,"Claxton, Nicolas",Out,Injury/Illness - Right Knee; Tendinopathy
1,,,,Golden State Warriors,"Green, Draymond",Out,Injury/Illness - Right foot; soreness
2,,,,,"Smailagic, Alen",Out,Injury/Illness - Right Knee; Soreness
3,,10:00 (ET),LAC@LAL,LA Clippers,"Morris Sr., Marcus",Out,Injury/Illness - Right Knee; Soreness
4,12/23/2020,07:00 (ET),CHA@CLE,Charlotte Hornets,,,NOT YET SUBMITTED
5,,,,Cleveland Cavaliers,,,NOT YET SUBMITTED
6,,,MIA@ORL,Miami Heat,,,NOT YET SUBMITTED
7,,,,Orlando Magic,"Aminu, Al-Farouq",Out,Injury/Illness - Right Knee; Rehabilitation
8,,,,,"Ennis III, James",Out,Injury/Illness - Right Hamstring/calf; Strain
9,,,,,"Isaac, Jonathan",Out,Injury/Illness - Left Knee; Rehabilitation
10,,,NYK@IND,Indiana Pacers,,,NOT YET SUBMITTED
11,,,,New York Knicks,,,NOT YET SUBMITTED
12,,,WAS@PHI,Philadelphia 76ers,,,NOT YET SUBMITTED
13,,,,Washington Wizards,,,NOT YET SUBMITTED
14,,07:30 (ET),MIL@BOS,Boston Celtics,,,NOT YET SUBMITTED
15,,,,Milwaukee Bucks,,,NOT YET SUBMITTED
16,,,NOP@TOR,New Orleans Pelicans,,,NOT YET SUBMITTED
17,,,,Toronto Raptors,,,NOT YET SUBMITTED
18,,08:00 (ET),ATL@CHI,Atlanta Hawks,,,NOT YET SUBMITTED
19,,,,Chicago Bulls,,,NOT YET SUBMITTED
20,,,DET@MIN,Detroit Pistons,"Sirvydis, Deividas",Out,Not With Team
21,,,,Minnesota Timberwolves,,,NOT YET SUBMITTED
22,,,OKC@HOU,Houston Rockets,"Clemons, Chris",Out,Injury/Illness - Right Achilles; Surgery
23,,,,Oklahoma City Thunder,,,NOT YET SUBMITTED
24,,,SAS@MEM,Memphis Grizzlies,,,NOT YET SUBMITTED
25,,,,San Antonio Spurs,,,NOT YET SUBMITTED
26,,09:00 (ET),SAC@DEN,Denver Nuggets,,,NOT YET SUBMITTED
0,,,,Sacramento Kings,,,NOT YET SUBMITTED
1,,10:00 (ET),UTA@POR,Portland Trail Blazers,,,NOT YET SUBMITTED
2,,,,Utah Jazz,,,NOT YET SUBMITTED
3,,10:30 (ET),DAL@PHX,Dallas Mavericks,,,NOT YET SUBMITTED
4,,,,Phoenix Suns,,,NOT YET SUBMITTED
