,Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reason
0,08/02/2020,02:00 (ET),WAS@BKN,Brooklyn Nets,"Crawford, Jamal",Out,Injury/Illness - N/a; Conditioning
1,,,,Washington Wizards,"Mathews, Garrison",Out,Not With Team
2,,03:30 (ET),POR@BOS,Portland Trail Blazers,"Adams, Jaylen",Questionable,Injury/Illness - Back; Low back pain
3,,04:00 (ET),SAS@MEM,Memphis Grizzlies,"Jones, Tyus",Out,Injury/Illness - Right Knee; Soreness
4,,,,,"Winslow, Justise",Out,Injury/Illness - Left Hip; Displacement
5,,,,San Antonio Spurs,"Belinelli, Marco",Doubtful,Injury/Illness - Left Foot; Sprain
6,,,,,"Forbes, Bryn",Out,Injury/Illness - Right Quad; Tightness
7,,,,,"Lyles, Trey",Out,"Injury/Illness - "" ""; Appendectomy"
8,,06:00 (ET),SAC@ORL,Orlando Magic,"Iwundu, Wes",Questionable,Injury/Illness - Neck; Soreness/Stiffness
9,,,,Sacramento Kings,"Bagley III, Marvin",Out,Injury/Illness - Right Foot; Sprain
10,,,,,"Len, Alex",Out,Injury/Illness - -; Re-Conditioning
11,,08:30 (ET),MIL@HOU,Houston Rockets,"Caboclo, Bruno",Out,Injury/Illness - Right Ankle; Sprain
12,,,,,"Gordon, Eric",Out,Injury/Illness - Left Ankle; Sprain
13,,,,Milwaukee Bucks,"Bledsoe, Eric",Out,Injury/Illness - Body; Return to play conditioning
14,,,,,"Connaughton, Pat",Out,Injury/Illness - Body; Return to play conditioning
15,,09:00 (ET),DAL@PHX,Dallas Mavericks,"Lee, Courtney",Out,Injury/Illness - Left Calf; Injury
16,,,,,"Powell, Dwight",Out,Injury/Illness - Right Achilles; Surgery
17,,,,Phoenix Suns,"Oubre Jr., Kelly",Out,Injury/Illness - Right Knee; Rehab
18,08/03/2020,01:30 (ET),TOR@MIA,Miami Heat,,,NOT YET SUBMITTED
19,,,,Toronto Raptors,,,NOT YET SUBMITTED
20,,04:00 (ET),DEN@OKC,Denver Nuggets,,,NOT YET SUBMITTED
21,,,,Oklahoma City Thunder,,,NOT YET SUBMITTED
22,,,IND@WAS,Indiana Pacers,,,NOT YET SUBMITTED
23,,,,Washington Wizards,,,NOT YET SUBMITTED
24,,06:30 (ET),MEM@NOP,Memphis Grizzlies,,,NOT YET SUBMITTED
25,,,,New Orleans Pelicans,,,NOT YET SUBMITTED
26,,08:00 (ET),SAS@PHI,Philadelphia 76ers,,,NOT YET SUBMITTED
0,,,,San Antonio Spurs,,,NOT YET SUBMITTED
1,,09:00 (ET),LAL@UTA,Los Angeles Lakers,,,NOT YET SUBMITTED
2,,,,Utah Jazz,,,NOT YET SUBMITTED
