,Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reason
0,08/07/2020,01:00 (ET),UTA@SAS,San Antonio Spurs,"Forbes, Bryn",Out,Injury/Illness - Right Quad; Tightness
1,,,,,"Lyles, Trey",Out,"Injury/Illness - "" ""; Appendectomy"
2,,,,,"Zeller, Tyler",Out,Injury/Illness - Right Knee; Bone Contusion
3,,,,Utah Jazz,"Conley, Mike",Out,Injury/Illness - Right Knee; soreness
4,,,,,"Gobert, Rudy",Out,Rest - Rest
5,,,,,"Ingles, Joe",Available,Injury/Illness - Right Foot; soreness
6,,,,,"Mitchell, Donovan",Out,Injury/Illness - Left Lower leg; peroneal strain
7,,,,,"O'Neale, Royce",Out,Injury/Illness - Right Calf; soreness
8,,,,,"Williams-Goss, Nigel",Out,Injury/Illness - Left Ankle; sprain
9,,04:00 (ET),OKC@MEM,Memphis Grizzlies,"Jackson Jr., Jaren",Out,Injury/Illness - Left Knee; Mensicus Tear
10,,,,,"Jones, Tyus",Out,Injury/Illness - Right Knee; Soreness
11,,,,,"Winslow, Justise",Out,Injury/Illness - Left Hip; Displacement
12,,,,Oklahoma City Thunder,"Ferguson, Terrance",Out,Injury/Illness - Right Lower Leg; Contusion
13,,,,,"Muscala, Mike",Out,Injury/Illness - N/A; Concussion Protocol
14,,,,,"Schroder, Dennis",Out,Personal Reasons
15,,05:00 (ET),SAC@BKN,Brooklyn Nets,"Allen, Jarrett",Questionable,Injury/Illness - Left Ankle; Sprain
16,,,,,"Crawford, Jamal",Out,Injury/Illness - Left Hamstring; Strain
17,,,,,"Harris, Joe",Questionable,Injury/Illness - Left Groin; Contusion
18,,,,Sacramento Kings,,,NOT YET SUBMITTED
19,,06:30 (ET),ORL@PHI,Orlando Magic,"Carter-Williams, Michael",Questionable,Injury/Illness - Left Foot; Strained Tendon
20,,,,,"Gordon, Aaron",Out,Injury/Illness - Left Hamstring; Strain
21,,,,,"Isaac, Jonathan",Out,Injury/Illness - Left Knee; Torn ACL
22,,,,Philadelphia 76ers,"Robinson III, Glenn",Doubtful,Injury/Illness - Left hip; pointer
23,,,,,"Scott, Mike",Questionable,Injury/Illness - Right Knee; soreness
24,,,,,"Simmons, Ben",Out,Injury/Illness - Left knee; patella sublaxation
25,,08:00 (ET),WAS@NOP,New Orleans Pelicans,,,NOT YET SUBMITTED
26,,,,Washington Wizards,"Mathews, Garrison",Out,Not With Team
0,,09:00 (ET),BOS@TOR,Toronto Raptors,"Brissett, Oshae",Questionable,Injury/Illness - Right Knee; soreness
1,,,,,"McCaw, Patrick",Out,Injury/Illness - Left Knee; soreness
2,08/08/2020,01:00 (ET),LAC@POR,LA Clippers,,,NOT YET SUBMITTED
3,,,,Portland Trail Blazers,,,NOT YET SUBMITTED
4,,03:30 (ET),UTA@DEN,Denver Nuggets,,,NOT YET SUBMITTED
5,,,,Utah Jazz,,,NOT YET SUBMITTED
6,,06:00 (ET),LAL@IND,Indiana Pacers,,,NOT YET SUBMITTED
7,,,,Los Angeles Lakers,,,NOT YET SUBMITTED
8,,07:30 (ET),PHX@MIA,Miami Heat,,,NOT YET SUBMITTED
9,,,,Phoenix Suns,,,NOT YET SUBMITTED
10,,08:30 (ET),MIL@DAL,Dallas Mavericks,,,NOT YET SUBMITTED
11,,,,Milwaukee Bucks,,,NOT YET SUBMITTED
