,Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reason
0,08/12/2020,04:00 (ET),IND@HOU,Houston Rockets,"House Jr., Danuel",Questionable,Injury/Illness - Left Toe; Sprain
1,,,,,"Westbrook, Russell",Out,Rest
2,,,,Indiana Pacers,"Brogdon, Malcolm",Questionable,Injury/Illness - Neck; Sore Neck
3,,,,,"Lamb, Jeremy",Out,Injury/Illness - Left Knee; Torn Left ACL
4,,,,,"Oladipo, Victor",Questionable,Injury/Illness - Left Ankle; Sore Left Ankle
5,,,,,"Sabonis, Domantas",Out,Injury/Illness - Left Foot; Left Foot Plantar Fasciitis
6,,,,,"Turner, Myles",Questionable,Injury/Illness - Neck; Sore Neck
7,,,,,"Warren, T.J.",Out,Injury/Illness - Right Foot; Sore Right Foot
8,,06:30 (ET),TOR@PHI,Philadelphia 76ers,,,NOT YET SUBMITTED
9,,,,Toronto Raptors,"Anunoby, OG",Questionable,Injury/Illness - Right Knee; Soreness
10,,,,,"Brissett, Oshae",Out,Injury/Illness - Right Knee; Soreness
11,,,,,"Ibaka, Serge",Questionable,Injury/Illness - Right Knee; Contusion
12,,,,,"McCaw, Patrick",Out,Injury/Illness - Left Knee; Soreness
13,,08:00 (ET),MIA@OKC,Miami Heat,"Nunn, Kendrick",Out,Not With Team - Self Isolating
14,,,,,"Okpala, KZ",Out,Personal Reasons
15,,,,,"Olynyk, Kelly",Probable,Injury/Illness - Right Thumb; Bruised
16,,,,Oklahoma City Thunder,"Adams, Steven",Questionable,Injury/Illness - Left Lower Leg; Contusion
17,,,,,"Noel, Nerlens",Questionable,Injury/Illness - Right Ankle; Sprain
18,,,,,"Schroder, Dennis",Out,Not With Team - Self Isolating
19,,09:00 (ET),LAC@DEN,Denver Nuggets,"Barton, Will",Out,Injury/Illness - Right Knee; Soreness
20,,,,,"Cancar, Vlatko",Out,Injury/Illness - Left Foot; Fracture
21,,,,,"Grant, Jerami",Questionable,Injury/Illness - Right Knee; Soreness
22,,,,,"Harris, Gary",Out,Injury/Illness - Right Hip; Muscle Strain
23,,,,LA Clippers,"Beverley, Patrick",Out,Injury/Illness - Left Calf; Strain
24,,,,,"Harrell, Montrezl",Out,Not With Team - Self Isolating
25,,,,,"Shamet, Landry",Out,Injury/Illness - Left Foot; Sprain
26,08/13/2020,12:00 (ET),WAS@BOS,Boston Celtics,,,NOT YET SUBMITTED
0,,,,Washington Wizards,,,NOT YET SUBMITTED
1,,01:30 (ET),SAC@LAL,Los Angeles Lakers,,,NOT YET SUBMITTED
2,,,,Sacramento Kings,,,NOT YET SUBMITTED
3,,04:00 (ET),DAL@PHX,Dallas Mavericks,,,NOT YET SUBMITTED
4,,,,Phoenix Suns,,,NOT YET SUBMITTED
5,,,MIL@MEM,Memphis Grizzlies,,,NOT YET SUBMITTED
6,,,,Milwaukee Bucks,,,NOT YET SUBMITTED
7,,06:30 (ET),SAS@UTA,San Antonio Spurs,,,NOT YET SUBMITTED
8,,,,Utah Jazz,,,NOT YET SUBMITTED
9,,09:00 (ET),NOP@ORL,New Orleans Pelicans,,,NOT YET SUBMITTED
10,,,,Orlando Magic,"Carter-Williams, Michael",Out,Injury/Illness - Left Foot; Strained Tendon
11,,,,,"Fournier, Evan",Out,Injury/Illness - N/a; Non-Covid Illness
12,,,,,"Gordon, Aaron",Out,Injury/Illness - Left Hamstring; Strain
13,,,,,"Isaac, Jonathan",Out,Injury/Illness - Left Knee; Torn ACL
14,,,,,"Ross, Terrence",Out,Not With Team - Self Isolating
15,,,POR@BKN,Brooklyn Nets,,,NOT YET SUBMITTED
16,,,,Portland Trail Blazers,,,NOT YET SUBMITTED
