,Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reason
0,08/11/2020,01:00 (ET),BKN@ORL,Brooklyn Nets,"Allen, Jarrett",Out,Injury/Illness - Left Ankle; Sprain - Injury Management
1,,,,,"Crawford, Jamal",Out,Injury/Illness - Left Hamstring; Strain
2,,,,,"Harris, Joe",Out,Injury/Illness - Left Groin; Contusion - Injury Management
3,,,,,"LeVert, Caris",Out,Injury/Illness - Left Thigh; Contusion - Injury Management
4,,,,,"Temple, Garrett",Out,Rest
5,,,,Orlando Magic,"Bamba, Mo",Out,Injury/Illness - Head; Migraine Headache
6,,,,,"Carter-Williams, Michael",Out,Injury/Illness - Left Foot; Strained Tendon
7,,,,,"Fournier, Evan",Out,Injury/Illness - N/A; Non-Covid Illness
8,,,,,"Gordon, Aaron",Out,Injury/Illness - Left Hamstring; Strain
9,,,,,"Isaac, Jonathan",Out,Injury/Illness - Left Knee; Torn ACL
10,,,,,"Ross, Terrence",Out,Not With Team - Self Isolating
11,,02:00 (ET),HOU@SAS,Houston Rockets,"Gordon, Eric",Out,Injury/Illness - Left Ankle; Sprain
12,,,,,"Harden, James",Out,Rest
13,,,,,"House Jr., Danuel",Out,Injury/Illness - Left Toe; Sprain
14,,,,,"Westbrook, Russell",Available,Injury/Illness - Right Quad; Contusion
15,,,,San Antonio Spurs,"Forbes, Bryn",Out,Injury/Illness - Right Quad; Tightness
16,,,,,"Lyles, Trey",Out,"Injury/Illness - "" ""; Appendectomy"
17,,,,,"White, Derrick",Available,Injury/Illness - Left Knee; Contusion
18,,,,,"Zeller, Tyler",Out,Injury/Illness - Right Knee; Bone Contusion
19,,04:30 (ET),PHX@PHI,Philadelphia 76ers,"Embiid, Joel",Out,Injury/Illness - Left Ankle; Injury
20,,,,,"Harris, Tobias",Questionable,Injury/Illness - Right Ankle; Soreness
21,,,,,"Horford, Al",Questionable,Injury/Illness - Left Knee; Soreness
22,,,,,"Richardson, Josh",Out,Rest
23,,,,,"Simmons, Ben",Out,Injury/Illness - Left Knee; Surgery
24,,,,Phoenix Suns,"Baynes, Aron",Questionable,Injury/Illness - Right Knee; Bone Contusion
25,,,,,"Okobo, Elie",Questionable,Injury/Illness - Right Ankle; Sprain
26,,,,,"Oubre Jr., Kelly",Doubtful,Injury/Illness - Right Knee; Rehab
0,,05:00 (ET),BOS@MEM,Boston Celtics,"Theis, Daniel",Probable,Injury/Illness - Right Foot; Soreness
1,,,,Memphis Grizzlies,"Jackson Jr., Jaren",Out,Injury/Illness - Left Knee; Meniscus Tear
2,,,,,"Jones, Tyus",Out,Injury/Illness - Right Knee; Soreness
3,,,,,"Winslow, Justise",Out,Injury/Illness - Left Hip; Displacement
4,,06:30 (ET),POR@DAL,Dallas Mavericks,"Curry, Seth",Out,Injury/Illness - Right Leg; Soreness
5,,,,,"Finney-Smith, Dorian",Probable,Injury/Illness - Left Hip; Strain
6,,,,,"Kleber, Maxi",Probable,Injury/Illness - Right Knee; Contusion
7,,,,,"Lee, Courtney",Out,Injury/Illness - Left Calf; Injury
8,,,,,"Powell, Dwight",Out,Injury/Illness - Right Achilles; Surgery
9,,,,Portland Trail Blazers,"Whiteside, Hassan",Probable,Injury/Illness - Left Hip; Strain
10,,09:00 (ET),MIL@WAS,Milwaukee Bucks,"Antetokounmpo, Giannis",Questionable,Injury/Illness - Tooth; Oral surgery
11,,,,,"Bledsoe, Eric",Out,Injury/Illness - Right Knee; Soreness
12,,,,,"DiVincenzo, Donte",Out,Injury/Illness - Right Elbow; Contusion
13,,,,,"Matthews, Wesley",Out,Injury/Illness - Right Adductor; Soreness
14,,,,,"Middleton, Khris",Out,Rest - Load Management
15,,,,Washington Wizards,"Mathews, Garrison",Out,Not With Team
16,,,,,"Napier, Shabazz",Questionable,Injury/Illness - Right Ankle; sprain
17,,,NOP@SAC,New Orleans Pelicans,"Holiday, Jrue",Out,Injury/Illness - Right Elbow; Contusion
18,,,,,"Ingram, Brandon",Out,Injury/Illness - Right Knee; Soreness
19,,,,,"Williamson, Zion",Out,Injury/Illness - Right Knee; Soreness
20,,,,Sacramento Kings,"Bagley III, Marvin",Out,Injury/Illness - Right Foot; Sprain
21,,,,,"Bazemore, Kent",Out,Injury/Illness - Left Calf; Soreness
22,,,,,"Fox, De'Aaron",Out,Injury/Illness - Left Shoulder; Soreness
23,,,,,"Holmes, Richaun",Out,Injury/Illness - Right Hip; Soreness
24,08/12/2020,04:00 (ET),IND@HOU,Houston Rockets,,,NOT YET SUBMITTED
25,,,,Indiana Pacers,,,NOT YET SUBMITTED
26,,06:30 (ET),TOR@PHI,Philadelphia 76ers,,,NOT YET SUBMITTED
0,,,,Toronto Raptors,,,NOT YET SUBMITTED
1,,08:00 (ET),MIA@OKC,Miami Heat,,,NOT YET SUBMITTED
2,,,,Oklahoma City Thunder,,,NOT YET SUBMITTED
3,,09:00 (ET),LAC@DEN,Denver Nuggets,,,NOT YET SUBMITTED
4,,,,LA Clippers,,,NOT YET SUBMITTED
