,Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reason
0,07/31/2020,02:30 (ET),ORL@BKN,Brooklyn Nets,"Crawford, Jamal",Out,Injury/Illness - N/a; Conditioning
1,,,,,"Kurucs, Rodions",Available,Injury/Illness - Left Hip; Contusion
2,,,,Orlando Magic,"Iwundu, Wes",Out,Injury/Illness - Head; Neck Soreness/Stiffness
3,,,,,"Johnson, BJ",Out,Coach's Decision
4,,,,,"Law, Vic",Out,Coach's Decision
5,,04:00 (ET),MEM@POR,Memphis Grizzlies,"Jones, Tyus",Out,Injury/Illness - Right Knee; Soreness
6,,,,,"Winslow, Justise",Out,Injury/Illness - Left Hip; Displacement
7,,,,Portland Trail Blazers,"Adams, Jaylen",Questionable,Injury/Illness - Back; Pain
8,,,PHX@WAS,Phoenix Suns,"Lecque, Jalen",Out,Not With Team
9,,,,,"Oubre Jr., Kelly",Out,Injury/Illness - Right Knee; Rehab
10,,,,Washington Wizards,"Mathews, Garrison",Out,Personal Reasons
11,,06:30 (ET),BOS@MIL,Milwaukee Bucks,"Bledsoe, Eric",Out,Injury/Illness - Body; Return to play conditioning
12,,,,,"Connaughton, Pat",Out,Injury/Illness - Body; Return to play conditioning
13,,,,,"Mason, Frank",Probable,Injury/Illness - Back; Soreness
14,,,,,"Williams, Marvin",Doubtful,Injury/Illness - Left Groin; Strain
15,,08:00 (ET),SAC@SAS,Sacramento Kings,"Bagley III, Marvin",Out,Injury/Illness - Right Foot; Sprain
16,,,,,"Len, Alex",Out,Injury/Illness - -; Re-Conditioning
17,,,,San Antonio Spurs,"Forbes, Bryn",Out,Injury/Illness - Right Quad; Tightness
18,,,,,"Lyles, Trey",Out,"Injury/Illness - "" ""; Appendectomy"
19,,09:00 (ET),HOU@DAL,Dallas Mavericks,"Lee, Courtney",Out,Injury/Illness - Left Calf; Injury
20,,,,,"Powell, Dwight",Out,Injury/Illness - Right Achilles; Surgery
21,,,,Houston Rockets,"Gordon, Eric",Out,Injury/Illness - Left Ankle; Sprain
22,08/01/2020,01:00 (ET),MIA@DEN,Denver Nuggets,,,NOT YET SUBMITTED
23,,,,Miami Heat,,,NOT YET SUBMITTED
24,,03:30 (ET),UTA@OKC,Oklahoma City Thunder,,,NOT YET SUBMITTED
25,,,,Utah Jazz,,,NOT YET SUBMITTED
26,,06:00 (ET),NOP@LAC,LA Clippers,,,NOT YET SUBMITTED
0,,,,New Orleans Pelicans,,,NOT YET SUBMITTED
1,,07:00 (ET),PHI@IND,Indiana Pacers,,,NOT YET SUBMITTED
2,,,,Philadelphia 76ers,,,NOT YET SUBMITTED
3,,08:30 (ET),LAL@TOR,Los Angeles Lakers,,,NOT YET SUBMITTED
4,,,,Toronto Raptors,,,NOT YET SUBMITTED
