slug,name,team,location,opponent,date_played,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,total_points_scored,total_rebounds,assists,steals,blocks,turnovers,double_double_flag,triple_double_flag,draftkings_points
jamesle01,LeBron James,Team.MIAMI_HEAT,Location.AWAY,Team.PHILADELPHIA_76ERS,2013-02-23,Outcome.WIN,1890,7,12,1,4,1,2,16,10,11,2,0,2,0,1,51.5
horfoal01,Al Horford,Team.ATLANTA_HAWKS,Location.AWAY,Team.MILWAUKEE_BUCKS,2013-02-23,Outcome.WIN,2195,11,22,0,1,1,2,23,11,3,2,2,2,1,0,49.75
smithjo03,Josh Smith,Team.ATLANTA_HAWKS,Location.AWAY,Team.MILWAUKEE_BUCKS,2013-02-23,Outcome.WIN,2357,6,19,2,6,1,2,15,13,5,3,1,2,1,0,48.25
wadedw01,Dwyane Wade,Team.MIAMI_HEAT,Location.AWAY,Team.PHILADELPHIA_76ERS,2013-02-23,Outcome.WIN,1946,14,18,0,1,5,7,33,6,2,2,0,1,0,0,47.0
hardeja01,James Harden,Team.HOUSTON_ROCKETS,Location.AWAY,Team.WASHINGTON_WIZARDS,2013-02-23,Outcome.LOSS,2549,10,23,3,11,4,4,27,4,6,3,0,3,0,0,47.0
georgpa01,Paul George,Team.INDIANA_PACERS,Location.AWAY,Team.DETROIT_PISTONS,2013-02-23,Outcome.WIN,2539,5,14,1,7,1,2,12,12,8,3,0,5,1,0,44.5
iguodan01,Andre Iguodala,Team.DENVER_NUGGETS,Location.AWAY,Team.CHARLOTTE_BOBCATS,2013-02-23,Outcome.WIN,1784,5,7,1,3,2,3,13,5,10,2,2,1,1,0,43.75
teaguje01,Jeff Teague,Team.ATLANTA_HAWKS,Location.AWAY,Team.MILWAUKEE_BUCKS,2013-02-23,Outcome.WIN,2198,8,15,2,3,5,5,23,2,9,2,0,2,0,0,43.0
okafoem01,Emeka Okafor,Team.WASHINGTON_WIZARDS,Location.HOME,Team.HOUSTON_ROCKETS,2013-02-23,Outcome.WIN,2029,8,16,0,0,1,3,17,11,1,2,3,3,1,0,42.25
sandela01,Larry Sanders,Team.MILWAUKEE_BUCKS,Location.HOME,Team.ATLANTA_HAWKS,2013-02-23,Outcome.LOSS,2199,5,12,0,0,2,4,12,19,2,0,1,1,1,0,41.75
parsoch01,Chandler Parsons,Team.HOUSTON_ROCKETS,Location.AWAY,Team.WASHINGTON_WIZARDS,2013-02-23,Outcome.LOSS,2543,9,15,5,9,1,2,24,7,3,0,1,1,0,0,41.25
bealbr01,Bradley Beal,Team.WASHINGTON_WIZARDS,Location.HOME,Team.HOUSTON_ROCKETS,2013-02-23,Outcome.WIN,2224,7,15,2,4,5,6,21,5,4,2,1,1,0,0,39.75
