slug,name,team,location,opponent,date_played,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,total_points_scored,total_rebounds,assists,steals,blocks,turnovers,double_double_flag,triple_double_flag,draftkings_points
parketo01,Tony Parker,Team.SAN_ANTONIO_SPURS,Location.AWAY,Team.HOUSTON_ROCKETS,2012-12-10,Outcome.WIN,2561,9,18,1,3,8,9,27,12,12,0,0,3,0,1,62.0
linje01,Jeremy Lin,Team.HOUSTON_ROCKETS,Location.HOME,Team.SAN_ANTONIO_SPURS,2012-12-10,Outcome.LOSS,2520,11,21,4,5,12,12,38,3,7,2,2,2,0,0,61.25
aldrila01,LaMarcus Aldridge,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.TORONTO_RAPTORS,2012-12-10,Outcome.WIN,2314,11,19,0,0,8,8,30,12,0,2,2,1,1,0,54.0
curryst01,Stephen Curry,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.CHARLOTTE_BOBCATS,2012-12-10,Outcome.WIN,2193,10,22,4,7,3,4,27,7,7,1,0,3,0,0,48.75
holidjr01,Jrue Holiday,Team.PHILADELPHIA_76ERS,Location.HOME,Team.DETROIT_PISTONS,2012-12-10,Outcome.WIN,2209,11,20,1,4,2,4,25,5,8,2,1,3,0,0,48.25
jamesle01,LeBron James,Team.MIAMI_HEAT,Location.HOME,Team.ATLANTA_HAWKS,2012-12-10,Outcome.WIN,2421,10,16,1,2,6,7,27,7,6,2,0,3,0,0,47.75
leeda02,David Lee,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.CHARLOTTE_BOBCATS,2012-12-10,Outcome.WIN,2082,10,14,0,0,5,5,25,11,4,1,0,3,1,0,46.75
turneev01,Evan Turner,Team.PHILADELPHIA_76ERS,Location.HOME,Team.DETROIT_PISTONS,2012-12-10,Outcome.WIN,2394,8,13,1,1,1,2,18,11,7,0,0,1,1,0,43.75
asikom01,Ömer Aşık,Team.HOUSTON_ROCKETS,Location.HOME,Team.SAN_ANTONIO_SPURS,2012-12-10,Outcome.LOSS,2104,5,11,0,0,11,14,21,10,2,1,2,2,1,0,43.0
ginobma01,Manu Ginóbili,Team.SAN_ANTONIO_SPURS,Location.AWAY,Team.HOUSTON_ROCKETS,2012-12-10,Outcome.WIN,2189,7,12,3,7,5,6,22,5,6,1,0,2,0,0,39.75
horfoal01,Al Horford,Team.ATLANTA_HAWKS,Location.AWAY,Team.MIAMI_HEAT,2012-12-10,Outcome.LOSS,2389,8,14,0,0,4,4,20,11,1,2,0,3,1,0,39.25
duncati01,Tim Duncan,Team.SAN_ANTONIO_SPURS,Location.AWAY,Team.HOUSTON_ROCKETS,2012-12-10,Outcome.WIN,1922,1,9,0,0,8,8,10,13,3,0,3,1,1,0,37.75
parsoch01,Chandler Parsons,Team.HOUSTON_ROCKETS,Location.HOME,Team.SAN_ANTONIO_SPURS,2012-12-10,Outcome.LOSS,2466,7,18,4,8,2,5,20,7,4,1,0,2,0,0,37.75
walkeke02,Kemba Walker,Team.CHARLOTTE_BOBCATS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,2012-12-10,Outcome.LOSS,2047,6,16,3,9,9,12,24,1,6,1,1,4,0,0,37.75
smithjo03,Josh Smith,Team.ATLANTA_HAWKS,Location.AWAY,Team.MIAMI_HEAT,2012-12-10,Outcome.LOSS,2235,7,18,4,5,4,5,22,3,6,0,1,2,0,0,37.75
greenda02,Danny Green,Team.SAN_ANTONIO_SPURS,Location.AWAY,Team.HOUSTON_ROCKETS,2012-12-10,Outcome.WIN,2571,6,14,2,7,0,0,14,6,5,2,2,1,0,0,37.5
garcifr01,Francisco García,Team.SACRAMENTO_KINGS,Location.AWAY,Team.DALLAS_MAVERICKS,2012-12-10,Outcome.LOSS,1851,9,16,7,12,0,0,25,1,1,0,3,0,0,0,37.25
jackja01,Jarrett Jack,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.CHARLOTTE_BOBCATS,2012-12-10,Outcome.WIN,1889,3,11,1,4,5,6,12,5,6,5,0,2,0,0,36.75
mayooj01,O.J. Mayo,Team.DALLAS_MAVERICKS,Location.HOME,Team.SACRAMENTO_KINGS,2012-12-10,Outcome.WIN,1703,6,9,3,4,4,5,19,7,4,1,0,2,0,0,36.25
monrogr01,Greg Monroe,Team.DETROIT_PISTONS,Location.AWAY,Team.PHILADELPHIA_76ERS,2012-12-10,Outcome.LOSS,2070,7,13,0,0,8,10,22,7,3,1,0,2,0,0,36.25
