slug,name,team,location,opponent,date_played,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,total_points_scored,total_rebounds,assists,steals,blocks,turnovers,double_double_flag,triple_double_flag,draftkings_points
thompkl01,Klay Thompson,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.SAN_ANTONIO_SPURS,2013-05-08,Outcome.WIN,2796,13,26,8,9,0,0,34,14,1,3,1,1,1,0,66.0
jamesle01,LeBron James,Team.MIAMI_HEAT,Location.HOME,Team.CHICAGO_BULLS,2013-05-08,Outcome.WIN,1949,7,12,1,3,4,8,19,5,9,3,0,3,0,0,43.75
duncati01,Tim Duncan,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,2013-05-08,Outcome.LOSS,2239,9,20,0,0,5,5,23,9,2,0,1,2,0,0,38.25
leonaka01,Kawhi Leonard,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,2013-05-08,Outcome.LOSS,2599,5,11,0,3,1,5,11,12,2,1,2,2,1,0,35.5
curryst01,Stephen Curry,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.SAN_ANTONIO_SPURS,2013-05-08,Outcome.WIN,2581,7,20,2,6,6,9,22,4,4,1,0,2,0,0,35.0
parketo01,Tony Parker,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,2013-05-08,Outcome.LOSS,2373,7,17,1,1,5,7,20,6,3,2,0,3,0,0,35.0
allenra02,Ray Allen,Team.MIAMI_HEAT,Location.HOME,Team.CHICAGO_BULLS,2013-05-08,Outcome.WIN,1110,5,7,1,2,10,10,21,3,1,1,1,0,0,0,30.75
coleno01,Norris Cole,Team.MIAMI_HEAT,Location.HOME,Team.CHICAGO_BULLS,2013-05-08,Outcome.WIN,1777,7,9,4,4,0,0,18,6,2,0,0,5,0,0,28.0
belinma01,Marco Belinelli,Team.CHICAGO_BULLS,Location.AWAY,Team.MIAMI_HEAT,2013-05-08,Outcome.LOSS,2357,4,13,2,5,3,3,13,2,6,1,0,1,0,0,27.0
wadedw01,Dwyane Wade,Team.MIAMI_HEAT,Location.HOME,Team.CHICAGO_BULLS,2013-05-08,Outcome.WIN,1699,7,11,0,0,1,2,15,3,5,0,0,1,0,0,25.75
greenda02,Danny Green,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,2013-05-08,Outcome.LOSS,1899,4,12,2,6,0,0,10,6,2,1,1,0,0,0,25.5
ginobma01,Manu Ginóbili,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,2013-05-08,Outcome.LOSS,1678,5,12,1,6,1,2,12,3,4,2,0,2,0,0,25.25
bogutan01,Andrew Bogut,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.SAN_ANTONIO_SPURS,2013-05-08,Outcome.WIN,1768,2,3,0,0,2,4,6,11,2,0,1,0,0,0,24.75
barneha02,Harrison Barnes,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.SAN_ANTONIO_SPURS,2013-05-08,Outcome.WIN,2359,5,14,0,5,3,4,13,3,3,2,0,1,0,0,24.75
boshch01,Chris Bosh,Team.MIAMI_HEAT,Location.HOME,Team.CHICAGO_BULLS,2013-05-08,Outcome.WIN,1774,5,10,0,1,3,4,13,5,3,0,1,2,0,0,24.75
noahjo01,Joakim Noah,Team.CHICAGO_BULLS,Location.AWAY,Team.MIAMI_HEAT,2013-05-08,Outcome.LOSS,1907,3,7,0,0,6,6,12,6,2,1,0,2,0,0,23.5
greendr01,Draymond Green,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.SAN_ANTONIO_SPURS,2013-05-08,Outcome.WIN,1960,2,8,1,2,0,0,5,7,5,0,1,1,0,0,23.25
chalmma01,Mario Chalmers,Team.MIAMI_HEAT,Location.HOME,Team.CHICAGO_BULLS,2013-05-08,Outcome.WIN,1103,4,8,2,4,1,2,11,4,4,0,0,1,0,0,22.5
landrca01,Carl Landry,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.SAN_ANTONIO_SPURS,2013-05-08,Outcome.WIN,826,4,5,0,0,2,3,10,8,0,0,0,1,0,0,19.5
jackja01,Jarrett Jack,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.SAN_ANTONIO_SPURS,2013-05-08,Outcome.WIN,1340,4,7,0,1,0,0,8,2,4,0,1,3,0,0,17.0
robinna01,Nate Robinson,Team.CHICAGO_BULLS,Location.AWAY,Team.MIAMI_HEAT,2013-05-08,Outcome.LOSS,1997,3,10,2,5,3,6,11,3,2,0,0,4,0,0,16.75
butleji01,Jimmy Butler,Team.CHICAGO_BULLS,Location.AWAY,Team.MIAMI_HEAT,2013-05-08,Outcome.LOSS,1879,3,8,2,4,1,1,9,3,1,1,0,2,0,0,16.25
radmavl01,Vladimir Radmanović,Team.CHICAGO_BULLS,Location.AWAY,Team.MIAMI_HEAT,2013-05-08,Outcome.LOSS,613,3,3,3,3,0,0,9,0,1,2,0,1,0,0,15.5
