slug,name,team,location,opponent,date_played,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,total_points_scored,total_rebounds,assists,steals,blocks,turnovers,double_double_flag,triple_double_flag,draftkings_points
duranke01,Kevin Durant,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.NEW_YORK_KNICKS,2013-03-07,Outcome.WIN,2664,9,20,2,6,14,15,34,8,6,0,1,7,0,0,52.5
smithjr01,J.R. Smith,Team.NEW_YORK_KNICKS,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,2013-03-07,Outcome.LOSS,2171,14,29,6,13,2,2,36,3,3,3,0,2,0,0,52.25
lawsoty01,Ty Lawson,Team.DENVER_NUGGETS,Location.HOME,Team.LOS_ANGELES_CLIPPERS,2013-03-07,Outcome.WIN,2084,9,15,3,6,0,0,21,6,11,1,0,0,1,0,50.0
gallida01,Danilo Gallinari,Team.DENVER_NUGGETS,Location.HOME,Team.LOS_ANGELES_CLIPPERS,2013-03-07,Outcome.WIN,2081,8,15,2,4,2,3,20,5,6,2,1,1,0,0,41.75
paulch01,Chris Paul,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.DENVER_NUGGETS,2013-03-07,Outcome.LOSS,2256,6,11,2,4,2,3,16,4,10,0,0,1,1,0,38.0
westbru01,Russell Westbrook,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.NEW_YORK_KNICKS,2013-03-07,Outcome.WIN,2170,8,22,1,4,4,6,21,6,5,2,0,5,0,0,38.0
farieke01,Kenneth Faried,Team.DENVER_NUGGETS,Location.HOME,Team.LOS_ANGELES_CLIPPERS,2013-03-07,Outcome.WIN,2007,4,6,0,0,3,4,11,10,2,1,4,1,1,0,37.5
iguodan01,Andre Iguodala,Team.DENVER_NUGGETS,Location.HOME,Team.LOS_ANGELES_CLIPPERS,2013-03-07,Outcome.WIN,2314,5,10,2,6,2,2,14,3,7,2,1,1,0,0,34.75
martike02,Kevin Martin,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.NEW_YORK_KNICKS,2013-03-07,Outcome.WIN,1944,4,6,3,5,5,6,16,4,4,2,0,0,0,0,32.5
ibakase01,Serge Ibaka,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.NEW_YORK_KNICKS,2013-03-07,Outcome.WIN,2400,5,7,0,1,2,2,12,9,0,0,5,2,0,0,32.25
stoudam01,Amar'e Stoudemire,Team.NEW_YORK_KNICKS,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,2013-03-07,Outcome.LOSS,1735,5,16,0,0,6,6,16,8,0,0,2,0,0,0,30.0
barnema02,Matt Barnes,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.DENVER_NUGGETS,2013-03-07,Outcome.LOSS,2155,8,20,0,5,3,3,19,0,3,1,1,0,0,0,27.5
chandwi01,Wilson Chandler,Team.DENVER_NUGGETS,Location.HOME,Team.LOS_ANGELES_CLIPPERS,2013-03-07,Outcome.WIN,1538,5,8,2,2,0,0,12,4,5,0,0,2,0,0,24.5
odomla01,Lamar Odom,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.DENVER_NUGGETS,2013-03-07,Outcome.LOSS,960,3,9,1,1,1,1,8,10,1,1,0,1,0,0,24.0
griffbl01,Blake Griffin,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.DENVER_NUGGETS,2013-03-07,Outcome.LOSS,1997,7,12,0,0,3,3,17,2,2,1,0,3,0,0,23.0
chandty01,Tyson Chandler,Team.NEW_YORK_KNICKS,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,2013-03-07,Outcome.LOSS,2117,3,4,0,0,3,3,9,10,1,1,0,4,0,0,23.0
kiddja01,Jason Kidd,Team.NEW_YORK_KNICKS,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,2013-03-07,Outcome.LOSS,1609,0,2,0,1,0,0,0,10,3,2,1,1,0,0,22.5
feltora01,Raymond Felton,Team.NEW_YORK_KNICKS,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,2013-03-07,Outcome.LOSS,2289,6,16,1,8,3,3,16,1,3,1,0,4,0,0,22.25
jordade01,DeAndre Jordan,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.DENVER_NUGGETS,2013-03-07,Outcome.LOSS,1472,3,6,0,0,1,3,7,6,0,0,2,0,0,0,18.5
millean02,Andre Miller,Team.DENVER_NUGGETS,Location.HOME,Team.LOS_ANGELES_CLIPPERS,2013-03-07,Outcome.WIN,1229,4,8,1,2,3,3,12,2,1,0,0,1,0,0,16.0
breweco01,Corey Brewer,Team.DENVER_NUGGETS,Location.HOME,Team.LOS_ANGELES_CLIPPERS,2013-03-07,Outcome.WIN,1154,5,11,1,3,0,0,11,3,1,0,0,2,0,0,15.75
koufoko01,Kosta Koufos,Team.DENVER_NUGGETS,Location.HOME,Team.LOS_ANGELES_CLIPPERS,2013-03-07,Outcome.WIN,1169,3,3,0,0,0,0,6,3,0,1,2,1,0,0,15.25
butleca01,Caron Butler,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.DENVER_NUGGETS,2013-03-07,Outcome.LOSS,1649,3,9,2,6,0,0,8,2,2,0,0,0,0,0,14.5
