slug,name,team,location,opponent,date_played,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,total_points_scored,total_rebounds,assists,steals,blocks,turnovers,double_double_flag,triple_double_flag,draftkings_points
couside01,DeMarcus Cousins,Team.SACRAMENTO_KINGS,Location.HOME,Team.PHOENIX_SUNS,2013-11-19,Outcome.WIN,2108,9,18,0,0,9,15,27,12,3,4,2,4,1,0,58.0
walljo01,John Wall,Team.WASHINGTON_WIZARDS,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,2013-11-19,Outcome.WIN,2364,5,17,0,1,4,4,14,5,16,2,1,1,1,0,51.25
loveke01,Kevin Love,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.WASHINGTON_WIZARDS,2013-11-19,Outcome.LOSS,2216,8,17,4,10,5,9,25,11,4,0,0,3,1,0,46.75
joneste01,Terrence Jones,Team.HOUSTON_ROCKETS,Location.HOME,Team.BOSTON_CELTICS,2013-11-19,Outcome.WIN,1629,10,12,1,1,3,4,24,9,1,0,2,1,0,0,40.75
bealbr01,Bradley Beal,Team.WASHINGTON_WIZARDS,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,2013-11-19,Outcome.WIN,2302,9,21,2,3,5,5,25,5,2,3,0,2,0,0,40.25
greenge01,Gerald Green,Team.PHOENIX_SUNS,Location.AWAY,Team.SACRAMENTO_KINGS,2013-11-19,Outcome.LOSS,2117,6,13,4,8,7,8,23,3,4,1,2,2,0,0,39.75
drumman01,Andre Drummond,Team.DETROIT_PISTONS,Location.HOME,Team.NEW_YORK_KNICKS,2013-11-19,Outcome.WIN,2147,6,7,0,0,1,5,13,11,1,2,3,3,1,0,38.25
howardw01,Dwight Howard,Team.HOUSTON_ROCKETS,Location.HOME,Team.BOSTON_CELTICS,2013-11-19,Outcome.WIN,1672,3,4,0,0,4,8,10,12,2,2,3,3,1,0,38.0
anthoca01,Carmelo Anthony,Team.NEW_YORK_KNICKS,Location.AWAY,Team.DETROIT_PISTONS,2013-11-19,Outcome.LOSS,2235,8,20,1,3,8,11,25,7,1,2,0,7,0,0,36.25
webstma02,Martell Webster,Team.WASHINGTON_WIZARDS,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,2013-11-19,Outcome.WIN,2576,6,13,5,10,0,0,17,9,2,0,1,0,0,0,35.75
hilarne01,Nenê Hilário,Team.WASHINGTON_WIZARDS,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,2013-11-19,Outcome.WIN,2075,7,12,0,0,6,6,20,5,4,1,1,2,0,0,35.25
smithjo03,Josh Smith,Team.DETROIT_PISTONS,Location.HOME,Team.NEW_YORK_KNICKS,2013-11-19,Outcome.WIN,2487,7,19,2,6,3,5,19,5,4,1,0,1,0,0,33.75
fryech01,Channing Frye,Team.PHOENIX_SUNS,Location.AWAY,Team.SACRAMENTO_KINGS,2013-11-19,Outcome.LOSS,1812,7,13,3,6,0,0,17,9,1,0,1,1,0,0,32.75
stuckro01,Rodney Stuckey,Team.DETROIT_PISTONS,Location.HOME,Team.NEW_YORK_KNICKS,2013-11-19,Outcome.WIN,1861,8,14,0,0,5,5,21,2,5,1,0,2,0,0,32.0
scottmi01,Mike Scott,Team.ATLANTA_HAWKS,Location.AWAY,Team.MIAMI_HEAT,2013-11-19,Outcome.LOSS,1674,6,10,1,2,2,2,15,10,1,1,0,2,1,0,32.0
monrogr01,Greg Monroe,Team.DETROIT_PISTONS,Location.HOME,Team.NEW_YORK_KNICKS,2013-11-19,Outcome.WIN,2184,6,8,0,0,4,4,16,11,1,0,0,5,1,0,30.25
boshch01,Chris Bosh,Team.MIAMI_HEAT,Location.HOME,Team.ATLANTA_HAWKS,2013-11-19,Outcome.WIN,1499,8,9,1,1,2,3,19,5,0,1,1,0,0,0,29.75
chalmma01,Mario Chalmers,Team.MIAMI_HEAT,Location.HOME,Team.ATLANTA_HAWKS,2013-11-19,Outcome.WIN,1664,5,9,3,6,1,1,14,3,4,3,0,3,0,0,29.75
hardeja01,James Harden,Team.HOUSTON_ROCKETS,Location.HOME,Team.BOSTON_CELTICS,2013-11-19,Outcome.WIN,1884,5,8,3,3,2,2,15,4,5,1,1,7,0,0,29.5
breweco01,Corey Brewer,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.WASHINGTON_WIZARDS,2013-11-19,Outcome.LOSS,2080,7,17,1,5,1,1,16,4,0,4,0,1,0,0,29.0
prigipa01,Pablo Prigioni,Team.NEW_YORK_KNICKS,Location.AWAY,Team.DETROIT_PISTONS,2013-11-19,Outcome.LOSS,1380,3,5,2,4,0,0,8,5,5,2,1,0,0,0,28.75
coleno01,Norris Cole,Team.MIAMI_HEAT,Location.HOME,Team.ATLANTA_HAWKS,2013-11-19,Outcome.WIN,1511,4,12,0,1,0,0,8,5,9,1,0,2,0,0,28.75
mclembe01,Ben McLemore,Team.SACRAMENTO_KINGS,Location.HOME,Team.PHOENIX_SUNS,2013-11-19,Outcome.WIN,2040,5,13,4,10,5,5,19,5,0,0,1,1,0,0,28.75
jamesle01,LeBron James,Team.MIAMI_HEAT,Location.HOME,Team.ATLANTA_HAWKS,2013-11-19,Outcome.WIN,1842,6,13,0,0,1,3,13,6,5,1,0,3,0,0,28.5
olynyke01,Kelly Olynyk,Team.BOSTON_CELTICS,Location.AWAY,Team.HOUSTON_ROCKETS,2013-11-19,Outcome.LOSS,1344,4,11,1,2,0,0,9,8,1,3,1,1,0,0,28.5
gortama01,Marcin Gortat,Team.WASHINGTON_WIZARDS,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,2013-11-19,Outcome.WIN,1852,7,10,0,0,0,0,14,7,2,0,1,2,0,0,26.75
thomais02,Isaiah Thomas,Team.SACRAMENTO_KINGS,Location.HOME,Team.PHOENIX_SUNS,2013-11-19,Outcome.WIN,1438,6,12,1,5,6,6,19,0,3,2,0,3,0,0,26.5
bargnan01,Andrea Bargnani,Team.NEW_YORK_KNICKS,Location.AWAY,Team.DETROIT_PISTONS,2013-11-19,Outcome.LOSS,2278,6,12,0,2,1,1,13,6,2,0,1,0,0,0,25.5
goodwar01,Archie Goodwin,Team.PHOENIX_SUNS,Location.AWAY,Team.SACRAMENTO_KINGS,2013-11-19,Outcome.LOSS,1153,7,10,1,3,1,2,16,2,2,2,0,1,0,0,25.5
martike02,Kevin Martin,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.WASHINGTON_WIZARDS,2013-11-19,Outcome.LOSS,1966,4,17,1,5,2,2,11,5,4,1,0,1,0,0,25.25
dragigo01,Goran Dragić,Team.PHOENIX_SUNS,Location.AWAY,Team.SACRAMENTO_KINGS,2013-11-19,Outcome.LOSS,2129,3,9,0,1,4,4,10,2,8,2,0,7,0,0,25.0
allenra02,Ray Allen,Team.MIAMI_HEAT,Location.HOME,Team.ATLANTA_HAWKS,2013-11-19,Outcome.WIN,1480,5,10,3,6,4,5,17,3,1,1,0,2,0,0,24.75
bareajo01,J.J. Barea,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.WASHINGTON_WIZARDS,2013-11-19,Outcome.LOSS,1728,5,10,1,3,1,2,12,2,7,0,0,2,0,0,24.5
morrima03,Marcus Morris,Team.PHOENIX_SUNS,Location.AWAY,Team.SACRAMENTO_KINGS,2013-11-19,Outcome.LOSS,1441,6,11,2,6,5,5,19,3,0,0,0,0,0,0,23.75
smithjr01,J.R. Smith,Team.NEW_YORK_KNICKS,Location.AWAY,Team.DETROIT_PISTONS,2013-11-19,Outcome.LOSS,2052,7,15,2,9,2,2,18,1,2,1,0,3,0,0,23.75
sullija01,Jared Sullinger,Team.BOSTON_CELTICS,Location.AWAY,Team.HOUSTON_ROCKETS,2013-11-19,Outcome.LOSS,1309,4,10,1,2,1,2,10,9,2,0,0,2,0,0,23.75
parsoch01,Chandler Parsons,Team.HOUSTON_ROCKETS,Location.HOME,Team.BOSTON_CELTICS,2013-11-19,Outcome.WIN,1792,4,8,1,3,2,3,11,1,6,0,1,0,0,0,23.75
beverpa01,Patrick Beverley,Team.HOUSTON_ROCKETS,Location.HOME,Team.BOSTON_CELTICS,2013-11-19,Outcome.WIN,1383,6,9,2,3,2,2,16,4,1,0,0,1,0,0,23.0
pekovni01,Nikola Peković,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.WASHINGTON_WIZARDS,2013-11-19,Outcome.LOSS,2166,5,10,0,0,3,5,13,6,1,1,0,2,0,0,23.0
linje01,Jeremy Lin,Team.HOUSTON_ROCKETS,Location.HOME,Team.BOSTON_CELTICS,2013-11-19,Outcome.WIN,1417,4,7,1,3,2,2,11,0,5,1,1,1,0,0,22.5
