slug,name,team,location,opponent,date_played,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,total_points_scored,total_rebounds,assists,steals,blocks,turnovers,double_double_flag,triple_double_flag,draftkings_points
drumman01,Andre Drummond,Team.DETROIT_PISTONS,Location.HOME,Team.INDIANA_PACERS,2019-04-03,Outcome.LOSS,2602,11,16,0,0,6,11,28,19,3,3,3,4,1,0,67.75
youngtr01,Trae Young,Team.ATLANTA_HAWKS,Location.HOME,Team.PHILADELPHIA_76ERS,2019-04-03,Outcome.WIN,1969,12,18,2,6,7,7,33,7,12,1,0,2,1,0,63.25
randlju01,Julius Randle,Team.NEW_ORLEANS_PELICANS,Location.HOME,Team.CHARLOTTE_HORNETS,2019-04-03,Outcome.LOSS,2048,12,19,3,5,7,8,34,11,3,2,1,4,1,0,59.25
simmobe01,Ben Simmons,Team.PHILADELPHIA_76ERS,Location.AWAY,Team.ATLANTA_HAWKS,2019-04-03,Outcome.LOSS,1997,6,17,0,0,3,8,15,16,8,4,1,3,1,0,57.0
townska01,Karl-Anthony Towns,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.DALLAS_MAVERICKS,2019-04-03,Outcome.WIN,2194,12,15,0,0,4,6,28,13,3,0,3,1,1,0,55.75
doncilu01,Luka Dončić,Team.DALLAS_MAVERICKS,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,2019-04-03,Outcome.LOSS,1905,11,21,2,8,3,3,27,12,6,0,1,4,1,0,53.5
vucevni01,Nikola Vučević,Team.ORLANDO_MAGIC,Location.HOME,Team.NEW_YORK_KNICKS,2019-04-03,Outcome.WIN,1964,11,21,1,3,6,8,29,13,3,0,1,3,1,0,52.25
paulch01,Chris Paul,Team.HOUSTON_ROCKETS,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,2019-04-03,Outcome.WIN,1601,10,19,5,8,4,4,29,4,7,2,1,3,0,0,51.5
siakapa01,Pascal Siakam,Team.TORONTO_RAPTORS,Location.AWAY,Team.BROOKLYN_NETS,2019-04-03,Outcome.WIN,2138,11,21,3,7,3,4,28,10,5,0,0,1,1,0,50.5
hezonma01,Mario Hezonja,Team.NEW_YORK_KNICKS,Location.AWAY,Team.ORLANDO_MAGIC,2019-04-03,Outcome.LOSS,2036,11,22,1,5,6,6,29,9,5,2,0,4,0,0,50.25
walkeke02,Kemba Walker,Team.CHARLOTTE_HORNETS,Location.AWAY,Team.NEW_ORLEANS_PELICANS,2019-04-03,Outcome.WIN,2129,9,17,2,5,12,13,32,3,7,2,0,4,0,0,49.25
hardeja01,James Harden,Team.HOUSTON_ROCKETS,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,2019-04-03,Outcome.WIN,1821,9,15,3,7,10,12,31,7,7,0,0,6,0,0,48.75
capelca01,Clint Capela,Team.HOUSTON_ROCKETS,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,2019-04-03,Outcome.WIN,1742,11,17,0,0,2,4,24,15,1,0,2,2,1,0,48.75
