slug,name,team,location,opponent,date_played,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,total_points_scored,total_rebounds,assists,steals,blocks,turnovers,double_double_flag,triple_double_flag,draftkings_points
hardeja01,James Harden,Team.HOUSTON_ROCKETS,Location.AWAY,Team.ATLANTA_HAWKS,2020-01-08,Outcome.WIN,2384,9,34,4,20,19,23,41,10,10,2,3,8,0,1,79.5
youngtr01,Trae Young,Team.ATLANTA_HAWKS,Location.HOME,Team.HOUSTON_ROCKETS,2020-01-08,Outcome.LOSS,2315,11,30,4,11,16,18,42,13,10,0,1,3,0,1,78.75
ingrabr01,Brandon Ingram,Team.NEW_ORLEANS_PELICANS,Location.HOME,Team.CHICAGO_BULLS,2020-01-08,Outcome.WIN,2285,7,19,4,11,11,12,29,8,11,0,2,3,1,0,61.5
capelca01,Clint Capela,Team.HOUSTON_ROCKETS,Location.AWAY,Team.ATLANTA_HAWKS,2020-01-08,Outcome.WIN,2178,9,14,0,0,4,4,22,22,0,2,2,1,1,0,58.5
jokicni01,Nikola Jokić,Team.DENVER_NUGGETS,Location.AWAY,Team.DALLAS_MAVERICKS,2020-01-08,Outcome.WIN,1875,12,20,4,6,5,8,33,6,7,1,1,3,0,0,55.5
antetgi01,Giannis Antetokounmpo,Team.MILWAUKEE_BUCKS,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,2020-01-08,Outcome.WIN,1925,10,21,1,7,9,13,30,13,4,1,0,3,1,0,54.75
sabondo01,Domantas Sabonis,Team.INDIANA_PACERS,Location.HOME,Team.MIAMI_HEAT,2020-01-08,Outcome.LOSS,2241,10,13,0,0,7,8,27,14,6,0,0,3,1,0,53.5
doncilu01,Luka Dončić,Team.DALLAS_MAVERICKS,Location.HOME,Team.DENVER_NUGGETS,2020-01-08,Outcome.LOSS,2238,11,24,1,7,4,6,27,9,10,0,0,6,1,0,52.25
lavinza01,Zach LaVine,Team.CHICAGO_BULLS,Location.AWAY,Team.NEW_ORLEANS_PELICANS,2020-01-08,Outcome.LOSS,2206,13,24,3,7,3,4,32,5,6,2,0,3,0,0,51.25
vucevni01,Nikola Vučević,Team.ORLANDO_MAGIC,Location.HOME,Team.WASHINGTON_WIZARDS,2020-01-08,Outcome.WIN,1668,12,20,2,6,3,4,29,9,2,2,1,1,0,0,49.75
daviste02,Terence Davis,Team.TORONTO_RAPTORS,Location.AWAY,Team.CHARLOTTE_HORNETS,2020-01-08,Outcome.WIN,2243,8,16,4,8,3,3,23,11,5,1,0,0,1,0,49.75
goberru01,Rudy Gobert,Team.UTAH_JAZZ,Location.HOME,Team.NEW_YORK_KNICKS,2020-01-08,Outcome.WIN,1560,5,5,0,0,6,10,16,16,4,1,1,1,1,0,47.0
collijo01,John Collins,Team.ATLANTA_HAWKS,Location.HOME,Team.HOUSTON_ROCKETS,2020-01-08,Outcome.LOSS,1960,7,15,1,3,2,2,17,14,0,1,4,2,1,0,45.5
bridgmi02,Miles Bridges,Team.CHARLOTTE_HORNETS,Location.HOME,Team.TORONTO_RAPTORS,2020-01-08,Outcome.LOSS,2113,10,15,6,9,0,0,26,9,1,1,1,1,0,0,45.25
derozde01,DeMar DeRozan,Team.SAN_ANTONIO_SPURS,Location.AWAY,Team.BOSTON_CELTICS,2020-01-08,Outcome.WIN,2039,10,17,0,1,11,11,31,6,4,1,0,4,0,0,44.5
browntr01,Troy Brown,Team.WASHINGTON_WIZARDS,Location.AWAY,Team.ORLANDO_MAGIC,2020-01-08,Outcome.LOSS,2127,6,17,1,5,5,7,18,11,5,2,0,3,1,0,43.75
ibakase01,Serge Ibaka,Team.TORONTO_RAPTORS,Location.AWAY,Team.CHARLOTTE_HORNETS,2020-01-08,Outcome.WIN,2356,10,19,1,1,2,5,23,11,2,0,2,4,1,0,43.75
middlkh01,Khris Middleton,Team.MILWAUKEE_BUCKS,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,2020-01-08,Outcome.WIN,1980,6,16,3,8,6,6,21,7,6,1,0,1,0,0,41.75
dunnkr01,Kris Dunn,Team.CHICAGO_BULLS,Location.AWAY,Team.NEW_ORLEANS_PELICANS,2020-01-08,Outcome.LOSS,1832,6,11,3,6,0,0,15,4,7,5,0,2,0,0,41.0
portibo01,Bobby Portis,Team.NEW_YORK_KNICKS,Location.AWAY,Team.UTAH_JAZZ,2020-01-08,Outcome.LOSS,1730,5,17,2,4,1,1,13,13,6,0,0,0,1,0,40.75
redicjj01,J.J. Redick,Team.NEW_ORLEANS_PELICANS,Location.HOME,Team.CHICAGO_BULLS,2020-01-08,Outcome.WIN,2070,7,14,6,12,4,4,24,4,4,1,0,1,0,0,39.5
