slug,name,team,location,opponent,date_played,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,total_points_scored,total_rebounds,assists,steals,blocks,turnovers,double_double_flag,triple_double_flag,draftkings_points
doncilu01,Luka Dončić,Team.DALLAS_MAVERICKS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,2019-11-20,Outcome.WIN,1530,11,18,6,10,7,8,35,10,11,4,0,5,0,1,75.5
beverpa01,Patrick Beverley,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.BOSTON_CELTICS,2019-11-20,Outcome.WIN,2441,5,11,4,7,0,0,14,16,7,3,2,2,1,0,57.0
antetgi01,Giannis Antetokounmpo,Team.MILWAUKEE_BUCKS,Location.AWAY,Team.ATLANTA_HAWKS,2019-11-20,Outcome.WIN,1808,12,17,1,6,8,13,33,11,4,0,1,4,1,0,54.75
morrima03,Marcus Morris,Team.NEW_YORK_KNICKS,Location.AWAY,Team.PHILADELPHIA_76ERS,2019-11-20,Outcome.LOSS,2405,8,21,4,7,2,2,22,13,6,2,0,2,1,0,53.75
simmobe01,Ben Simmons,Team.PHILADELPHIA_76ERS,Location.HOME,Team.NEW_YORK_KNICKS,2019-11-20,Outcome.WIN,2506,7,9,1,1,3,4,18,7,13,1,1,1,1,0,51.75
tatumja01,Jayson Tatum,Team.BOSTON_CELTICS,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,2019-11-20,Outcome.LOSS,2434,12,24,5,10,1,2,30,6,3,2,2,3,0,0,51.0
hardeja01,James Harden,Team.HOUSTON_ROCKETS,Location.AWAY,Team.DENVER_NUGGETS,2019-11-20,Outcome.LOSS,2226,8,16,4,8,7,10,27,7,7,3,0,8,0,0,50.25
embiijo01,Joel Embiid,Team.PHILADELPHIA_76ERS,Location.HOME,Team.NEW_YORK_KNICKS,2019-11-20,Outcome.WIN,2019,7,19,1,7,8,12,23,12,5,0,1,3,1,0,48.0
allenja01,Jarrett Allen,Team.BROOKLYN_NETS,Location.HOME,Team.CHARLOTTE_HORNETS,2019-11-20,Outcome.WIN,1654,9,12,0,0,4,6,22,17,0,2,0,2,1,0,47.75
jokicni01,Nikola Jokić,Team.DENVER_NUGGETS,Location.HOME,Team.HOUSTON_ROCKETS,2019-11-20,Outcome.WIN,1946,12,19,2,4,1,1,27,12,4,0,0,7,1,0,47.0
loveke01,Kevin Love,Team.CLEVELAND_CAVALIERS,Location.AWAY,Team.MIAMI_HEAT,2019-11-20,Outcome.LOSS,1997,8,14,5,9,4,4,25,13,2,0,0,4,1,0,46.25
butleji01,Jimmy Butler,Team.MIAMI_HEAT,Location.HOME,Team.CLEVELAND_CAVALIERS,2019-11-20,Outcome.WIN,1946,3,16,2,4,13,13,21,5,5,2,4,3,0,0,46.25
huntede01,De'Andre Hunter,Team.ATLANTA_HAWKS,Location.HOME,Team.MILWAUKEE_BUCKS,2019-11-20,Outcome.LOSS,1712,8,12,3,3,8,9,27,11,2,0,0,1,1,0,46.25
isaacjo01,Jonathan Isaac,Team.ORLANDO_MAGIC,Location.AWAY,Team.TORONTO_RAPTORS,2019-11-20,Outcome.LOSS,2018,6,15,0,4,4,6,16,13,3,1,3,1,1,0,45.75
harrish01,Shaquille Harrison,Team.CHICAGO_BULLS,Location.HOME,Team.DETROIT_PISTONS,2019-11-20,Outcome.WIN,1577,7,12,1,2,0,2,15,11,5,3,1,2,1,0,45.25
derozde01,DeMar DeRozan,Team.SAN_ANTONIO_SPURS,Location.AWAY,Team.WASHINGTON_WIZARDS,2019-11-20,Outcome.LOSS,2393,9,13,0,0,13,17,31,4,5,0,1,1,0,0,45.0
youngtr01,Trae Young,Team.ATLANTA_HAWKS,Location.HOME,Team.MILWAUKEE_BUCKS,2019-11-20,Outcome.LOSS,1982,8,22,1,5,8,10,25,2,8,3,0,2,0,0,45.0
