slug,name,team,location,opponent,date_played,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,total_points_scored,total_rebounds,assists,steals,blocks,turnovers,double_double_flag,triple_double_flag,draftkings_points
curryst01,Stephen Curry,Team.GOLDEN_STATE_WARRIORS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,2015-04-09,Outcome.WIN,2113,17,23,8,13,3,3,45,2,10,0,0,4,1,0,66.0
aldrila01,LaMarcus Aldridge,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,2015-04-09,Outcome.LOSS,2071,11,24,2,3,3,3,27,6,4,1,2,2,0,0,46.5
whiteha01,Hassan Whiteside,Team.MIAMI_HEAT,Location.HOME,Team.CHICAGO_BULLS,2015-04-09,Outcome.LOSS,2253,9,15,0,0,1,2,19,16,0,0,1,2,1,0,41.5
greendr01,Draymond Green,Team.GOLDEN_STATE_WARRIORS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,2015-04-09,Outcome.WIN,2136,5,11,1,4,0,0,11,14,3,1,2,1,1,0,40.5
gasolpa01,Pau Gasol,Team.CHICAGO_BULLS,Location.AWAY,Team.MIAMI_HEAT,2015-04-09,Outcome.WIN,2050,8,17,0,0,0,0,16,15,1,0,1,0,1,0,39.75
lillada01,Damian Lillard,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,2015-04-09,Outcome.LOSS,2292,9,22,1,9,1,2,20,6,8,0,0,2,0,0,39.0
thompkl01,Klay Thompson,Team.GOLDEN_STATE_WARRIORS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,2015-04-09,Outcome.WIN,2164,10,21,3,5,3,4,26,4,2,1,1,2,0,0,38.5
batumni01,Nicolas Batum,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,2015-04-09,Outcome.LOSS,2469,3,9,1,3,0,0,7,10,8,1,1,0,0,0,36.0
gibsota01,Taj Gibson,Team.CHICAGO_BULLS,Location.AWAY,Team.MIAMI_HEAT,2015-04-09,Outcome.WIN,2012,6,12,0,0,2,2,14,12,2,0,1,1,1,0,35.0
denglu01,Luol Deng,Team.MIAMI_HEAT,Location.HOME,Team.CHICAGO_BULLS,2015-04-09,Outcome.LOSS,2160,3,13,0,3,2,2,8,8,4,2,1,0,0,0,30.0
dunlemi02,Mike Dunleavy,Team.CHICAGO_BULLS,Location.AWAY,Team.MIAMI_HEAT,2015-04-09,Outcome.WIN,1901,5,12,1,4,1,1,12,5,2,4,0,1,0,0,29.25
barneha02,Harrison Barnes,Team.GOLDEN_STATE_WARRIORS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,2015-04-09,Outcome.WIN,1769,5,6,0,1,2,2,12,7,4,1,0,2,0,0,27.75
mccolcj01,CJ McCollum,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,2015-04-09,Outcome.LOSS,1855,8,14,1,3,0,0,17,2,1,2,1,1,0,0,27.0
bogutan01,Andrew Bogut,Team.GOLDEN_STATE_WARRIORS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,2015-04-09,Outcome.WIN,1915,5,6,0,0,0,0,10,7,4,0,0,0,0,0,24.75
brookaa01,Aaron Brooks,Team.CHICAGO_BULLS,Location.AWAY,Team.MIAMI_HEAT,2015-04-09,Outcome.WIN,1466,5,12,2,6,2,2,14,1,3,1,0,1,0,0,22.25
lopezro01,Robin Lopez,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,2015-04-09,Outcome.LOSS,1365,4,7,0,0,2,2,10,7,1,0,1,1,0,0,21.75
mirotni01,Nikola Mirotić,Team.CHICAGO_BULLS,Location.AWAY,Team.MIAMI_HEAT,2015-04-09,Outcome.WIN,1018,2,7,2,7,3,4,9,3,1,3,0,1,0,0,20.75
dragigo01,Goran Dragić,Team.MIAMI_HEAT,Location.HOME,Team.CHICAGO_BULLS,2015-04-09,Outcome.LOSS,1981,7,16,1,4,0,0,15,2,1,0,1,2,0,0,20.5
beaslmi01,Michael Beasley,Team.MIAMI_HEAT,Location.HOME,Team.CHICAGO_BULLS,2015-04-09,Outcome.LOSS,1164,5,8,3,4,0,0,13,2,1,0,1,1,0,0,20.0
rosede01,Derrick Rose,Team.CHICAGO_BULLS,Location.AWAY,Team.MIAMI_HEAT,2015-04-09,Outcome.WIN,1222,5,15,0,3,2,2,12,4,2,0,0,3,0,0,18.5
noahjo01,Joakim Noah,Team.CHICAGO_BULLS,Location.AWAY,Team.MIAMI_HEAT,2015-04-09,Outcome.WIN,1651,1,6,0,0,1,4,3,6,4,1,0,2,0,0,17.5
wadedw01,Dwyane Wade,Team.MIAMI_HEAT,Location.HOME,Team.CHICAGO_BULLS,2015-04-09,Outcome.LOSS,2259,4,20,1,3,0,0,9,3,3,0,0,5,0,0,15.25
snellto01,Tony Snell,Team.CHICAGO_BULLS,Location.AWAY,Team.MIAMI_HEAT,2015-04-09,Outcome.WIN,2273,2,8,1,3,2,2,7,5,1,0,0,0,0,0,15.25
ennisja01,James Ennis,Team.MIAMI_HEAT,Location.HOME,Team.CHICAGO_BULLS,2015-04-09,Outcome.LOSS,1357,2,3,0,1,2,3,6,5,2,0,0,2,0,0,14.25
leoname01,Meyers Leonard,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,2015-04-09,Outcome.LOSS,473,2,2,0,0,0,0,4,6,1,0,0,0,0,0,13.0
iguodan01,Andre Iguodala,Team.GOLDEN_STATE_WARRIORS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,2015-04-09,Outcome.WIN,1620,2,8,0,2,0,0,4,2,2,1,1,1,0,0,13.0
afflaar01,Arron Afflalo,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,2015-04-09,Outcome.LOSS,1614,4,6,0,0,0,0,8,1,0,1,0,0,0,0,11.25
hasleud01,Udonis Haslem,Team.MIAMI_HEAT,Location.HOME,Team.CHICAGO_BULLS,2015-04-09,Outcome.LOSS,1071,1,4,0,0,0,0,2,4,1,0,1,0,0,0,10.5
anderch01,Chris Andersen,Team.MIAMI_HEAT,Location.HOME,Team.CHICAGO_BULLS,2015-04-09,Outcome.LOSS,627,2,3,0,1,0,0,4,2,0,0,2,0,0,0,10.5
speigma01,Marreese Speights,Team.GOLDEN_STATE_WARRIORS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,2015-04-09,Outcome.WIN,452,2,3,0,0,0,0,4,1,2,1,0,0,0,0,10.25
blakest01,Steve Blake,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,2015-04-09,Outcome.LOSS,822,1,6,1,5,0,0,3,0,3,1,0,1,0,0,9.5
chalmma01,Mario Chalmers,Team.MIAMI_HEAT,Location.HOME,Team.CHICAGO_BULLS,2015-04-09,Outcome.LOSS,1528,1,6,0,2,0,0,2,4,2,0,0,2,0,0,9.0
crabbal01,Allen Crabbe,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,2015-04-09,Outcome.LOSS,857,2,2,1,1,0,0,5,1,1,0,0,1,0,0,7.75
kamanch01,Chris Kaman,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,2015-04-09,Outcome.LOSS,582,2,6,0,0,0,1,4,2,1,0,0,1,0,0,7.5
rushbr01,Brandon Rush,Team.GOLDEN_STATE_WARRIORS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,2015-04-09,Outcome.WIN,336,0,0,0,0,0,0,0,3,0,1,0,0,0,0,5.75
holidju01,Justin Holiday,Team.GOLDEN_STATE_WARRIORS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,2015-04-09,Outcome.WIN,614,1,4,0,1,0,0,2,1,0,0,1,1,0,0,4.75
hinriki01,Kirk Hinrich,Team.CHICAGO_BULLS,Location.AWAY,Team.MIAMI_HEAT,2015-04-09,Outcome.WIN,808,1,2,0,0,0,0,2,0,1,1,0,2,0,0,4.5
livinsh01,Shaun Livingston,Team.GOLDEN_STATE_WARRIORS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,2015-04-09,Outcome.WIN,982,1,6,0,0,0,0,2,2,0,0,0,2,0,0,3.5
leeda02,David Lee,Team.GOLDEN_STATE_WARRIORS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,2015-04-09,Outcome.WIN,295,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1.25
mcadoja01,James Michael McAdoo,Team.GOLDEN_STATE_WARRIORS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,2015-04-09,Outcome.WIN,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
