slug,name,team,location,opponent,date_played,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,total_points_scored,total_rebounds,assists,steals,blocks,turnovers,double_double_flag,triple_double_flag,draftkings_points
vucevni01,Nikola Vučević,Team.ORLANDO_MAGIC,Location.AWAY,Team.DETROIT_PISTONS,2017-12-17,Outcome.LOSS,2159,10,20,4,6,0,0,24,14,7,1,2,2,1,0,60.5
jamesle01,LeBron James,Team.CLEVELAND_CAVALIERS,Location.AWAY,Team.WASHINGTON_WIZARDS,2017-12-17,Outcome.WIN,2481,8,23,2,7,2,3,20,11,15,0,1,6,0,1,59.25
hezonma01,Mario Hezonja,Team.ORLANDO_MAGIC,Location.AWAY,Team.DETROIT_PISTONS,2017-12-17,Outcome.LOSS,1889,10,18,8,12,0,0,28,6,2,3,0,2,0,0,47.5
bealbr01,Bradley Beal,Team.WASHINGTON_WIZARDS,Location.HOME,Team.CLEVELAND_CAVALIERS,2017-12-17,Outcome.LOSS,2608,10,27,4,13,3,4,27,5,5,0,1,1,0,0,44.25
walljo01,John Wall,Team.WASHINGTON_WIZARDS,Location.HOME,Team.CLEVELAND_CAVALIERS,2017-12-17,Outcome.LOSS,1921,6,16,2,5,1,2,15,10,6,1,2,3,1,0,43.5
oladivi01,Victor Oladipo,Team.INDIANA_PACERS,Location.AWAY,Team.BROOKLYN_NETS,2017-12-17,Outcome.WIN,2455,9,14,4,6,4,5,26,7,3,1,0,2,0,0,42.25
valanjo01,Jonas Valančiūnas,Team.TORONTO_RAPTORS,Location.HOME,Team.SACRAMENTO_KINGS,2017-12-17,Outcome.WIN,1646,3,10,0,1,7,8,13,15,2,0,3,1,1,0,41.75
simmojo02,Jonathon Simmons,Team.ORLANDO_MAGIC,Location.AWAY,Team.DETROIT_PISTONS,2017-12-17,Outcome.LOSS,2197,10,19,0,3,3,6,23,6,7,1,0,3,0,0,41.5
loveke01,Kevin Love,Team.CLEVELAND_CAVALIERS,Location.AWAY,Team.WASHINGTON_WIZARDS,2017-12-17,Outcome.WIN,1911,9,20,5,8,2,2,25,9,0,1,0,1,0,0,40.25
lowryky01,Kyle Lowry,Team.TORONTO_RAPTORS,Location.HOME,Team.SACRAMENTO_KINGS,2017-12-17,Outcome.WIN,1950,5,11,4,8,2,2,16,5,7,2,0,2,0,0,37.75
