slug,name,team,location,opponent,date_played,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,total_points_scored,total_rebounds,assists,steals,blocks,turnovers,double_double_flag,triple_double_flag,draftkings_points
couside01,DeMarcus Cousins,Team.SACRAMENTO_KINGS,Location.AWAY,Team.BROOKLYN_NETS,2014-12-29,Outcome.LOSS,2199,9,12,0,0,6,9,24,13,4,1,2,5,1,0,51.25
butleji01,Jimmy Butler,Team.CHICAGO_BULLS,Location.AWAY,Team.INDIANA_PACERS,2014-12-29,Outcome.WIN,2647,8,20,2,2,9,12,27,9,1,4,1,1,0,0,50.25
hardeja01,James Harden,Team.HOUSTON_ROCKETS,Location.HOME,Team.WASHINGTON_WIZARDS,2014-12-29,Outcome.LOSS,2138,12,23,3,8,6,7,33,6,4,1,0,2,0,0,49.0
griffbl01,Blake Griffin,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.UTAH_JAZZ,2014-12-29,Outcome.WIN,2474,10,20,0,0,4,6,24,6,7,2,3,6,0,0,49.0
gayru01,Rudy Gay,Team.SACRAMENTO_KINGS,Location.AWAY,Team.BROOKLYN_NETS,2014-12-29,Outcome.LOSS,2276,9,21,1,3,6,6,25,9,5,2,0,1,0,0,47.75
bealbr01,Bradley Beal,Team.WASHINGTON_WIZARDS,Location.AWAY,Team.HOUSTON_ROCKETS,2014-12-29,Outcome.WIN,2237,9,17,5,11,10,10,33,5,3,1,0,3,0,0,46.75
paulch01,Chris Paul,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.UTAH_JAZZ,2014-12-29,Outcome.WIN,2130,7,14,3,5,3,4,20,5,8,4,0,2,0,0,46.75
walkeke02,Kemba Walker,Team.CHARLOTTE_HORNETS,Location.HOME,Team.MILWAUKEE_BUCKS,2014-12-29,Outcome.LOSS,2915,7,22,2,8,12,13,28,1,4,2,4,5,0,0,45.75
vucevni01,Nikola Vučević,Team.ORLANDO_MAGIC,Location.AWAY,Team.MIAMI_HEAT,2014-12-29,Outcome.WIN,2035,12,17,0,0,2,3,26,9,3,0,1,0,0,0,43.75
walljo01,John Wall,Team.WASHINGTON_WIZARDS,Location.AWAY,Team.HOUSTON_ROCKETS,2014-12-29,Outcome.WIN,2214,4,10,0,1,5,6,13,4,12,4,0,5,1,0,43.0
wadedw01,Dwyane Wade,Team.MIAMI_HEAT,Location.HOME,Team.ORLANDO_MAGIC,2014-12-29,Outcome.LOSS,1849,7,14,0,1,11,11,25,3,6,1,0,3,0,0,38.25
haywago01,Gordon Hayward,Team.UTAH_JAZZ,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,2014-12-29,Outcome.LOSS,2142,8,20,4,7,2,3,22,4,7,0,0,3,0,0,38.0
antetgi01,Giannis Antetokounmpo,Team.MILWAUKEE_BUCKS,Location.AWAY,Team.CHARLOTTE_HORNETS,2014-12-29,Outcome.WIN,2108,7,8,0,0,2,3,16,8,4,0,3,1,0,0,37.5
hendege02,Gerald Henderson,Team.CHARLOTTE_HORNETS,Location.HOME,Team.MILWAUKEE_BUCKS,2014-12-29,Outcome.LOSS,2357,7,13,1,3,4,4,19,4,5,2,1,1,0,0,37.5
willima02,Marvin Williams,Team.CHARLOTTE_HORNETS,Location.HOME,Team.MILWAUKEE_BUCKS,2014-12-29,Outcome.LOSS,2146,3,8,2,3,0,0,8,14,3,3,0,1,0,0,36.5
jordade01,DeAndre Jordan,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.UTAH_JAZZ,2014-12-29,Outcome.WIN,2191,2,4,0,0,1,2,5,19,0,0,4,2,0,0,35.75
oladivi01,Victor Oladipo,Team.ORLANDO_MAGIC,Location.AWAY,Team.MIAMI_HEAT,2014-12-29,Outcome.WIN,2220,7,12,3,4,5,6,22,2,4,3,0,5,0,0,35.5
plumlma01,Mason Plumlee,Team.BROOKLYN_NETS,Location.HOME,Team.SACRAMENTO_KINGS,2014-12-29,Outcome.WIN,1999,6,7,0,0,10,16,22,4,1,3,1,3,0,0,35.0
dudleja01,Jared Dudley,Team.MILWAUKEE_BUCKS,Location.AWAY,Team.CHARLOTTE_HORNETS,2014-12-29,Outcome.WIN,2121,5,10,2,4,5,5,17,9,2,1,0,0,0,0,34.25
piercpa01,Paul Pierce,Team.WASHINGTON_WIZARDS,Location.AWAY,Team.HOUSTON_ROCKETS,2014-12-29,Outcome.WIN,1779,7,9,1,3,6,6,21,3,1,3,1,1,0,0,34.25
knighbr03,Brandon Knight,Team.MILWAUKEE_BUCKS,Location.AWAY,Team.CHARLOTTE_HORNETS,2014-12-29,Outcome.WIN,2178,8,19,2,5,0,0,18,4,4,4,0,8,0,0,34.0
gasolpa01,Pau Gasol,Team.CHICAGO_BULLS,Location.AWAY,Team.INDIANA_PACERS,2014-12-29,Outcome.WIN,2092,7,14,0,0,6,6,20,6,3,0,1,0,0,0,34.0
grangda01,Danny Granger,Team.MIAMI_HEAT,Location.HOME,Team.ORLANDO_MAGIC,2014-12-29,Outcome.LOSS,1935,7,10,6,7,1,3,21,4,2,1,0,2,0,0,33.0
allenla01,Lavoy Allen,Team.INDIANA_PACERS,Location.HOME,Team.CHICAGO_BULLS,2014-12-29,Outcome.LOSS,1936,3,8,0,0,0,1,6,8,6,0,4,0,0,0,33.0
rosede01,Derrick Rose,Team.CHICAGO_BULLS,Location.AWAY,Team.INDIANA_PACERS,2014-12-29,Outcome.WIN,2090,5,20,1,7,6,6,17,3,6,0,2,3,0,0,32.75
goberru01,Rudy Gobert,Team.UTAH_JAZZ,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,2014-12-29,Outcome.LOSS,1507,5,7,0,0,1,1,11,13,2,1,0,2,1,0,32.75
boshch01,Chris Bosh,Team.MIAMI_HEAT,Location.HOME,Team.ORLANDO_MAGIC,2014-12-29,Outcome.LOSS,1978,8,17,0,1,4,7,20,8,1,1,0,2,0,0,32.5
favorde01,Derrick Favors,Team.UTAH_JAZZ,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,2014-12-29,Outcome.LOSS,2080,6,16,0,0,3,9,15,9,1,0,2,1,0,0,31.25
garneke01,Kevin Garnett,Team.BROOKLYN_NETS,Location.HOME,Team.SACRAMENTO_KINGS,2014-12-29,Outcome.WIN,1252,5,10,0,0,0,0,10,8,2,4,0,0,0,0,31.0
collida01,Darren Collison,Team.SACRAMENTO_KINGS,Location.AWAY,Team.BROOKLYN_NETS,2014-12-29,Outcome.LOSS,1842,5,7,2,2,4,5,16,3,8,0,0,4,0,0,30.75
johnsjo02,Joe Johnson,Team.BROOKLYN_NETS,Location.HOME,Team.SACRAMENTO_KINGS,2014-12-29,Outcome.WIN,2029,6,13,2,6,2,2,16,2,6,1,0,0,0,0,30.5
hoodro01,Rodney Hood,Team.UTAH_JAZZ,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,2014-12-29,Outcome.LOSS,1783,2,6,1,3,4,5,9,7,5,2,1,3,0,0,30.25
paytoel01,Elfrid Payton,Team.ORLANDO_MAGIC,Location.AWAY,Team.MIAMI_HEAT,2014-12-29,Outcome.WIN,1824,2,5,0,1,0,0,4,4,8,4,0,2,0,0,28.0
noahjo01,Joakim Noah,Team.CHICAGO_BULLS,Location.AWAY,Team.INDIANA_PACERS,2014-12-29,Outcome.WIN,1723,2,7,0,0,2,2,6,7,3,3,1,0,0,0,27.25
burketr01,Trey Burke,Team.UTAH_JAZZ,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,2014-12-29,Outcome.LOSS,1905,4,10,2,3,1,2,11,2,6,2,0,1,0,0,27.0
westda01,David West,Team.INDIANA_PACERS,Location.HOME,Team.CHICAGO_BULLS,2014-12-29,Outcome.LOSS,1492,5,8,0,0,0,0,10,7,2,1,2,2,0,0,26.75
dunlemi02,Mike Dunleavy,Team.CHICAGO_BULLS,Location.AWAY,Team.INDIANA_PACERS,2014-12-29,Outcome.WIN,1449,3,5,1,2,1,1,8,10,1,0,2,0,0,0,26.5
hensojo01,John Henson,Team.MILWAUKEE_BUCKS,Location.AWAY,Team.CHARLOTTE_HORNETS,2014-12-29,Outcome.WIN,1241,4,6,0,0,3,3,11,4,0,0,5,0,0,0,26.0
breweco01,Corey Brewer,Team.HOUSTON_ROCKETS,Location.HOME,Team.WASHINGTON_WIZARDS,2014-12-29,Outcome.LOSS,1687,5,13,2,5,3,4,15,0,3,2,1,1,0,0,26.0
barnema02,Matt Barnes,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.UTAH_JAZZ,2014-12-29,Outcome.WIN,1830,4,8,3,5,2,2,13,2,2,0,3,0,0,0,26.0
hilarne01,Nenê Hilário,Team.WASHINGTON_WIZARDS,Location.AWAY,Team.HOUSTON_ROCKETS,2014-12-29,Outcome.WIN,1628,5,9,0,1,2,2,12,5,1,3,0,0,0,0,25.75
copelch01,Chris Copeland,Team.INDIANA_PACERS,Location.HOME,Team.CHICAGO_BULLS,2014-12-29,Outcome.LOSS,1057,7,10,1,1,2,2,17,5,1,0,1,3,0,0,25.75
harrito02,Tobias Harris,Team.ORLANDO_MAGIC,Location.AWAY,Team.MIAMI_HEAT,2014-12-29,Outcome.WIN,2140,8,14,2,4,0,0,18,4,1,0,0,2,0,0,24.5
whiteha01,Hassan Whiteside,Team.MIAMI_HEAT,Location.HOME,Team.ORLANDO_MAGIC,2014-12-29,Outcome.LOSS,1085,1,1,0,0,6,11,8,7,1,1,2,0,0,0,24.25
jackja01,Jarrett Jack,Team.BROOKLYN_NETS,Location.HOME,Team.SACRAMENTO_KINGS,2014-12-29,Outcome.WIN,1912,4,12,1,1,7,8,16,3,2,1,0,2,0,0,24.25
jeffeal01,Al Jefferson,Team.CHARLOTTE_HORNETS,Location.HOME,Team.MILWAUKEE_BUCKS,2014-12-29,Outcome.LOSS,1654,3,12,0,0,0,0,6,8,5,1,0,3,0,0,24.0
arizatr01,Trevor Ariza,Team.HOUSTON_ROCKETS,Location.HOME,Team.WASHINGTON_WIZARDS,2014-12-29,Outcome.LOSS,2289,6,15,2,8,1,1,15,5,1,1,0,4,0,0,23.75
zelleco01,Cody Zeller,Team.CHARLOTTE_HORNETS,Location.HOME,Team.MILWAUKEE_BUCKS,2014-12-29,Outcome.LOSS,1922,2,3,0,0,2,4,6,5,1,3,2,2,0,0,22.75
redicjj01,J.J. Redick,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.UTAH_JAZZ,2014-12-29,Outcome.WIN,1787,6,13,1,6,4,4,17,1,3,0,0,1,0,0,22.75
gortama01,Marcin Gortat,Team.WASHINGTON_WIZARDS,Location.AWAY,Team.HOUSTON_ROCKETS,2014-12-29,Outcome.WIN,1896,4,8,0,0,1,2,9,7,0,0,3,3,0,0,22.25
pachuza01,Zaza Pachulia,Team.MILWAUKEE_BUCKS,Location.AWAY,Team.CHARLOTTE_HORNETS,2014-12-29,Outcome.WIN,1694,6,7,0,0,3,4,15,4,1,0,1,3,0,0,22.0
teletmi01,Mirza Teletović,Team.BROOKLYN_NETS,Location.HOME,Team.SACRAMENTO_KINGS,2014-12-29,Outcome.WIN,1766,4,11,3,7,0,0,11,7,0,0,1,3,0,0,21.75
mayooj01,O.J. Mayo,Team.MILWAUKEE_BUCKS,Location.AWAY,Team.CHARLOTTE_HORNETS,2014-12-29,Outcome.WIN,2029,3,13,2,6,5,6,13,5,2,0,0,3,0,0,21.75
kanteen01,Enes Kanter,Team.UTAH_JAZZ,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,2014-12-29,Outcome.LOSS,1688,8,17,0,1,0,0,16,5,0,0,0,2,0,0,21.25
