slug,name,team,location,opponent,date_played,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,total_points_scored,total_rebounds,assists,steals,blocks,turnovers,double_double_flag,triple_double_flag,draftkings_points
holidjr01,Jrue Holiday,Team.PHILADELPHIA_76ERS,Location.HOME,Team.PHOENIX_SUNS,2012-11-25,Outcome.WIN,2337,13,21,1,2,6,8,33,3,13,0,0,2,1,0,57.25
rondora01,Rajon Rondo,Team.BOSTON_CELTICS,Location.AWAY,Team.ORLANDO_MAGIC,2012-11-25,Outcome.WIN,2547,7,15,0,1,1,2,15,9,16,2,0,1,1,0,55.25
willide01,Deron Williams,Team.BROOKLYN_NETS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,2012-11-25,Outcome.WIN,2007,4,13,2,5,5,6,15,2,12,3,4,1,1,0,51.5
derozde01,DeMar DeRozan,Team.TORONTO_RAPTORS,Location.HOME,Team.SAN_ANTONIO_SPURS,2012-11-25,Outcome.LOSS,3078,11,28,0,2,7,8,29,7,3,3,0,1,0,0,47.75
parketo01,Tony Parker,Team.SAN_ANTONIO_SPURS,Location.AWAY,Team.TORONTO_RAPTORS,2012-11-25,Outcome.WIN,2763,14,27,1,4,3,4,32,6,5,1,0,4,0,0,47.5
duncati01,Tim Duncan,Team.SAN_ANTONIO_SPURS,Location.AWAY,Team.TORONTO_RAPTORS,2012-11-25,Outcome.WIN,2468,11,21,0,0,4,4,26,5,6,0,3,2,0,0,46.25
garneke01,Kevin Garnett,Team.BOSTON_CELTICS,Location.AWAY,Team.ORLANDO_MAGIC,2012-11-25,Outcome.WIN,2134,10,17,0,1,4,5,24,10,1,2,0,3,1,0,42.0
lowryky01,Kyle Lowry,Team.TORONTO_RAPTORS,Location.HOME,Team.SAN_ANTONIO_SPURS,2012-11-25,Outcome.LOSS,2727,6,16,4,8,4,4,20,8,4,1,1,1,0,0,41.5
feltora01,Raymond Felton,Team.NEW_YORK_KNICKS,Location.HOME,Team.DETROIT_PISTONS,2012-11-25,Outcome.WIN,1920,6,14,1,3,1,2,14,4,10,2,0,0,1,0,40.0
valanjo01,Jonas Valančiūnas,Team.TORONTO_RAPTORS,Location.HOME,Team.SAN_ANTONIO_SPURS,2012-11-25,Outcome.LOSS,2366,9,13,0,0,4,5,22,7,3,0,3,3,0,0,39.75
lillada01,Damian Lillard,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.BROOKLYN_NETS,2012-11-25,Outcome.LOSS,1869,4,12,3,5,2,2,13,6,7,2,2,4,0,0,38.5
smithjr01,J.R. Smith,Team.NEW_YORK_KNICKS,Location.HOME,Team.DETROIT_PISTONS,2012-11-25,Outcome.WIN,1846,3,8,1,4,8,8,15,10,5,1,0,1,1,0,38.5
farieke01,Kenneth Faried,Team.DENVER_NUGGETS,Location.HOME,Team.NEW_ORLEANS_HORNETS,2012-11-25,Outcome.WIN,1641,7,8,0,0,0,0,14,12,0,2,2,0,1,0,38.5
anthoca01,Carmelo Anthony,Team.NEW_YORK_KNICKS,Location.HOME,Team.DETROIT_PISTONS,2012-11-25,Outcome.WIN,1895,10,18,4,5,5,5,29,2,3,1,0,6,0,0,37.0
afflaar01,Arron Afflalo,Team.ORLANDO_MAGIC,Location.HOME,Team.BOSTON_CELTICS,2012-11-25,Outcome.LOSS,2609,7,19,1,5,0,0,15,2,7,2,2,1,0,0,36.0
hicksjj01,J.J. Hickson,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.BROOKLYN_NETS,2012-11-25,Outcome.LOSS,1987,8,11,0,0,3,4,19,10,1,0,1,1,1,0,36.0
humphkr01,Kris Humphries,Team.BROOKLYN_NETS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,2012-11-25,Outcome.WIN,1418,7,9,0,0,0,1,14,10,1,2,1,1,1,0,35.0
matthwe02,Wesley Matthews,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.BROOKLYN_NETS,2012-11-25,Outcome.LOSS,2234,8,18,3,7,1,2,20,3,3,3,0,2,0,0,34.75
davised01,Ed Davis,Team.TORONTO_RAPTORS,Location.HOME,Team.SAN_ANTONIO_SPURS,2012-11-25,Outcome.LOSS,1299,7,11,0,0,1,2,15,14,0,0,0,0,1,0,34.0
davisgl01,Glen Davis,Team.ORLANDO_MAGIC,Location.HOME,Team.BOSTON_CELTICS,2012-11-25,Outcome.LOSS,2386,3,12,0,1,9,10,15,7,3,3,0,1,0,0,33.75
ginobma01,Manu Ginóbili,Team.SAN_ANTONIO_SPURS,Location.AWAY,Team.TORONTO_RAPTORS,2012-11-25,Outcome.WIN,2170,5,15,1,7,4,4,15,7,5,1,0,0,0,0,33.75
lopezro01,Robin Lopez,Team.NEW_ORLEANS_HORNETS,Location.AWAY,Team.DENVER_NUGGETS,2012-11-25,Outcome.LOSS,1570,6,12,0,0,2,4,14,5,1,2,4,0,0,0,33.75
bassbr01,Brandon Bass,Team.BOSTON_CELTICS,Location.AWAY,Team.ORLANDO_MAGIC,2012-11-25,Outcome.WIN,2120,5,14,0,0,3,4,13,12,2,1,0,2,1,0,33.5
mcrobjo01,Josh McRoberts,Team.ORLANDO_MAGIC,Location.HOME,Team.BOSTON_CELTICS,2012-11-25,Outcome.LOSS,1962,2,9,1,2,2,2,7,14,2,0,3,2,0,0,33.0
monrogr01,Greg Monroe,Team.DETROIT_PISTONS,Location.AWAY,Team.NEW_YORK_KNICKS,2012-11-25,Outcome.LOSS,1798,4,8,0,0,4,5,12,5,7,3,0,4,0,0,32.75
turneev01,Evan Turner,Team.PHILADELPHIA_76ERS,Location.HOME,Team.PHOENIX_SUNS,2012-11-25,Outcome.WIN,1916,4,13,3,5,5,6,16,9,3,0,0,2,0,0,32.25
nelsoja01,Jameer Nelson,Team.ORLANDO_MAGIC,Location.HOME,Team.BOSTON_CELTICS,2012-11-25,Outcome.LOSS,2088,8,17,3,8,1,1,20,5,2,1,1,5,0,0,32.25
greenda02,Danny Green,Team.SAN_ANTONIO_SPURS,Location.AWAY,Team.TORONTO_RAPTORS,2012-11-25,Outcome.WIN,2883,5,13,3,10,0,0,13,9,2,1,1,1,0,0,32.25
knighbr03,Brandon Knight,Team.DETROIT_PISTONS,Location.AWAY,Team.NEW_YORK_KNICKS,2012-11-25,Outcome.LOSS,2017,8,13,3,5,2,2,21,2,5,0,0,2,0,0,31.5
gortama01,Marcin Gortat,Team.PHOENIX_SUNS,Location.AWAY,Team.PHILADELPHIA_76ERS,2012-11-25,Outcome.LOSS,1557,7,11,0,0,4,5,18,7,2,0,1,2,0,0,30.75
piercpa01,Paul Pierce,Team.BOSTON_CELTICS,Location.AWAY,Team.ORLANDO_MAGIC,2012-11-25,Outcome.WIN,2214,8,17,3,5,4,4,23,5,1,0,0,3,0,0,30.75
lawsoty01,Ty Lawson,Team.DENVER_NUGGETS,Location.HOME,Team.NEW_ORLEANS_HORNETS,2012-11-25,Outcome.WIN,1710,8,10,0,1,1,1,17,1,6,2,0,2,0,0,30.25
iguodan01,Andre Iguodala,Team.DENVER_NUGGETS,Location.HOME,Team.NEW_ORLEANS_HORNETS,2012-11-25,Outcome.WIN,1872,8,13,3,4,4,7,23,2,3,0,0,3,0,0,30.0
johnsjo02,Joe Johnson,Team.BROOKLYN_NETS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,2012-11-25,Outcome.WIN,2288,10,19,1,4,0,1,21,1,4,1,0,3,0,0,29.25
novakst01,Steve Novak,Team.NEW_YORK_KNICKS,Location.HOME,Team.DETROIT_PISTONS,2012-11-25,Outcome.WIN,1622,5,11,5,7,3,3,18,2,0,1,2,0,0,0,29.0
