slug,name,team,location,opponent,date_played,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,total_points_scored,total_rebounds,assists,steals,blocks,turnovers,double_double_flag,triple_double_flag,draftkings_points
rosede01,Derrick Rose,Team.CHICAGO_BULLS,Location.AWAY,Team.MILWAUKEE_BUCKS,2012-03-07,Outcome.WIN,2357,8,22,0,5,14,14,30,8,11,1,1,4,1,0,60.0
westbru01,Russell Westbrook,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.PHOENIX_SUNS,2012-03-07,Outcome.WIN,2437,11,21,3,6,6,8,31,3,10,4,0,3,1,0,59.25
griffbl01,Blake Griffin,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.NEW_JERSEY_NETS,2012-03-07,Outcome.LOSS,2369,9,15,0,0,10,17,28,17,2,2,1,2,1,0,58.75
gayru01,Rudy Gay,Team.MEMPHIS_GRIZZLIES,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,2012-03-07,Outcome.WIN,2354,10,20,2,6,4,4,26,12,5,1,1,0,1,0,55.0
paulch01,Chris Paul,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.NEW_JERSEY_NETS,2012-03-07,Outcome.LOSS,2345,7,11,3,4,5,5,22,6,10,5,0,5,1,0,55.0
loveke01,Kevin Love,Team.MINNESOTA_TIMBERWOLVES,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,2012-03-07,Outcome.WIN,2674,9,17,3,5,8,11,29,16,3,0,0,3,1,0,55.0
jamesle01,LeBron James,Team.MIAMI_HEAT,Location.HOME,Team.ATLANTA_HAWKS,2012-03-07,Outcome.WIN,2500,12,20,0,3,7,10,31,11,2,1,2,2,1,0,54.25
bryanko01,Kobe Bryant,Team.LOS_ANGELES_LAKERS,Location.AWAY,Team.WASHINGTON_WIZARDS,2012-03-07,Outcome.LOSS,2417,9,31,3,9,9,9,30,5,4,4,1,1,0,0,53.25
gortama01,Marcin Gortat,Team.PHOENIX_SUNS,Location.AWAY,Team.OKLAHOMA_CITY_THUNDER,2012-03-07,Outcome.LOSS,2386,9,19,0,0,10,13,28,11,2,1,3,4,1,0,52.25
jeffeal01,Al Jefferson,Team.UTAH_JAZZ,Location.AWAY,Team.CHARLOTTE_BOBCATS,2012-03-07,Outcome.WIN,1961,11,19,0,0,9,10,31,9,5,1,0,0,0,0,51.75
duranke01,Kevin Durant,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.PHOENIX_SUNS,2012-03-07,Outcome.WIN,2514,10,27,1,5,9,10,30,6,3,3,2,2,0,0,51.5
ibakase01,Serge Ibaka,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.PHOENIX_SUNS,2012-03-07,Outcome.WIN,2402,9,15,0,0,0,0,18,20,1,0,3,3,1,0,50.5
ilyaser01,Ersan İlyasova,Team.MILWAUKEE_BUCKS,Location.HOME,Team.CHICAGO_BULLS,2012-03-07,Outcome.LOSS,2584,14,18,2,3,2,3,32,10,1,0,1,0,1,0,50.5
gasolpa01,Pau Gasol,Team.LOS_ANGELES_LAKERS,Location.AWAY,Team.WASHINGTON_WIZARDS,2012-03-07,Outcome.LOSS,2382,6,11,0,0,7,11,19,15,2,1,3,1,1,0,49.75
willide01,Deron Williams,Team.NEW_JERSEY_NETS,Location.HOME,Team.LOS_ANGELES_CLIPPERS,2012-03-07,Outcome.WIN,2464,7,17,2,8,5,7,21,6,10,2,0,5,1,0,47.5
kamanch01,Chris Kaman,Team.NEW_ORLEANS_HORNETS,Location.AWAY,Team.SACRAMENTO_KINGS,2012-03-07,Outcome.LOSS,2759,7,14,0,0,4,5,18,11,8,0,2,4,1,0,47.25
jamisan01,Antawn Jamison,Team.CLEVELAND_CAVALIERS,Location.AWAY,Team.DENVER_NUGGETS,2012-03-07,Outcome.WIN,2215,11,21,3,6,8,9,33,9,1,0,0,1,0,0,46.75
booketr01,Trevor Booker,Team.WASHINGTON_WIZARDS,Location.HOME,Team.LOS_ANGELES_LAKERS,2012-03-07,Outcome.WIN,2284,7,9,1,1,3,7,18,17,1,1,1,1,1,0,46.25
hardeja01,James Harden,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.PHOENIX_SUNS,2012-03-07,Outcome.WIN,2161,8,12,4,7,10,11,30,4,1,2,2,1,0,0,46.0
wadedw01,Dwyane Wade,Team.MIAMI_HEAT,Location.HOME,Team.ATLANTA_HAWKS,2012-03-07,Outcome.WIN,2092,7,17,0,0,4,6,18,9,6,3,1,2,0,0,45.25
caldejo01,José Calderón,Team.TORONTO_RAPTORS,Location.HOME,Team.HOUSTON_ROCKETS,2012-03-07,Outcome.WIN,2087,7,11,1,3,2,2,17,3,12,2,0,3,1,0,43.25
noahjo01,Joakim Noah,Team.CHICAGO_BULLS,Location.AWAY,Team.MILWAUKEE_BUCKS,2012-03-07,Outcome.WIN,2270,10,14,0,0,0,0,20,10,1,2,2,1,1,0,43.0
goodedr01,Drew Gooden,Team.MILWAUKEE_BUCKS,Location.HOME,Team.CHICAGO_BULLS,2012-03-07,Outcome.LOSS,2232,11,21,2,4,3,4,27,6,1,2,1,1,0,0,42.5
thornma01,Marcus Thornton,Team.SACRAMENTO_KINGS,Location.HOME,Team.NEW_ORLEANS_HORNETS,2012-03-07,Outcome.WIN,2130,9,21,2,8,5,7,25,4,1,4,1,0,0,0,42.5
