slug,name,team,location,opponent,date_played,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,total_points_scored,total_rebounds,assists,steals,blocks,turnovers,double_double_flag,triple_double_flag,draftkings_points
jamesle01,LeBron James,Team.CLEVELAND_CAVALIERS,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,2018-03-15,Outcome.LOSS,2465,15,25,1,4,4,9,35,14,6,2,3,6,1,0,70.5
jokicni01,Nikola Jokić,Team.DENVER_NUGGETS,Location.HOME,Team.DETROIT_PISTONS,2018-03-15,Outcome.WIN,2275,8,15,2,5,5,6,23,12,10,3,3,2,0,1,68.0
howardw01,Dwight Howard,Team.CHARLOTTE_HORNETS,Location.AWAY,Team.ATLANTA_HAWKS,2018-03-15,Outcome.WIN,1927,13,20,0,0,7,8,33,12,1,2,2,0,1,0,59.0
beaslmi01,Michael Beasley,Team.NEW_YORK_KNICKS,Location.HOME,Team.PHILADELPHIA_76ERS,2018-03-15,Outcome.LOSS,2010,11,16,1,2,1,3,24,13,7,1,1,3,1,0,55.25
holidjr01,Jrue Holiday,Team.NEW_ORLEANS_PELICANS,Location.AWAY,Team.SAN_ANTONIO_SPURS,2018-03-15,Outcome.LOSS,2309,9,23,2,5,4,5,24,8,7,2,3,1,0,0,55.0
drumman01,Andre Drummond,Team.DETROIT_PISTONS,Location.AWAY,Team.DENVER_NUGGETS,2018-03-15,Outcome.LOSS,2011,9,18,0,0,3,8,21,17,2,1,3,3,1,0,53.25
embiijo01,Joel Embiid,Team.PHILADELPHIA_76ERS,Location.AWAY,Team.NEW_YORK_KNICKS,2018-03-15,Outcome.WIN,1913,11,21,2,5,5,7,29,10,4,0,2,3,1,0,52.5
valanjo01,Jonas Valančiūnas,Team.TORONTO_RAPTORS,Location.AWAY,Team.INDIANA_PACERS,2018-03-15,Outcome.WIN,1640,5,13,1,1,5,5,16,18,2,0,4,1,1,0,51.0
griffbl01,Blake Griffin,Team.DETROIT_PISTONS,Location.AWAY,Team.DENVER_NUGGETS,2018-03-15,Outcome.LOSS,2214,9,21,5,8,3,3,26,6,9,1,0,2,0,0,50.5
gasolma01,Marc Gasol,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.CHICAGO_BULLS,2018-03-15,Outcome.LOSS,2001,7,14,2,6,5,7,21,10,8,0,2,4,1,0,50.0
evansty01,Tyreke Evans,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.CHICAGO_BULLS,2018-03-15,Outcome.LOSS,1966,8,18,5,9,4,5,25,5,9,2,0,3,0,0,49.75
capelca01,Clint Capela,Team.HOUSTON_ROCKETS,Location.HOME,Team.LOS_ANGELES_CLIPPERS,2018-03-15,Outcome.WIN,2140,9,16,0,0,1,2,19,12,0,1,6,0,1,0,49.5
batumni01,Nicolas Batum,Team.CHARLOTTE_HORNETS,Location.AWAY,Team.ATLANTA_HAWKS,2018-03-15,Outcome.WIN,2421,4,9,2,4,0,1,10,10,16,0,0,5,0,1,48.0
goberru01,Rudy Gobert,Team.UTAH_JAZZ,Location.HOME,Team.PHOENIX_SUNS,2018-03-15,Outcome.WIN,2042,8,11,0,0,5,6,21,13,2,1,2,0,1,0,47.75
princta02,Taurean Waller-Prince,Team.ATLANTA_HAWKS,Location.HOME,Team.CHARLOTTE_HORNETS,2018-03-15,Outcome.LOSS,2199,8,18,6,12,0,0,22,10,6,0,0,3,1,0,46.5
simmobe01,Ben Simmons,Team.PHILADELPHIA_76ERS,Location.AWAY,Team.NEW_YORK_KNICKS,2018-03-15,Outcome.WIN,2006,5,11,0,0,3,8,13,10,12,1,0,5,0,1,46.0
harrito02,Tobias Harris,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.HOUSTON_ROCKETS,2018-03-15,Outcome.LOSS,2384,13,24,3,6,0,0,29,8,3,0,1,2,0,0,46.0
walkeke02,Kemba Walker,Team.CHARLOTTE_HORNETS,Location.AWAY,Team.ATLANTA_HAWKS,2018-03-15,Outcome.WIN,2075,6,14,6,10,6,6,24,4,8,1,0,2,0,0,45.0
rubiori01,Ricky Rubio,Team.UTAH_JAZZ,Location.HOME,Team.PHOENIX_SUNS,2018-03-15,Outcome.WIN,1869,5,15,2,6,0,2,12,5,11,4,0,1,1,0,44.75
murraja01,Jamal Murray,Team.DENVER_NUGGETS,Location.HOME,Team.DETROIT_PISTONS,2018-03-15,Outcome.WIN,1967,9,17,5,8,3,5,26,9,1,2,0,2,0,0,44.25
hardeja01,James Harden,Team.HOUSTON_ROCKETS,Location.HOME,Team.LOS_ANGELES_CLIPPERS,2018-03-15,Outcome.WIN,2065,7,16,2,8,8,9,24,5,7,1,1,3,0,0,44.25
davisan02,Anthony Davis,Team.NEW_ORLEANS_PELICANS,Location.AWAY,Team.SAN_ANTONIO_SPURS,2018-03-15,Outcome.LOSS,2170,8,19,0,2,5,5,21,14,2,0,2,6,1,0,44.0
jeffeal01,Al Jefferson,Team.INDIANA_PACERS,Location.HOME,Team.TORONTO_RAPTORS,2018-03-15,Outcome.LOSS,1519,9,15,0,0,2,3,20,12,2,1,1,0,1,0,43.5
lillada01,Damian Lillard,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.CLEVELAND_CAVALIERS,2018-03-15,Outcome.WIN,2177,7,20,1,8,9,9,24,3,9,1,0,2,0,0,42.75
murrade01,Dejounte Murray,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.NEW_ORLEANS_PELICANS,2018-03-15,Outcome.WIN,1586,8,13,1,2,1,2,18,12,0,4,0,1,1,0,42.5
saricda01,Dario Šarić,Team.PHILADELPHIA_76ERS,Location.AWAY,Team.NEW_YORK_KNICKS,2018-03-15,Outcome.WIN,1676,7,13,4,8,3,4,21,12,1,1,0,3,1,0,41.5
mitchdo01,Donovan Mitchell,Team.UTAH_JAZZ,Location.HOME,Team.PHOENIX_SUNS,2018-03-15,Outcome.WIN,2160,10,21,2,7,1,4,23,6,4,1,1,1,0,0,41.0
derozde01,DeMar DeRozan,Team.TORONTO_RAPTORS,Location.AWAY,Team.INDIANA_PACERS,2018-03-15,Outcome.WIN,1938,8,15,2,5,6,7,24,4,7,1,0,4,0,0,40.5
collijo01,John Collins,Team.ATLANTA_HAWKS,Location.HOME,Team.CHARLOTTE_HORNETS,2018-03-15,Outcome.LOSS,1718,7,10,2,3,5,7,21,9,2,2,0,2,0,0,39.25
aldrila01,LaMarcus Aldridge,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.NEW_ORLEANS_PELICANS,2018-03-15,Outcome.WIN,2278,11,27,0,1,3,3,25,7,3,0,1,2,0,0,39.25
gordoer01,Eric Gordon,Team.HOUSTON_ROCKETS,Location.HOME,Team.LOS_ANGELES_CLIPPERS,2018-03-15,Outcome.WIN,1790,8,13,7,9,0,0,23,6,1,1,1,2,0,0,38.5
mccolcj01,CJ McCollum,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.CLEVELAND_CAVALIERS,2018-03-15,Outcome.WIN,2262,12,24,3,10,2,2,29,1,3,1,0,1,0,0,37.75
oquinky01,Kyle O'Quinn,Team.NEW_YORK_KNICKS,Location.HOME,Team.PHILADELPHIA_76ERS,2018-03-15,Outcome.LOSS,1454,7,9,0,0,1,3,15,10,1,3,1,3,1,0,37.0
jordade01,DeAndre Jordan,Team.LOS_ANGELES_CLIPPERS,Location.AWAY,Team.HOUSTON_ROCKETS,2018-03-15,Outcome.LOSS,2071,4,9,0,0,0,0,8,18,2,0,2,1,0,0,37.0
bartowi01,Will Barton,Team.DENVER_NUGGETS,Location.HOME,Team.DETROIT_PISTONS,2018-03-15,Outcome.WIN,1893,8,16,1,5,6,8,23,4,3,0,2,4,0,0,35.0
portibo01,Bobby Portis,Team.CHICAGO_BULLS,Location.AWAY,Team.MEMPHIS_GRIZZLIES,2018-03-15,Outcome.WIN,1354,6,11,3,6,2,2,17,6,2,3,0,1,0,0,34.5
greenja01,JaMychal Green,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.CHICAGO_BULLS,2018-03-15,Outcome.LOSS,2270,7,13,1,3,0,0,15,10,2,0,1,0,1,0,34.5
collida01,Darren Collison,Team.INDIANA_PACERS,Location.HOME,Team.TORONTO_RAPTORS,2018-03-15,Outcome.LOSS,1685,8,11,3,4,3,6,22,2,4,1,0,0,0,0,34.0
lavinza01,Zach LaVine,Team.CHICAGO_BULLS,Location.AWAY,Team.MEMPHIS_GRIZZLIES,2018-03-15,Outcome.WIN,1570,4,12,2,7,10,10,20,4,4,1,1,4,0,0,34.0
