slug,name,team,location,opponent,date_played,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,total_points_scored,total_rebounds,assists,steals,blocks,turnovers,double_double_flag,triple_double_flag,draftkings_points
davisan02,Anthony Davis,Team.NEW_ORLEANS_PELICANS,Location.AWAY,Team.BOSTON_CELTICS,2018-01-16,Outcome.WIN,2673,16,34,0,3,13,15,45,16,2,1,2,1,1,0,75.0
bookede01,Devin Booker,Team.PHOENIX_SUNS,Location.AWAY,Team.PORTLAND_TRAIL_BLAZERS,2018-01-16,Outcome.LOSS,2465,14,29,5,12,10,10,43,6,8,2,1,4,0,0,69.0
jokicni01,Nikola Jokić,Team.DENVER_NUGGETS,Location.HOME,Team.DALLAS_MAVERICKS,2018-01-16,Outcome.WIN,2004,11,23,0,2,7,10,29,18,7,2,1,5,1,0,67.0
butleji01,Jimmy Butler,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.ORLANDO_MAGIC,2018-01-16,Outcome.LOSS,2348,11,22,2,5,4,4,28,7,4,5,2,0,0,0,57.75
lillada01,Damian Lillard,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.PHOENIX_SUNS,2018-01-16,Outcome.WIN,2161,11,19,4,8,5,5,31,5,7,1,0,1,0,0,51.25
couside01,DeMarcus Cousins,Team.NEW_ORLEANS_PELICANS,Location.AWAY,Team.BOSTON_CELTICS,2018-01-16,Outcome.WIN,2556,7,20,1,6,4,6,19,15,5,3,0,7,1,0,49.75
holidjr01,Jrue Holiday,Team.NEW_ORLEANS_PELICANS,Location.AWAY,Team.BOSTON_CELTICS,2018-01-16,Outcome.WIN,2476,9,16,3,5,2,4,23,4,7,3,1,2,0,0,47.0
biyombi01,Bismack Biyombo,Team.ORLANDO_MAGIC,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,2018-01-16,Outcome.WIN,1756,3,7,0,0,4,5,10,16,2,1,5,2,1,0,45.5
mccolcj01,CJ McCollum,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.PHOENIX_SUNS,2018-01-16,Outcome.WIN,2161,9,18,6,10,3,3,27,3,2,3,2,3,0,0,45.25
irvinky01,Kyrie Irving,Team.BOSTON_CELTICS,Location.HOME,Team.NEW_ORLEANS_PELICANS,2018-01-16,Outcome.LOSS,2439,8,24,5,12,6,7,27,7,2,2,0,6,0,0,42.25
harriga01,Gary Harris,Team.DENVER_NUGGETS,Location.HOME,Team.DALLAS_MAVERICKS,2018-01-16,Outcome.WIN,2235,8,14,3,6,6,8,25,0,4,4,1,1,0,0,42.0
fournev01,Evan Fournier,Team.ORLANDO_MAGIC,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,2018-01-16,Outcome.WIN,2126,12,22,6,12,2,2,32,2,3,0,0,1,0,0,41.5
bartowi01,Will Barton,Team.DENVER_NUGGETS,Location.HOME,Team.DALLAS_MAVERICKS,2018-01-16,Outcome.WIN,2523,9,15,2,5,2,4,22,5,6,1,1,5,0,0,39.75
horfoal01,Al Horford,Team.BOSTON_CELTICS,Location.HOME,Team.NEW_ORLEANS_PELICANS,2018-01-16,Outcome.LOSS,2250,5,9,4,5,0,0,14,9,6,1,1,2,0,0,39.25
townska01,Karl-Anthony Towns,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.ORLANDO_MAGIC,2018-01-16,Outcome.LOSS,2404,6,13,1,1,2,2,15,12,1,0,3,1,1,0,39.0
augusdj01,D.J. Augustin,Team.ORLANDO_MAGIC,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,2018-01-16,Outcome.WIN,1425,6,9,2,3,4,5,18,6,6,0,0,1,0,0,35.0
smithde03,Dennis Smith,Team.DALLAS_MAVERICKS,Location.AWAY,Team.DENVER_NUGGETS,2018-01-16,Outcome.LOSS,1888,11,18,0,1,3,3,25,2,5,1,0,4,0,0,35.0
smartma01,Marcus Smart,Team.BOSTON_CELTICS,Location.HOME,Team.NEW_ORLEANS_PELICANS,2018-01-16,Outcome.LOSS,1814,5,14,3,8,3,3,16,5,5,1,1,2,0,0,34.25
gibsota01,Taj Gibson,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.ORLANDO_MAGIC,2018-01-16,Outcome.LOSS,2298,9,16,0,0,0,0,18,7,0,3,1,1,0,0,34.25
birchkh01,Khem Birch,Team.ORLANDO_MAGIC,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,2018-01-16,Outcome.WIN,1116,4,6,0,0,4,4,12,10,1,0,4,3,1,0,34.0
barneha02,Harrison Barnes,Team.DALLAS_MAVERICKS,Location.AWAY,Team.DENVER_NUGGETS,2018-01-16,Outcome.LOSS,2161,5,9,1,2,6,6,17,6,0,2,1,0,0,0,31.0
aminual01,Al-Farouq Aminu,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.PHOENIX_SUNS,2018-01-16,Outcome.WIN,1683,5,12,4,7,0,0,14,9,1,0,1,0,0,0,30.75
rondora01,Rajon Rondo,Team.NEW_ORLEANS_PELICANS,Location.AWAY,Team.BOSTON_CELTICS,2018-01-16,Outcome.WIN,1790,3,6,1,2,0,0,7,3,8,2,2,2,0,0,30.25
brownja02,Jaylen Brown,Team.BOSTON_CELTICS,Location.HOME,Team.NEW_ORLEANS_PELICANS,2018-01-16,Outcome.LOSS,1915,7,14,2,7,0,1,16,4,5,1,0,3,0,0,30.0
teaguje01,Jeff Teague,Team.MINNESOTA_TIMBERWOLVES,Location.AWAY,Team.ORLANDO_MAGIC,2018-01-16,Outcome.LOSS,2126,6,17,1,3,0,0,13,2,6,2,0,2,0,0,28.0
ferreyo01,Yogi Ferrell,Team.DALLAS_MAVERICKS,Location.AWAY,Team.DENVER_NUGGETS,2018-01-16,Outcome.LOSS,2115,5,10,1,5,2,4,13,2,7,1,0,2,0,0,27.5
