slug,name,team,location,opponent,date_played,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,total_points_scored,total_rebounds,assists,steals,blocks,turnovers,double_double_flag,triple_double_flag,draftkings_points
wallage01,Gerald Wallace,Team.CHARLOTTE_BOBCATS,Location.AWAY,Team.ATLANTA_HAWKS,2011-02-12,Outcome.WIN,2515,6,15,4,6,0,0,16,13,7,2,1,2,1,0,51.25
chandwi01,Wilson Chandler,Team.NEW_YORK_KNICKS,Location.AWAY,Team.NEW_JERSEY_NETS,2011-02-12,Outcome.WIN,2500,8,21,3,6,2,2,21,8,3,1,5,0,0,0,49.0
duranke01,Kevin Durant,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.SACRAMENTO_KINGS,2011-02-12,Outcome.WIN,2340,13,22,1,3,8,13,35,6,2,0,2,3,0,0,48.5
lowryky01,Kyle Lowry,Team.HOUSTON_ROCKETS,Location.HOME,Team.DALLAS_MAVERICKS,2011-02-12,Outcome.LOSS,2298,10,24,4,10,2,2,26,2,8,2,0,0,0,0,46.5
evansty01,Tyreke Evans,Team.SACRAMENTO_KINGS,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,2011-02-12,Outcome.LOSS,2765,11,22,0,3,8,11,30,9,4,0,0,6,0,0,44.25
grangda01,Danny Granger,Team.INDIANA_PACERS,Location.AWAY,Team.MILWAUKEE_BUCKS,2011-02-12,Outcome.WIN,2074,8,15,4,6,10,13,30,4,2,1,1,3,0,0,42.5
westbru01,Russell Westbrook,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.SACRAMENTO_KINGS,2011-02-12,Outcome.WIN,1975,8,16,0,1,6,7,22,5,7,2,0,3,0,0,41.25
smithjo03,Josh Smith,Team.ATLANTA_HAWKS,Location.HOME,Team.CHARLOTTE_BOBCATS,2011-02-12,Outcome.LOSS,2163,11,17,2,4,4,7,28,6,1,2,0,2,0,0,41.0
jacksst02,Stephen Jackson,Team.CHARLOTTE_BOBCATS,Location.AWAY,Team.ATLANTA_HAWKS,2011-02-12,Outcome.WIN,2577,12,24,1,6,7,8,32,2,1,1,1,1,0,0,40.0
nowitdi01,Dirk Nowitzki,Team.DALLAS_MAVERICKS,Location.AWAY,Team.HOUSTON_ROCKETS,2011-02-12,Outcome.WIN,2023,8,16,1,1,5,5,22,6,2,1,2,0,0,0,39.0
thornma01,Marcus Thornton,Team.NEW_ORLEANS_HORNETS,Location.HOME,Team.CHICAGO_BULLS,2011-02-12,Outcome.LOSS,1641,9,15,3,4,3,4,24,6,0,2,1,0,0,0,39.0
blairde01,DeJuan Blair,Team.SAN_ANTONIO_SPURS,Location.AWAY,Team.WASHINGTON_WIZARDS,2011-02-12,Outcome.WIN,1863,6,11,0,0,1,2,13,12,3,1,2,2,1,0,39.0
livinsh01,Shaun Livingston,Team.CHARLOTTE_BOBCATS,Location.AWAY,Team.ATLANTA_HAWKS,2011-02-12,Outcome.WIN,1803,8,13,0,0,6,6,22,6,5,0,1,2,0,0,38.0
rosede01,Derrick Rose,Team.CHICAGO_BULLS,Location.AWAY,Team.NEW_ORLEANS_HORNETS,2011-02-12,Outcome.WIN,2134,7,15,1,2,8,8,23,4,6,1,0,4,0,0,37.5
parketo01,Tony Parker,Team.SAN_ANTONIO_SPURS,Location.AWAY,Team.WASHINGTON_WIZARDS,2011-02-12,Outcome.WIN,1135,7,9,0,0,4,4,18,1,8,3,0,0,0,0,37.25
feltora01,Raymond Felton,Team.NEW_YORK_KNICKS,Location.AWAY,Team.NEW_JERSEY_NETS,2011-02-12,Outcome.WIN,2166,4,13,1,6,4,4,13,5,11,1,0,6,1,0,36.75
delfica01,Carlos Delfino,Team.MILWAUKEE_BUCKS,Location.HOME,Team.INDIANA_PACERS,2011-02-12,Outcome.LOSS,2082,7,15,1,4,6,6,21,2,5,3,0,2,0,0,36.5
horfoal01,Al Horford,Team.ATLANTA_HAWKS,Location.HOME,Team.CHARLOTTE_BOBCATS,2011-02-12,Outcome.LOSS,2499,8,15,0,0,0,0,16,10,3,1,0,1,1,0,36.0
