slug,name,team,location,opponent,date_played,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,total_points_scored,total_rebounds,assists,steals,blocks,turnovers,double_double_flag,triple_double_flag,draftkings_points
curryst01,Stephen Curry,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.HOUSTON_ROCKETS,2018-05-28,Outcome.WIN,2663,10,22,7,15,0,0,27,9,10,4,1,5,1,0,65.75
duranke01,Kevin Durant,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.HOUSTON_ROCKETS,2018-05-28,Outcome.WIN,2660,11,21,5,11,7,10,34,5,5,1,3,2,0,0,57.25
hardeja01,James Harden,Team.HOUSTON_ROCKETS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,2018-05-28,Outcome.LOSS,2571,12,29,2,13,6,8,32,6,6,4,1,5,0,0,57.0
tuckepj01,P.J. Tucker,Team.HOUSTON_ROCKETS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,2018-05-28,Outcome.LOSS,2674,5,9,2,5,2,4,14,12,2,4,0,3,1,0,41.0
gordoer01,Eric Gordon,Team.HOUSTON_ROCKETS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,2018-05-28,Outcome.LOSS,2392,9,22,2,12,3,4,23,3,6,1,1,1,0,0,40.25
greendr01,Draymond Green,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.HOUSTON_ROCKETS,2018-05-28,Outcome.WIN,2647,5,13,0,5,0,0,10,13,5,1,1,5,1,0,36.75
capelca01,Clint Capela,Team.HOUSTON_ROCKETS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,2018-05-28,Outcome.LOSS,2223,9,10,0,0,2,6,20,9,0,2,0,1,0,0,34.75
thompkl01,Klay Thompson,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.HOUSTON_ROCKETS,2018-05-28,Outcome.WIN,1842,8,13,3,7,0,2,19,3,1,2,0,2,0,0,28.75
belljo01,Jordan Bell,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.HOUSTON_ROCKETS,2018-05-28,Outcome.WIN,947,0,2,0,0,0,0,0,5,3,1,2,2,0,0,15.75
arizatr01,Trevor Ariza,Team.HOUSTON_ROCKETS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,2018-05-28,Outcome.LOSS,2510,0,12,0,9,0,0,0,7,2,2,0,2,0,0,14.75
greenge01,Gerald Green,Team.HOUSTON_ROCKETS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,2018-05-28,Outcome.LOSS,1240,1,7,1,4,0,0,3,4,0,0,1,0,0,0,10.5
looneke01,Kevon Looney,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.HOUSTON_ROCKETS,2018-05-28,Outcome.WIN,1019,2,5,0,0,0,2,4,5,0,0,0,0,0,0,10.25
livinsh01,Shaun Livingston,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.HOUSTON_ROCKETS,2018-05-28,Outcome.WIN,1467,2,3,0,0,0,0,4,2,1,0,0,0,0,0,8.0
johnsjo02,Joe Johnson,Team.HOUSTON_ROCKETS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,2018-05-28,Outcome.LOSS,309,0,1,0,1,0,0,0,2,1,0,0,0,0,0,4.0
youngni01,Nick Young,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.HOUSTON_ROCKETS,2018-05-28,Outcome.WIN,1010,1,1,1,1,0,0,3,0,0,0,0,0,0,0,3.5
anderry01,Ryan Anderson,Team.HOUSTON_ROCKETS,Location.HOME,Team.GOLDEN_STATE_WARRIORS,2018-05-28,Outcome.LOSS,481,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.25
mccawpa01,Patrick McCaw,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.HOUSTON_ROCKETS,2018-05-28,Outcome.WIN,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cookqu01,Quinn Cook,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.HOUSTON_ROCKETS,2018-05-28,Outcome.WIN,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
