slug,name,team,location,opponent,date_played,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,total_points_scored,total_rebounds,assists,steals,blocks,turnovers,double_double_flag,triple_double_flag,draftkings_points
antetgi01,Giannis Antetokounmpo,Team.MILWAUKEE_BUCKS,Location.HOME,Team.LOS_ANGELES_LAKERS,2017-02-10,Outcome.LOSS,2493,11,20,1,6,18,21,41,8,6,2,3,5,0,0,68.0
davisan02,Anthony Davis,Team.NEW_ORLEANS_PELICANS,Location.AWAY,Team.MINNESOTA_TIMBERWOLVES,2017-02-10,Outcome.WIN,2175,16,22,2,3,8,11,42,13,2,1,1,2,1,0,66.75
greendr01,Draymond Green,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.MEMPHIS_GRIZZLIES,2017-02-10,Outcome.WIN,2264,2,6,0,3,0,0,4,11,10,10,5,2,0,1,64.75
jokicni01,Nikola Jokić,Team.DENVER_NUGGETS,Location.AWAY,Team.NEW_YORK_KNICKS,2017-02-10,Outcome.WIN,2201,17,23,2,3,4,5,40,9,5,2,0,2,0,0,62.75
holidjr01,Jrue Holiday,Team.NEW_ORLEANS_PELICANS,Location.AWAY,Team.MINNESOTA_TIMBERWOLVES,2017-02-10,Outcome.WIN,2279,10,14,1,2,4,4,25,6,12,5,0,9,1,0,58.0
walljo01,John Wall,Team.WASHINGTON_WIZARDS,Location.HOME,Team.INDIANA_PACERS,2017-02-10,Outcome.WIN,2197,7,16,2,5,10,15,26,3,14,2,0,7,1,0,53.75
anthoca01,Carmelo Anthony,Team.NEW_YORK_KNICKS,Location.HOME,Team.DENVER_NUGGETS,2017-02-10,Outcome.LOSS,2127,13,20,6,10,1,2,33,6,4,2,0,2,0,0,52.5
couside01,DeMarcus Cousins,Team.SACRAMENTO_KINGS,Location.HOME,Team.ATLANTA_HAWKS,2017-02-10,Outcome.WIN,1896,6,17,2,8,8,13,22,11,7,2,1,9,1,0,50.25
leonaka01,Kawhi Leonard,Team.SAN_ANTONIO_SPURS,Location.AWAY,Team.DETROIT_PISTONS,2017-02-10,Outcome.WIN,1972,11,22,3,8,7,9,32,6,5,1,0,3,0,0,49.0
morrima02,Markieff Morris,Team.WASHINGTON_WIZARDS,Location.HOME,Team.INDIANA_PACERS,2017-02-10,Outcome.WIN,1868,11,18,3,6,1,2,26,10,3,1,0,0,1,0,48.0
mclembe01,Ben McLemore,Team.SACRAMENTO_KINGS,Location.HOME,Team.ATLANTA_HAWKS,2017-02-10,Outcome.WIN,2536,8,17,6,10,0,0,22,9,3,4,0,2,0,0,47.75
conlemi01,Mike Conley,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.GOLDEN_STATE_WARRIORS,2017-02-10,Outcome.LOSS,2004,6,16,4,6,4,4,20,5,9,3,0,2,0,0,46.75
townska01,Karl-Anthony Towns,Team.MINNESOTA_TIMBERWOLVES,Location.HOME,Team.NEW_ORLEANS_PELICANS,2017-02-10,Outcome.LOSS,2253,13,22,1,5,9,9,36,8,1,0,0,4,0,0,46.0
johnsja01,James Johnson,Team.MIAMI_HEAT,Location.AWAY,Team.BROOKLYN_NETS,2017-02-10,Outcome.WIN,2084,11,17,0,2,4,4,26,8,2,1,3,3,0,0,45.5
thompkl01,Klay Thompson,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.MEMPHIS_GRIZZLIES,2017-02-10,Outcome.WIN,2281,13,23,8,15,2,2,36,1,3,0,0,1,0,0,45.25
lopezbr01,Brook Lopez,Team.BROOKLYN_NETS,Location.HOME,Team.MIAMI_HEAT,2017-02-10,Outcome.LOSS,1853,10,17,1,3,9,12,30,8,1,0,2,3,0,0,44.5
dedmode01,Dewayne Dedmon,Team.SAN_ANTONIO_SPURS,Location.AWAY,Team.DETROIT_PISTONS,2017-02-10,Outcome.WIN,1903,8,10,0,0,1,1,17,17,0,1,2,3,1,0,44.25
duranke01,Kevin Durant,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.MEMPHIS_GRIZZLIES,2017-02-10,Outcome.WIN,1940,5,14,3,6,11,14,24,5,4,1,2,3,0,0,42.25
rubiori01,Ricky Rubio,Team.MINNESOTA_TIMBERWOLVES,Location.HOME,Team.NEW_ORLEANS_PELICANS,2017-02-10,Outcome.LOSS,2358,5,10,1,3,4,6,15,1,12,4,0,4,1,0,42.25
wiggian01,Andrew Wiggins,Team.MINNESOTA_TIMBERWOLVES,Location.HOME,Team.NEW_ORLEANS_PELICANS,2017-02-10,Outcome.LOSS,2244,11,17,1,3,6,7,29,4,2,3,0,3,0,0,42.0
georgpa01,Paul George,Team.INDIANA_PACERS,Location.AWAY,Team.WASHINGTON_WIZARDS,2017-02-10,Outcome.LOSS,2136,12,23,2,6,5,7,31,4,2,0,1,1,0,0,41.5
nelsoja01,Jameer Nelson,Team.DENVER_NUGGETS,Location.AWAY,Team.NEW_YORK_KNICKS,2017-02-10,Outcome.WIN,2139,6,10,4,6,0,0,16,4,12,0,0,2,1,0,41.5
millspa01,Paul Millsap,Team.ATLANTA_HAWKS,Location.AWAY,Team.SACRAMENTO_KINGS,2017-02-10,Outcome.LOSS,2285,7,13,2,6,9,11,25,6,3,2,0,2,0,0,41.0
youngni01,Nick Young,Team.LOS_ANGELES_LAKERS,Location.AWAY,Team.MILWAUKEE_BUCKS,2017-02-10,Outcome.WIN,1729,8,11,5,8,5,5,26,2,4,2,0,1,0,0,40.5
drumman01,Andre Drummond,Team.DETROIT_PISTONS,Location.HOME,Team.SAN_ANTONIO_SPURS,2017-02-10,Outcome.LOSS,2197,5,17,0,0,2,5,12,15,0,3,1,0,1,0,40.25
bookede01,Devin Booker,Team.PHOENIX_SUNS,Location.HOME,Team.CHICAGO_BULLS,2017-02-10,Outcome.WIN,1979,10,19,2,4,5,6,27,5,4,0,0,1,0,0,39.75
bledser01,Eric Bledsoe,Team.PHOENIX_SUNS,Location.HOME,Team.CHICAGO_BULLS,2017-02-10,Outcome.WIN,1956,9,19,1,3,4,5,23,3,8,0,1,4,0,0,39.25
gortama01,Marcin Gortat,Team.WASHINGTON_WIZARDS,Location.HOME,Team.INDIANA_PACERS,2017-02-10,Outcome.WIN,2078,7,12,0,0,0,0,14,16,1,0,1,1,1,0,38.5
bartowi01,Will Barton,Team.DENVER_NUGGETS,Location.AWAY,Team.NEW_YORK_KNICKS,2017-02-10,Outcome.WIN,2048,6,15,1,4,2,4,15,10,4,0,2,2,1,0,38.5
aldrila01,LaMarcus Aldridge,Team.SAN_ANTONIO_SPURS,Location.AWAY,Team.DETROIT_PISTONS,2017-02-10,Outcome.WIN,1920,8,18,0,0,3,4,19,11,0,1,2,5,1,0,37.75
iguodan01,Andre Iguodala,Team.GOLDEN_STATE_WARRIORS,Location.AWAY,Team.MEMPHIS_GRIZZLIES,2017-02-10,Outcome.WIN,1705,6,7,2,3,8,11,22,2,4,1,2,0,0,0,37.5
gasolma01,Marc Gasol,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.GOLDEN_STATE_WARRIORS,2017-02-10,Outcome.LOSS,2161,4,14,1,5,8,10,17,6,7,1,1,4,0,0,37.5
willial03,Alan Williams,Team.PHOENIX_SUNS,Location.HOME,Team.CHICAGO_BULLS,2017-02-10,Outcome.WIN,1430,7,12,0,0,0,0,14,11,0,0,4,0,1,0,37.25
hardati02,Tim Hardaway,Team.ATLANTA_HAWKS,Location.AWAY,Team.SACRAMENTO_KINGS,2017-02-10,Outcome.LOSS,2166,9,17,3,9,7,8,28,4,2,0,0,2,0,0,36.5
collida01,Darren Collison,Team.SACRAMENTO_KINGS,Location.HOME,Team.ATLANTA_HAWKS,2017-02-10,Outcome.WIN,2625,8,16,2,5,4,5,22,3,4,2,0,1,0,0,36.25
chandwi01,Wilson Chandler,Team.DENVER_NUGGETS,Location.AWAY,Team.NEW_YORK_KNICKS,2017-02-10,Outcome.WIN,2193,9,14,1,2,0,0,19,4,3,2,2,2,0,0,36.0
butleji01,Jimmy Butler,Team.CHICAGO_BULLS,Location.AWAY,Team.PHOENIX_SUNS,2017-02-10,Outcome.LOSS,1820,6,16,0,3,8,9,20,3,6,2,0,2,0,0,35.75
randoza01,Zach Randolph,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.GOLDEN_STATE_WARRIORS,2017-02-10,Outcome.LOSS,1482,5,9,0,1,7,9,17,13,1,0,0,2,1,0,35.25
oquinky01,Kyle O'Quinn,Team.NEW_YORK_KNICKS,Location.HOME,Team.DENVER_NUGGETS,2017-02-10,Outcome.LOSS,1333,8,9,0,1,0,0,16,6,3,0,4,2,0,0,35.0
dragigo01,Goran Dragić,Team.MIAMI_HEAT,Location.AWAY,Team.BROOKLYN_NETS,2017-02-10,Outcome.WIN,2072,9,18,1,4,2,3,21,4,5,1,0,3,0,0,34.5
wadedw01,Dwyane Wade,Team.CHICAGO_BULLS,Location.AWAY,Team.PHOENIX_SUNS,2017-02-10,Outcome.LOSS,1684,7,16,1,3,3,3,18,6,3,0,2,1,0,0,34.0
johnsty01,Tyler Johnson,Team.MIAMI_HEAT,Location.AWAY,Team.BROOKLYN_NETS,2017-02-10,Outcome.WIN,2173,6,16,0,3,6,6,18,6,2,3,0,4,0,0,32.5
bealbr01,Bradley Beal,Team.WASHINGTON_WIZARDS,Location.HOME,Team.INDIANA_PACERS,2017-02-10,Outcome.WIN,2109,6,15,3,10,5,8,20,3,4,1,0,2,0,0,32.25
teaguje01,Jeff Teague,Team.INDIANA_PACERS,Location.AWAY,Team.WASHINGTON_WIZARDS,2017-02-10,Outcome.LOSS,1836,4,12,1,3,4,4,13,4,9,0,0,0,0,0,32.0
allento01,Tony Allen,Team.MEMPHIS_GRIZZLIES,Location.HOME,Team.GOLDEN_STATE_WARRIORS,2017-02-10,Outcome.LOSS,1687,5,12,0,0,5,7,15,9,1,1,1,1,0,0,31.25
jennibr01,Brandon Jennings,Team.NEW_YORK_KNICKS,Location.HOME,Team.DENVER_NUGGETS,2017-02-10,Outcome.LOSS,2354,2,10,2,6,0,0,6,2,13,1,0,0,0,0,31.0
