slug,name,team,location,opponent,date_played,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,total_points_scored,total_rebounds,assists,steals,blocks,turnovers,double_double_flag,triple_double_flag,draftkings_points
duranke01,Kevin Durant,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.NEW_ORLEANS_HORNETS,2011-02-02,Outcome.WIN,2473,14,19,5,7,10,11,43,10,5,1,1,2,1,0,70.0
griffbl01,Blake Griffin,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.CHICAGO_BULLS,2011-02-02,Outcome.LOSS,2461,14,26,0,1,4,13,32,13,7,0,1,0,1,0,62.25
rosede01,Derrick Rose,Team.CHICAGO_BULLS,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,2011-02-02,Outcome.WIN,2251,11,18,4,8,6,8,32,3,11,1,1,2,1,0,58.75
jacksst02,Stephen Jackson,Team.CHARLOTTE_BOBCATS,Location.AWAY,Team.DETROIT_PISTONS,2011-02-02,Outcome.WIN,2557,14,26,3,7,8,10,39,5,4,1,0,3,0,0,53.25
johnsjo02,Joe Johnson,Team.ATLANTA_HAWKS,Location.HOME,Team.TORONTO_RAPTORS,2011-02-02,Outcome.WIN,2345,15,21,5,8,2,3,37,2,8,0,0,2,0,0,53.0
nowitdi01,Dirk Nowitzki,Team.DALLAS_MAVERICKS,Location.AWAY,Team.NEW_YORK_KNICKS,2011-02-02,Outcome.WIN,1969,10,16,2,4,7,7,29,11,3,0,1,1,1,0,51.25
smithjo03,Josh Smith,Team.ATLANTA_HAWKS,Location.HOME,Team.TORONTO_RAPTORS,2011-02-02,Outcome.WIN,2443,9,14,0,2,0,0,18,11,4,2,3,2,1,0,48.25
collida01,Darren Collison,Team.INDIANA_PACERS,Location.AWAY,Team.CLEVELAND_CAVALIERS,2011-02-02,Outcome.WIN,2150,9,17,2,4,2,2,22,4,9,4,0,3,0,0,48.0
randoza01,Zach Randolph,Team.MEMPHIS_GRIZZLIES,Location.AWAY,Team.MINNESOTA_TIMBERWOLVES,2011-02-02,Outcome.WIN,2046,11,20,1,1,0,0,23,13,2,1,1,2,1,0,47.25
jeffeal01,Al Jefferson,Team.UTAH_JAZZ,Location.HOME,Team.HOUSTON_ROCKETS,2011-02-02,Outcome.LOSS,2389,8,16,0,0,4,5,20,12,2,2,2,1,1,0,47.0
denglu01,Luol Deng,Team.CHICAGO_BULLS,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,2011-02-02,Outcome.WIN,2363,9,17,3,6,5,5,26,6,5,2,0,1,0,0,46.0
johnsam01,Amir Johnson,Team.TORONTO_RAPTORS,Location.AWAY,Team.ATLANTA_HAWKS,2011-02-02,Outcome.LOSS,2441,8,11,0,0,4,4,20,14,1,1,2,1,1,0,46.0
gayru01,Rudy Gay,Team.MEMPHIS_GRIZZLIES,Location.AWAY,Team.MINNESOTA_TIMBERWOLVES,2011-02-02,Outcome.WIN,2334,8,14,1,2,5,6,22,7,7,2,1,4,0,0,45.75
horfoal01,Al Horford,Team.ATLANTA_HAWKS,Location.HOME,Team.TORONTO_RAPTORS,2011-02-02,Outcome.WIN,2172,6,13,0,0,0,0,12,14,7,1,1,1,1,0,45.0
millspa01,Paul Millsap,Team.UTAH_JAZZ,Location.HOME,Team.HOUSTON_ROCKETS,2011-02-02,Outcome.LOSS,2199,8,16,0,0,4,6,20,11,2,1,3,5,1,0,43.75
hilarne01,Nenê Hilário,Team.DENVER_NUGGETS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,2011-02-02,Outcome.WIN,1916,9,13,0,0,4,5,22,10,3,1,1,3,1,0,43.0
holidjr01,Jrue Holiday,Team.PHILADELPHIA_76ERS,Location.AWAY,Team.NEW_JERSEY_NETS,2011-02-02,Outcome.WIN,2187,5,11,1,3,0,0,11,10,11,0,0,1,0,1,43.0
jamisan01,Antawn Jamison,Team.CLEVELAND_CAVALIERS,Location.HOME,Team.INDIANA_PACERS,2011-02-02,Outcome.LOSS,2247,5,14,4,7,7,10,21,7,1,2,3,1,0,0,42.75
gallida01,Danilo Gallinari,Team.NEW_YORK_KNICKS,Location.HOME,Team.DALLAS_MAVERICKS,2011-02-02,Outcome.LOSS,2330,7,14,1,5,12,12,27,6,2,2,1,3,0,0,42.5
sessira01,Ramon Sessions,Team.CLEVELAND_CAVALIERS,Location.HOME,Team.INDIANA_PACERS,2011-02-02,Outcome.LOSS,2436,6,10,0,0,13,14,25,1,9,1,1,3,0,0,42.25
westda01,David West,Team.NEW_ORLEANS_HORNETS,Location.AWAY,Team.OKLAHOMA_CITY_THUNDER,2011-02-02,Outcome.LOSS,2109,8,19,0,0,4,6,20,15,2,0,0,3,1,0,41.75
grangda01,Danny Granger,Team.INDIANA_PACERS,Location.AWAY,Team.CLEVELAND_CAVALIERS,2011-02-02,Outcome.WIN,2047,5,13,1,5,12,13,23,5,4,1,3,4,0,0,41.75
