slug,name,team,location,opponent,date_played,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,total_points_scored,total_rebounds,assists,steals,blocks,turnovers,double_double_flag,triple_double_flag,draftkings_points
davisan02,Anthony Davis,Team.NEW_ORLEANS_PELICANS,Location.AWAY,Team.UTAH_JAZZ,2015-11-28,Outcome.LOSS,2660,12,18,0,2,12,15,36,11,1,2,3,2,1,0,61.75
greendr01,Draymond Green,Team.GOLDEN_STATE_WARRIORS,Location.HOME,Team.SACRAMENTO_KINGS,2015-11-28,Outcome.WIN,2143,4,13,0,4,5,7,13,11,12,1,4,3,0,1,56.25
booketr01,Trevor Booker,Team.UTAH_JAZZ,Location.HOME,Team.NEW_ORLEANS_PELICANS,2015-11-28,Outcome.WIN,2284,5,8,0,0,3,3,13,15,3,2,3,2,1,0,46.75
lillada01,Damian Lillard,Team.PORTLAND_TRAIL_BLAZERS,Location.HOME,Team.LOS_ANGELES_LAKERS,2015-11-28,Outcome.WIN,2146,9,19,5,11,6,7,29,4,7,0,1,5,0,0,46.5
jamesle01,LeBron James,Team.CLEVELAND_CAVALIERS,Location.HOME,Team.BROOKLYN_NETS,2015-11-28,Outcome.WIN,2143,10,22,1,6,5,6,26,9,5,1,0,2,0,0,46.25
lowryky01,Kyle Lowry,Team.TORONTO_RAPTORS,Location.AWAY,Team.WASHINGTON_WIZARDS,2015-11-28,Outcome.WIN,2036,9,19,6,11,3,4,27,7,3,2,1,6,0,0,46.25
duncati01,Tim Duncan,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.ATLANTA_HAWKS,2015-11-28,Outcome.WIN,1709,5,9,0,0,0,0,10,18,4,1,2,1,1,0,45.5
bealbr01,Bradley Beal,Team.WASHINGTON_WIZARDS,Location.HOME,Team.TORONTO_RAPTORS,2015-11-28,Outcome.LOSS,2444,5,9,2,4,8,8,20,6,6,3,0,4,0,0,41.5
loveke01,Kevin Love,Team.CLEVELAND_CAVALIERS,Location.HOME,Team.BROOKLYN_NETS,2015-11-28,Outcome.WIN,2040,8,14,6,11,4,4,26,7,2,0,1,3,0,0,41.25
lopezbr01,Brook Lopez,Team.BROOKLYN_NETS,Location.AWAY,Team.CLEVELAND_CAVALIERS,2015-11-28,Outcome.LOSS,2250,10,15,0,0,2,5,22,9,2,1,2,2,0,0,41.25
