slug,name,team,location,opponent,date_played,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,total_points_scored,total_rebounds,assists,steals,blocks,turnovers,double_double_flag,triple_double_flag,draftkings_points
rondora01,Rajon Rondo,Team.BOSTON_CELTICS,Location.AWAY,Team.SAN_ANTONIO_SPURS,2011-03-31,Outcome.WIN,2474,11,20,0,1,0,2,22,5,14,0,0,0,1,0,50.75
piercpa01,Paul Pierce,Team.BOSTON_CELTICS,Location.AWAY,Team.SAN_ANTONIO_SPURS,2011-03-31,Outcome.WIN,2201,8,16,1,5,4,5,21,11,7,1,1,2,1,0,50.25
nowitdi01,Dirk Nowitzki,Team.DALLAS_MAVERICKS,Location.AWAY,Team.LOS_ANGELES_LAKERS,2011-03-31,Outcome.LOSS,2064,10,20,1,2,6,6,27,13,2,0,1,4,1,0,48.25
duncati01,Tim Duncan,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.BOSTON_CELTICS,2011-03-31,Outcome.LOSS,1986,8,12,0,1,4,5,20,13,3,1,2,5,1,0,45.75
bynuman01,Andrew Bynum,Team.LOS_ANGELES_LAKERS,Location.HOME,Team.DALLAS_MAVERICKS,2011-03-31,Outcome.WIN,2191,6,9,0,0,6,8,18,13,3,0,2,0,1,0,44.25
parketo01,Tony Parker,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.BOSTON_CELTICS,2011-03-31,Outcome.LOSS,2079,9,16,0,1,5,6,23,4,8,2,0,2,0,0,43.0
bryanko01,Kobe Bryant,Team.LOS_ANGELES_LAKERS,Location.HOME,Team.DALLAS_MAVERICKS,2011-03-31,Outcome.WIN,1816,8,21,1,5,11,15,28,5,4,2,0,4,0,0,42.75
odomla01,Lamar Odom,Team.LOS_ANGELES_LAKERS,Location.HOME,Team.DALLAS_MAVERICKS,2011-03-31,Outcome.WIN,1542,6,10,3,4,1,2,16,11,3,1,0,0,1,0,39.25
gasolpa01,Pau Gasol,Team.LOS_ANGELES_LAKERS,Location.HOME,Team.DALLAS_MAVERICKS,2011-03-31,Outcome.WIN,1804,7,14,0,0,6,7,20,7,2,0,1,1,0,0,33.25
garneke01,Kevin Garnett,Team.BOSTON_CELTICS,Location.AWAY,Team.SAN_ANTONIO_SPURS,2011-03-31,Outcome.WIN,1681,9,12,0,0,2,2,20,9,0,0,1,3,0,0,31.75
artesro01,Metta World Peace,Team.LOS_ANGELES_LAKERS,Location.HOME,Team.DALLAS_MAVERICKS,2011-03-31,Outcome.WIN,1547,5,10,2,4,1,1,13,4,6,1,0,0,0,0,30.0
davisgl01,Glen Davis,Team.BOSTON_CELTICS,Location.AWAY,Team.SAN_ANTONIO_SPURS,2011-03-31,Outcome.WIN,1934,8,12,0,0,0,0,16,8,1,1,0,0,0,0,29.5
ginobma01,Manu Ginóbili,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.BOSTON_CELTICS,2011-03-31,Outcome.LOSS,1998,4,13,1,6,0,0,9,3,6,0,0,1,0,0,21.75
kiddja01,Jason Kidd,Team.DALLAS_MAVERICKS,Location.AWAY,Team.LOS_ANGELES_LAKERS,2011-03-31,Outcome.LOSS,1942,2,7,2,6,0,0,6,2,6,2,0,2,0,0,21.5
jefferi01,Richard Jefferson,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.BOSTON_CELTICS,2011-03-31,Outcome.LOSS,2139,5,11,4,8,0,0,14,3,1,0,0,0,0,0,21.25
