slug,name,team,location,opponent,date_played,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,total_points_scored,total_rebounds,assists,steals,blocks,turnovers,double_double_flag,triple_double_flag,draftkings_points
tatumja01,Jayson Tatum,Team.BOSTON_CELTICS,Location.HOME,Team.CHARLOTTE_HORNETS,2019-12-22,Outcome.WIN,2151,15,29,4,9,5,5,39,12,2,1,3,2,1,0,67.5
antetgi01,Giannis Antetokounmpo,Team.MILWAUKEE_BUCKS,Location.HOME,Team.INDIANA_PACERS,2019-12-22,Outcome.WIN,1855,8,17,1,3,1,2,18,19,9,2,2,4,1,0,63.25
lowryky01,Kyle Lowry,Team.TORONTO_RAPTORS,Location.HOME,Team.DALLAS_MAVERICKS,2019-12-22,Outcome.WIN,2493,12,23,5,13,3,4,32,8,10,0,0,1,1,0,60.5
sabondo01,Domantas Sabonis,Team.INDIANA_PACERS,Location.AWAY,Team.MILWAUKEE_BUCKS,2019-12-22,Outcome.LOSS,1858,8,16,2,2,1,1,19,18,5,2,2,1,1,0,59.0
davisan02,Anthony Davis,Team.LOS_ANGELES_LAKERS,Location.HOME,Team.DENVER_NUGGETS,2019-12-22,Outcome.LOSS,2020,13,23,1,4,5,6,32,11,1,0,4,5,1,0,54.75
adamsst01,Steven Adams,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.LOS_ANGELES_CLIPPERS,2019-12-22,Outcome.WIN,1887,10,15,0,0,0,2,20,17,2,3,0,1,1,0,51.25
grahade01,Devonte' Graham,Team.CHARLOTTE_HORNETS,Location.AWAY,Team.BOSTON_CELTICS,2019-12-22,Outcome.LOSS,1927,6,17,6,13,5,7,23,4,10,0,0,0,1,0,47.5
gilgesh01,Shai Gilgeous-Alexander,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.LOS_ANGELES_CLIPPERS,2019-12-22,Outcome.WIN,2069,12,25,2,3,6,6,32,3,5,2,0,2,0,0,47.25
schrode01,Dennis Schröder,Team.OKLAHOMA_CITY_THUNDER,Location.HOME,Team.LOS_ANGELES_CLIPPERS,2019-12-22,Outcome.WIN,1963,8,17,4,8,8,9,28,5,6,1,0,3,0,0,45.75
porzikr01,Kristaps Porziņģis,Team.DALLAS_MAVERICKS,Location.AWAY,Team.TORONTO_RAPTORS,2019-12-22,Outcome.LOSS,2133,5,15,3,9,6,7,19,12,0,1,3,1,1,0,44.5
