slug,name,team,location,opponent,date_played,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,total_points_scored,total_rebounds,assists,steals,blocks,turnovers,double_double_flag,triple_double_flag,draftkings_points
walljo01,John Wall,Team.WASHINGTON_WIZARDS,Location.AWAY,Team.ORLANDO_MAGIC,2014-10-30,Outcome.WIN,2204,10,21,2,5,8,9,30,5,12,2,0,2,1,0,59.75
jonespe01,Perry Jones,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,2014-10-30,Outcome.LOSS,2502,10,17,3,6,9,11,32,7,3,0,1,5,0,0,46.25
paulch01,Chris Paul,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,2014-10-30,Outcome.WIN,2256,9,18,1,3,3,7,22,4,7,3,1,0,0,0,46.0
vucevni01,Nikola Vučević,Team.ORLANDO_MAGIC,Location.HOME,Team.WASHINGTON_WIZARDS,2014-10-30,Outcome.LOSS,2288,11,21,0,0,1,1,23,12,3,1,0,2,1,0,45.0
loveke01,Kevin Love,Team.CLEVELAND_CAVALIERS,Location.HOME,Team.NEW_YORK_KNICKS,2014-10-30,Outcome.LOSS,2282,6,14,3,6,4,4,19,14,4,0,0,2,1,0,44.5
irvinky01,Kyrie Irving,Team.CLEVELAND_CAVALIERS,Location.HOME,Team.NEW_YORK_KNICKS,2014-10-30,Outcome.LOSS,2592,8,15,1,6,5,7,22,5,7,2,1,4,0,0,43.25
gortama01,Marcin Gortat,Team.WASHINGTON_WIZARDS,Location.AWAY,Team.ORLANDO_MAGIC,2014-10-30,Outcome.WIN,2207,10,13,0,0,0,2,20,12,1,0,0,2,1,0,37.0
favorde01,Derrick Favors,Team.UTAH_JAZZ,Location.AWAY,Team.DALLAS_MAVERICKS,2014-10-30,Outcome.LOSS,2085,7,12,0,0,3,4,17,11,2,1,0,1,1,0,36.75
griffbl01,Blake Griffin,Team.LOS_ANGELES_CLIPPERS,Location.HOME,Team.OKLAHOMA_CITY_THUNDER,2014-10-30,Outcome.WIN,2307,8,18,0,0,7,10,23,7,3,1,0,3,0,0,36.75
anthoca01,Carmelo Anthony,Team.NEW_YORK_KNICKS,Location.AWAY,Team.CLEVELAND_CAVALIERS,2014-10-30,Outcome.WIN,2060,9,17,2,4,5,7,25,2,6,0,0,2,0,0,36.5
butleca01,Caron Butler,Team.DETROIT_PISTONS,Location.AWAY,Team.MINNESOTA_TIMBERWOLVES,2014-10-30,Outcome.LOSS,1847,10,14,4,7,0,0,24,8,0,0,0,1,0,0,35.5
youngth01,Thaddeus Young,Team.MINNESOTA_TIMBERWOLVES,Location.HOME,Team.DETROIT_PISTONS,2014-10-30,Outcome.WIN,2044,7,13,2,4,3,3,19,5,2,3,0,1,0,0,34.75
aminual01,Al-Farouq Aminu,Team.DALLAS_MAVERICKS,Location.HOME,Team.UTAH_JAZZ,2014-10-30,Outcome.WIN,1170,6,7,1,1,3,4,16,10,1,1,0,1,1,0,33.5
burketr01,Trey Burke,Team.UTAH_JAZZ,Location.AWAY,Team.DALLAS_MAVERICKS,2014-10-30,Outcome.LOSS,2067,6,15,2,6,2,2,16,3,7,2,0,4,0,0,33.25
rubiori01,Ricky Rubio,Team.MINNESOTA_TIMBERWOLVES,Location.HOME,Team.DETROIT_PISTONS,2014-10-30,Outcome.WIN,1755,4,10,0,0,3,5,11,7,8,1,0,1,0,0,33.25
ibakase01,Serge Ibaka,Team.OKLAHOMA_CITY_THUNDER,Location.AWAY,Team.LOS_ANGELES_CLIPPERS,2014-10-30,Outcome.LOSS,1964,7,13,2,5,1,1,17,9,2,0,0,0,0,0,32.25
parsoch01,Chandler Parsons,Team.DALLAS_MAVERICKS,Location.HOME,Team.UTAH_JAZZ,2014-10-30,Outcome.WIN,1746,8,16,1,3,4,4,21,7,2,0,0,2,0,0,32.25
augusdj01,D.J. Augustin,Team.DETROIT_PISTONS,Location.AWAY,Team.MINNESOTA_TIMBERWOLVES,2014-10-30,Outcome.LOSS,1950,6,18,1,5,7,7,20,3,6,0,0,2,0,0,32.25
drumman01,Andre Drummond,Team.DETROIT_PISTONS,Location.AWAY,Team.MINNESOTA_TIMBERWOLVES,2014-10-30,Outcome.LOSS,1879,5,14,0,0,1,4,11,12,1,0,2,2,1,0,32.0
haywago01,Gordon Hayward,Team.UTAH_JAZZ,Location.AWAY,Team.DALLAS_MAVERICKS,2014-10-30,Outcome.LOSS,2130,4,9,2,7,6,6,16,4,6,1,0,2,0,0,32.0
nowitdi01,Dirk Nowitzki,Team.DALLAS_MAVERICKS,Location.HOME,Team.UTAH_JAZZ,2014-10-30,Outcome.WIN,1411,9,13,2,4,1,2,21,3,1,1,1,1,0,0,30.75
hilarne01,Nenê Hilário,Team.WASHINGTON_WIZARDS,Location.AWAY,Team.ORLANDO_MAGIC,2014-10-30,Outcome.WIN,2030,5,10,0,0,2,4,12,4,5,3,0,0,0,0,30.5
pekovni01,Nikola Peković,Team.MINNESOTA_TIMBERWOLVES,Location.HOME,Team.DETROIT_PISTONS,2014-10-30,Outcome.WIN,1840,7,13,0,0,3,3,17,10,0,0,0,3,1,0,29.5
gordobe01,Ben Gordon,Team.ORLANDO_MAGIC,Location.HOME,Team.WASHINGTON_WIZARDS,2014-10-30,Outcome.LOSS,1568,7,12,2,5,6,7,22,0,4,0,0,1,0,0,28.5
