slug,name,team,location,opponent,date_played,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,total_points_scored,total_rebounds,assists,steals,blocks,turnovers,double_double_flag,triple_double_flag,draftkings_points
doncilu01,Luka Dončić,Team.DALLAS_MAVERICKS,Location.AWAY,Team.DETROIT_PISTONS,2019-12-12,Outcome.WIN,2019,14,24,6,13,7,12,41,12,11,0,0,3,0,1,77.0
embiijo01,Joel Embiid,Team.PHILADELPHIA_76ERS,Location.AWAY,Team.BOSTON_CELTICS,2019-12-12,Outcome.WIN,2165,12,21,2,3,12,14,38,13,6,0,1,2,1,0,66.75
whiteha01,Hassan Whiteside,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.DENVER_NUGGETS,2019-12-12,Outcome.LOSS,2107,15,21,1,1,2,2,33,11,2,0,4,0,1,0,59.75
loveke01,Kevin Love,Team.CLEVELAND_CAVALIERS,Location.AWAY,Team.SAN_ANTONIO_SPURS,2019-12-12,Outcome.WIN,2313,11,24,4,9,4,5,30,17,2,0,0,2,1,0,56.75
drumman01,Andre Drummond,Team.DETROIT_PISTONS,Location.HOME,Team.DALLAS_MAVERICKS,2019-12-12,Outcome.LOSS,2065,10,14,0,1,3,6,23,15,1,3,1,2,1,0,51.75
curryse01,Seth Curry,Team.DALLAS_MAVERICKS,Location.AWAY,Team.DETROIT_PISTONS,2019-12-12,Outcome.WIN,2011,11,15,6,9,2,3,30,7,4,2,0,3,0,0,50.25
harrito02,Tobias Harris,Team.PHILADELPHIA_76ERS,Location.AWAY,Team.BOSTON_CELTICS,2019-12-12,Outcome.WIN,1965,10,20,1,3,2,3,23,8,7,1,2,0,0,0,50.0
walkeke02,Kemba Walker,Team.BOSTON_CELTICS,Location.HOME,Team.PHILADELPHIA_76ERS,2019-12-12,Outcome.LOSS,2180,8,21,5,13,8,10,29,1,8,0,1,1,0,0,46.25
jokicni01,Nikola Jokić,Team.DENVER_NUGGETS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,2019-12-12,Outcome.WIN,1861,7,14,2,5,4,6,20,11,6,0,0,1,1,0,44.75
anthoca01,Carmelo Anthony,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.DENVER_NUGGETS,2019-12-12,Outcome.LOSS,2202,8,16,2,5,2,2,20,9,1,2,2,2,0,0,40.75
bartowi01,Will Barton,Team.DENVER_NUGGETS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,2019-12-12,Outcome.WIN,2093,6,12,2,4,1,2,15,11,4,1,0,0,1,0,39.25
kanteen01,Enes Kanter,Team.BOSTON_CELTICS,Location.HOME,Team.PHILADELPHIA_76ERS,2019-12-12,Outcome.LOSS,1457,10,13,0,1,0,0,20,9,0,2,2,0,0,0,39.25
porzikr01,Kristaps Porziņģis,Team.DALLAS_MAVERICKS,Location.AWAY,Team.DETROIT_PISTONS,2019-12-12,Outcome.WIN,1770,8,18,0,5,4,4,20,8,1,0,3,0,0,0,37.5
clarkjo01,Jordan Clarkson,Team.CLEVELAND_CAVALIERS,Location.AWAY,Team.SAN_ANTONIO_SPURS,2019-12-12,Outcome.WIN,1832,10,18,4,11,1,1,25,4,3,1,0,3,0,0,37.0
aldrila01,LaMarcus Aldridge,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.CLEVELAND_CAVALIERS,2019-12-12,Outcome.LOSS,2353,6,16,0,2,6,8,18,10,3,0,1,3,1,0,37.0
haywago01,Gordon Hayward,Team.BOSTON_CELTICS,Location.HOME,Team.PHILADELPHIA_76ERS,2019-12-12,Outcome.LOSS,2214,8,16,2,4,1,2,19,4,5,1,1,1,0,0,36.0
sextoco01,Collin Sexton,Team.CLEVELAND_CAVALIERS,Location.AWAY,Team.SAN_ANTONIO_SPURS,2019-12-12,Outcome.WIN,2107,10,19,1,5,7,8,28,2,2,1,0,1,0,0,35.5
derozde01,DeMar DeRozan,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.CLEVELAND_CAVALIERS,2019-12-12,Outcome.LOSS,2348,8,17,0,0,5,8,21,4,4,2,0,1,0,0,35.5
lillada01,Damian Lillard,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.DENVER_NUGGETS,2019-12-12,Outcome.LOSS,2253,5,16,2,9,1,2,13,2,11,1,0,2,1,0,35.5
grantje01,Jerami Grant,Team.DENVER_NUGGETS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,2019-12-12,Outcome.WIN,1875,7,12,5,6,1,4,20,5,0,2,0,0,0,0,32.75
rosede01,Derrick Rose,Team.DETROIT_PISTONS,Location.HOME,Team.DALLAS_MAVERICKS,2019-12-12,Outcome.LOSS,1546,7,16,5,10,0,0,19,0,4,2,0,3,0,0,30.0
richajo01,Josh Richardson,Team.PHILADELPHIA_76ERS,Location.AWAY,Team.BOSTON_CELTICS,2019-12-12,Outcome.WIN,1551,5,11,2,3,2,2,14,2,2,2,2,1,0,0,28.0
tatumja01,Jayson Tatum,Team.BOSTON_CELTICS,Location.HOME,Team.PHILADELPHIA_76ERS,2019-12-12,Outcome.LOSS,2032,5,18,3,8,2,2,15,3,4,0,1,1,0,0,27.75
morrimo01,Monte Morris,Team.DENVER_NUGGETS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,2019-12-12,Outcome.WIN,1187,4,8,1,3,2,2,11,1,7,2,0,0,0,0,27.25
whitede01,Derrick White,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.CLEVELAND_CAVALIERS,2019-12-12,Outcome.LOSS,1900,7,9,0,0,3,3,17,4,2,1,0,0,0,0,27.0
poweldw01,Dwight Powell,Team.DALLAS_MAVERICKS,Location.AWAY,Team.DETROIT_PISTONS,2019-12-12,Outcome.WIN,1865,3,4,0,1,3,4,9,10,1,1,1,0,0,0,27.0
theisda01,Daniel Theis,Team.BOSTON_CELTICS,Location.HOME,Team.PHILADELPHIA_76ERS,2019-12-12,Outcome.LOSS,1423,7,11,1,2,1,1,16,5,1,0,1,0,0,0,26.25
murrade01,Dejounte Murray,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.CLEVELAND_CAVALIERS,2019-12-12,Outcome.LOSS,1018,2,6,0,0,2,2,6,6,4,3,1,3,0,0,26.0
simmobe01,Ben Simmons,Team.PHILADELPHIA_76ERS,Location.AWAY,Team.BOSTON_CELTICS,2019-12-12,Outcome.WIN,2189,2,6,0,0,3,4,7,8,6,0,1,5,0,0,25.5
murraja01,Jamal Murray,Team.DENVER_NUGGETS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,2019-12-12,Outcome.WIN,1693,4,11,2,5,2,3,12,6,3,1,0,3,0,0,25.5
osmande01,Cedi Osman,Team.CLEVELAND_CAVALIERS,Location.AWAY,Team.SAN_ANTONIO_SPURS,2019-12-12,Outcome.WIN,2248,6,12,3,8,0,0,15,2,1,1,1,0,0,0,24.5
scottmi01,Mike Scott,Team.PHILADELPHIA_76ERS,Location.AWAY,Team.BOSTON_CELTICS,2019-12-12,Outcome.WIN,1732,5,7,5,7,0,0,15,4,0,0,0,0,0,0,22.5
morrima02,Markieff Morris,Team.DETROIT_PISTONS,Location.HOME,Team.DALLAS_MAVERICKS,2019-12-12,Outcome.LOSS,1002,6,8,3,5,1,3,16,3,1,0,0,1,0,0,22.25
griffbl01,Blake Griffin,Team.DETROIT_PISTONS,Location.HOME,Team.DALLAS_MAVERICKS,2019-12-12,Outcome.LOSS,1779,3,16,1,10,3,4,10,3,5,0,0,0,0,0,21.75
woodch01,Christian Wood,Team.DETROIT_PISTONS,Location.HOME,Team.DALLAS_MAVERICKS,2019-12-12,Outcome.LOSS,815,4,4,0,0,2,2,10,8,0,0,1,1,0,0,21.5
mccolcj01,CJ McCollum,Team.PORTLAND_TRAIL_BLAZERS,Location.AWAY,Team.DENVER_NUGGETS,2019-12-12,Outcome.LOSS,2195,6,11,3,7,0,1,15,2,2,0,0,3,0,0,20.5
harriga01,Gary Harris,Team.DENVER_NUGGETS,Location.HOME,Team.PORTLAND_TRAIL_BLAZERS,2019-12-12,Outcome.WIN,2209,5,9,3,6,2,2,15,1,2,0,0,1,0,0,20.25
brownbr01,Bruce Brown,Team.DETROIT_PISTONS,Location.HOME,Team.DALLAS_MAVERICKS,2019-12-12,Outcome.LOSS,1334,2,6,0,1,3,4,7,2,4,2,0,0,0,0,19.5
gayru01,Rudy Gay,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.CLEVELAND_CAVALIERS,2019-12-12,Outcome.LOSS,1277,4,9,1,3,0,0,9,1,2,2,1,2,0,0,18.75
brownja02,Jaylen Brown,Team.BOSTON_CELTICS,Location.HOME,Team.PHILADELPHIA_76ERS,2019-12-12,Outcome.LOSS,2459,3,9,0,1,2,2,8,5,2,1,0,3,0,0,17.75
finnedo01,Dorian Finney-Smith,Team.DALLAS_MAVERICKS,Location.AWAY,Team.DETROIT_PISTONS,2019-12-12,Outcome.WIN,1863,2,5,2,4,0,0,6,5,3,0,0,0,0,0,17.75
garlada01,Darius Garland,Team.CLEVELAND_CAVALIERS,Location.AWAY,Team.SAN_ANTONIO_SPURS,2019-12-12,Outcome.WIN,1505,3,8,2,6,0,0,8,3,5,0,0,5,0,0,17.75
poeltja01,Jakob Poeltl,Team.SAN_ANTONIO_SPURS,Location.HOME,Team.CLEVELAND_CAVALIERS,2019-12-12,Outcome.LOSS,1351,2,3,0,0,0,0,4,3,1,2,2,0,0,0,17.25
